Yr,Month_of_birth,No_of_live_births
1991,1,5453
1991,2,4979
1991,3,5130
1991,4,4919
1991,5,5169
1991,6,5235
1991,7,5833
1991,8,5949
1991,9,6166
1991,10,6583
1991,11,6840
1991,12,6025
1991,Total,68281
1992,1,5652
1992,2,5003
1992,3,5475
1992,4,5191
1992,5,5327
1992,6,5684
1992,7,6053
1992,8,6222
1992,9,6414
1992,10,6913
1992,11,6705
1992,12,6310
1992,Total,70949
1993,1,5957
1993,2,5024
1993,3,5475
1993,4,5144
1993,5,5444
1993,6,5635
1993,7,5993
1993,8,6348
1993,9,6209
1993,10,6933
1993,11,6142
1993,12,6147
1993,Total,70451
1994,1,5531
1994,2,5022
1994,3,5416
1994,4,5226
1994,5,5554
1994,6,6034
1994,7,6265
1994,8,6334
1994,9,6631
1994,10,6691
1994,11,6691
1994,12,6251
1994,Total,71646
1995,1,5788
1995,2,5008
1995,3,5513
1995,4,5056
1995,5,5332
1995,6,5497
1995,7,5504
1995,8,5742
1995,9,6085
1995,10,6711
1995,11,6373
1995,12,6028
1995,Total,68637
1996,1,5589
1996,2,4881
1996,3,4888
1996,4,4583
1996,5,4843
1996,6,4801
1996,7,5193
1996,8,5365
1996,9,5540
1996,10,5826
1996,11,5968
1996,12,5814
1996,Total,63291
1997,1,5377
1997,2,4593
1997,3,5027
1997,4,4772
1997,5,4947
1997,6,4812
1997,7,4717
1997,8,4860
1997,9,5004
1997,10,5157
1997,11,5068
1997,12,4916
1997,Total,59250
1998,1,4461
1998,2,3893
1998,3,4371
1998,4,3977
1998,5,4231
1998,6,4449
1998,7,4358
1998,8,4349
1998,9,4762
1998,10,5003
1998,11,4528
1998,12,4595
1998,Total,52977
1999,1,4569
1999,2,3768
1999,3,4148
1999,4,3840
1999,5,3959
1999,6,4183
1999,7,4358
1999,8,4422
1999,9,4609
1999,10,4323
1999,11,4559
1999,12,4543
1999,Total,51281
2000,1,4298
2000,2,3917
2000,3,4069
2000,4,3788
2000,5,4127
2000,6,4100
2000,7,4438
2000,8,4714
2000,9,5243
2000,10,5207
2000,11,5293
2000,12,4940
2000,Total,54134
2001,1,4535
2001,2,3734
2001,3,3921
2001,4,3626
2001,5,3714
2001,6,3784
2001,7,3892
2001,8,4127
2001,9,4220
2001,10,4516
2001,11,4036
2001,12,4114
2001,Total,48219
2002,1,3868
2002,2,3474
2002,3,3752
2002,4,3600
2002,5,3722
2002,6,3786
2002,7,4000
2002,8,4268
2002,9,4329
2002,10,4485
2002,11,4642
2002,12,4283
2002,Total,48209
2003,1,4245
2003,2,3561
2003,3,3860
2003,4,3598
2003,5,3628
2003,6,3708
2003,7,3822
2003,8,4016
2003,9,4155
2003,10,4544
2003,11,4110
2003,12,3718
2003,Total,46965
2004,1,3385
2004,2,3382
2004,3,3732
2004,4,3584
2004,5,3736
2004,6,3851
2004,7,3997
2004,8,4393
2004,9,4762
2004,10,5153
2004,11,4846
2004,12,4975
2004,Total,49796
2005,1,4741
2005,2,3981
2005,3,4349
2005,4,4219
2005,5,4282
2005,6,4445
2005,7,4718
2005,8,4919
2005,9,5135
2005,10,5528
2005,11,5512
2005,12,5269
2005,Total,57098
2006,1,5045
2006,2,4413
2006,3,5069
2006,4,4682
2006,5,4880
2006,6,5155
2006,7,5405
2006,8,5604
2006,9,6077
2006,10,6744
2006,11,6298
2006,12,6254
2006,Total,65626
2007,1,5849
2007,2,4779
2007,3,5139
2007,4,4864
2007,5,5064
2007,6,5285
2007,7,5569
2007,8,6148
2007,9,6628
2007,10,7228
2007,11,7470
2007,12,6852
2007,Total,70875
2008,1,6782
2008,2,5448
2008,3,5660
2008,4,5567
2008,5,5672
2008,6,6006
2008,7,6458
2008,8,6805
2008,9,7339
2008,10,7781
2008,11,7669
2008,12,7635
2008,Total,78822
2009,1,6718
2009,2,6115
2009,3,6395
2009,4,5997
2009,5,6108
2009,6,6283
2009,7,6472
2009,8,7182
2009,9,7569
2009,10,8476
2009,11,7379
2009,12,7401
2009,Total,82095
2010,1,7116
2010,2,6324
2010,3,6937
2010,4,6363
2010,5,6564
2010,6,6879
2010,7,7319
2010,8,7788
2010,9,8193
2010,10,8281
2010,11,8442
2010,12,8378
2010,Total,88584
2011,1,8115
2011,2,7184
2011,3,8143
2011,4,7694
2011,5,7925
2011,6,8051
2011,7,8128
2011,8,8531
2011,9,8099
2011,10,8352
2011,11,7816
2011,12,7413
2011,Total,95451
2012,1,7582
2012,2,7100
2012,3,7678
2012,4,7071
2012,5,7623
2012,6,7526
2012,7,7534
2012,8,7948
2012,9,8164
2012,10,8599
2012,11,7791
2012,12,6942
2012,Total,91558
2013,1,5346
2013,2,4139
2013,3,4578
2013,4,4346
2013,5,4480
2013,6,4404
2013,7,4662
2013,8,5017
2013,9,4966
2013,10,5147
2013,11,4991
2013,12,5008
2013,Total,57084
2014,1,4937
2014,2,4604
2014,3,4839
2014,4,4823
2014,5,4920
2014,6,4917
