Yr,Period_marri,Cum_per,Months
1991,1 year,25.7,-
1991,2 years,52.4,-
1991,3 years,70.3,-
1991,4 years,82.8,-
1991,5 years,90,-
1991,6 years,94,-
1991,7 years,96.7,-
1991,8 years,97.9,-
1991,Median interval from marriage to first order live births (months),-,22.9
1992,1 year,25,-
1992,2 years,52.1,-
1992,3 years,69.6,-
1992,4 years,81.4,-
1992,5 years,89.4,-
1992,6 years,93.9,-
1992,7 years,96.3,-
1992,8 years,97.8,-
1992,Median interval from marriage to first order live births (months),-,23.1
1993,1 year,26.3,-
1993,2 years,51.9,-
1993,3 years,69.2,-
1993,4 years,80.9,-
1993,5 years,88.4,-
1993,6 years,93.4,-
1993,7 years,96,-
1993,8 years,97.5,-
1993,Median interval from marriage to first order live births (months),-,23.1
1994,1 year,25,-
1994,2 years,49.9,-
1994,3 years,66.4,-
1994,4 years,78.9,-
1994,5 years,87.1,-
1994,6 years,92.2,-
1994,7 years,95.6,-
1994,8 years,97.3,-
1994,Median interval from marriage to first order live births (months),-,24.1
1995,1 year,23,-
1995,2 years,46.4,-
1995,3 years,63.7,-
1995,4 years,76.1,-
1995,5 years,85.2,-
1995,6 years,91,-
1995,7 years,94.5,-
1995,8 years,96.8,-
1995,Median interval from marriage to first order live births (months),-,26.5
1996,1 year,23.9,-
1996,2 years,46.5,-
1996,3 years,62.8,-
1996,4 years,75.4,-
1996,5 years,84.3,-
1996,6 years,90.3,-
1996,7 years,93.9,-
1996,8 years,96.2,-
1996,Median interval from marriage to first order live births (months),-,26.6
1997,1 year,22.6,-
1997,2 years,46.4,-
1997,3 years,62.1,-
1997,4 years,74.1,-
1997,5 years,83.1,-
1997,6 years,89,-
1997,7 years,93.3,-
1997,8 years,95.8,-
1997,Median interval from marriage to first order live births (months),-,26.7
1998,1 year,22.6,-
1998,2 years,45.3,-
1998,3 years,61.8,-
1998,4 years,73.3,-
1998,5 years,81.9,-
1998,6 years,88.4,-
1998,7 years,92.7,-
1998,8 years,95.4,-
1998,Median interval from marriage to first order live births (months),-,27.4
1999,1 year,24,-
1999,2 years,44.1,-
1999,3 years,60.6,-
1999,4 years,73,-
1999,5 years,81.3,-
1999,6 years,87.6,-
1999,7 years,92,-
1999,8 years,95.1,-
1999,Median interval from marriage to first order live births (months),-,28.3
2000,1 year,24.8,-
2000,2 years,44.7,-
2000,3 years,57.9,-
2000,4 years,70.8,-
2000,5 years,80,-
2000,6 years,86.6,-
2000,7 years,91.4,-
2000,8 years,94.6,-
2000,Median interval from marriage to first order live births (months),-,28.8
2001,1 year,26.8,-
2001,2 years,46.1,-
2001,3 years,59.5,-
2001,4 years,69.4,-
2001,5 years,78.7,-
2001,6 years,85.6,-
2001,7 years,90.4,-
2001,8 years,93.7,-
2001,Median interval from marriage to first order live births (months),-,27.5
2002,1 year,26.9,-
2002,2 years,47,-
2002,3 years,60.8,-
2002,4 years,70.7,-
2002,5 years,78.1,-
2002,6 years,85.4,-
2002,7 years,90.3,-
2002,8 years,93.7,-
2002,Median interval from marriage to first order live births (months),-,26.6
2003,1 year,28.4,-
2003,2 years,49.1,-
2003,3 years,62.7,-
2003,4 years,72.7,-
2003,5 years,79.7,-
2003,6 years,85.1,-
2003,7 years,90.3,-
2003,8 years,93.5,-
2003,Median interval from marriage to first order live births (months),-,24.8
2004,1 year,31.3,-
2004,2 years,51.3,-
2004,3 years,64.9,-
2004,4 years,74.4,-
2004,5 years,81,-
2004,6 years,86.2,-
2004,7 years,90.3,-
2004,8 years,93.7,-
2004,Median interval from marriage to first order live births (months),-,23.2
2005,1 year,31.8,-
2005,2 years,53.4,-
2005,3 years,66.1,-
2005,4 years,75.3,-
2005,5 years,82.2,-
2005,6 years,86.9,-
2005,7 years,90.7,-
2005,8 years,93.5,-
2005,Median interval from marriage to first order live births (months),-,22.1
2006,1 year,31.4,-
2006,2 years,54,-
2006,3 years,68,-
2006,4 years,76.2,-
2006,5 years,82.5,-
2006,6 years,87.3,-
2006,7 years,90.9,-
2006,8 years,93.8,-
2006,Median interval from marriage to first order live births (months),-,21.9
2007,1 year,31.3,-
2007,2 years,51.8,-
2007,3 years,66.2,-
2007,4 years,75.8,-
2007,5 years,81.9,-
2007,6 years,86.7,-
2007,7 years,90.5,-
2007,8 years,93.2,-
2007,Median interval from marriage to first order live births (months),-,22.9
2008,1 year,31.3,-
2008,2 years,54.4,-
2008,3 years,67.2,-
2008,4 years,77.2,-
2008,5 years,83.4,-
2008,6 years,87.6,-
2008,7 years,91.2,-
2008,8 years,93.7,-
2008,Median interval from marriage to first order live births (months),-,21.7
2009,1 year,31.8,-
2009,2 years,53.7,-
2009,3 years,69,-
2009,4 years,77.7,-
2009,5 years,84.1,-
2009,6 years,88.5,-
2009,7 years,91.4,-
2009,8 years,93.7,-
2009,Median interval from marriage to first order live births (months),-,22
2010,1 year,32.4,-
2010,2 years,54.2,-
2010,3 years,69,-
2010,4 years,78.8,-
2010,5 years,84.7,-
2010,6 years,89.2,-
2010,7 years,92.3,-
2010,8 years,94.2,-
2010,Median interval from marriage to first order live births (months),-,21.7
2011,1 year,31.1,-
2011,2 years,55,-
2011,3 years,69.8,-
2011,4 years,79.1,-
2011,5 years,85.5,-
2011,6 years,89.6,-
2011,7 years,92.8,-
2011,8 years,94.9,-
2011,Median interval from marriage to first order live births (months),-,21.5
2012,1 year,30.6,-
2012,2 years,53.6,-
2012,3 years,69.7,-
2012,4 years,79.2,-
2012,5 years,85.4,-
2012,6 years,90.3,-
2012,7 years,93.1,-
2012,8 years,95.3,-
2012,Median interval from marriage to first order live births (months),-,22.1
2013,1 year,29.2,-
2013,2 years,53.5,-
2013,3 years,68.7,-
2013,4 years,78.9,-
2013,5 years,85,-
2013,6 years,89.5,-
2013,7 years,92.7,-
2013,8 years,94.7,-
2013,Median interval from marriage to first order live births (months),-,22.3
2014,1 year,27.7,-
2014,2 years,52.1,-
2014,3 years,69.7,-
2014,4 years,79.5,-
2014,5 years,86,-
2014,6 years,90.4,-
2014,7 years,93.4,-
2014,8 years,95.7,-
2014,Median interval from marriage to first order live births (months),-,22.9
2015,1 year,28.6,-
2015,2 years,50.5,-
2015,3 years,67.8,-
2015,4 years,79.3,-
2015,5 years,85.9,-
2015,6 years,90.7,-
2015,7 years,93.8,-
2015,8 years,95.7,-
2015,Median interval from marriage to first order live births (months),-,23.7
2016,1 year,27.5,-
2016,2 years,50.6,-
2016,3 years,66.5,-
2016,4 years,78.1,-
2016,5 years,85.8,-
2016,6 years,90.5,-
2016,7 years,93.7,-
2016,8 years,95.7,-
2016,Median interval from marriage to first order live births (months),-,23.7
2017,1 year,28.2,-
2017,2 years,49.9,-
2017,3 years,66.4,-
2017,4 years,76.7,-
2017,5 years,84.6,-
2017,6 years,90,-
2017,7 years,93.2,-
2017,8 years,95.6,-
2017,Median interval from marriage to first order live births (months),-,24
2018,1 year,26.7,-
2018,2 years,48.9,-
2018,3 years,65.2,-
2018,4 years,76.3,-
2018,5 years,83.1,-
2018,6 years,89.1,-
2018,7 years,93.1,-
2018,8 years,95.3,-
