Yr,Order_live_births,Age_mother,No_of_live_births
1991,First order live births,<20,1147
1991,First order live births,20 – 24,5946
1991,First order live births,25 – 29,14972
1991,First order live births,30 – 34,7929
1991,First order live births,>=35,1595
1991,First order live births,Total,31589
1991,Second order live births,<20,126
1991,Second order live births,20 – 24,2045
1991,Second order live births,25 – 29,9574
1991,Second order live births,30 – 34,10419
1991,Second order live births,>=35,3453
1991,Second order live births,Total,25617
1991,Third order live births,<20,5
1991,Third order live births,20 – 24,253
1991,Third order live births,25 – 29,2291
1991,Third order live births,30 – 34,3817
1991,Third order live births,>=35,1953
1991,Third order live births,Total,8319
1991,Fourth and higher order live births,<20,1
1991,Fourth and higher order live births,20 – 24,33
1991,Fourth and higher order live births,25 – 29,417
1991,Fourth and higher order live births,30 – 34,1189
1991,Fourth and higher order live births,>=35,1116
1991,Fourth and higher order live births,Total,2756
1992,First order live births,<20,1134
1992,First order live births,20 – 24,6809
1992,First order live births,25 – 29,15029
1992,First order live births,30 – 34,8673
1992,First order live births,>=35,1780
1992,First order live births,Total,33425
1992,Second order live births,<20,130
1992,Second order live births,20 – 24,2106
1992,Second order live births,25 – 29,9365
1992,Second order live births,30 – 34,11098
1992,Second order live births,>=35,3822
1992,Second order live births,Total,26521
1992,Third order live births,<20,5
1992,Third order live births,20 – 24,278
1992,Third order live births,25 – 29,2124
1992,Third order live births,30 – 34,3891
1992,Third order live births,>=35,2067
1992,Third order live births,Total,8365
1992,Fourth and higher order live births,<20,–
1992,Fourth and higher order live births,20 – 24,25
1992,Fourth and higher order live births,25 – 29,359
1992,Fourth and higher order live births,30 – 34,1209
1992,Fourth and higher order live births,>=35,1045
1992,Fourth and higher order live births,Total,2638
1993,First order live births,<20,1198
1993,First order live births,20 – 24,7535
1993,First order live births,25 – 29,14062
1993,First order live births,30 – 34,9314
1993,First order live births,>=35,1994
1993,First order live births,Total,34103
1993,Second order live births,<20,135
1993,Second order live births,20 – 24,2095
1993,Second order live births,25 – 29,8458
