Yr,Order_live_births,Age_mother,Fertility_rates
1991,First order live births,15 – 19,5.9
1991,First order live births,20 – 24,28.1
1991,First order live births,25 – 29,53.5
1991,First order live births,30 – 34,27.6
1991,First order live births,35 – 39,6
1991,First order live births,40 – 44,0.9
1991,First order live births,45 – 49,§
1991,Second order live births,15 – 19,0.6
1991,Second order live births,20 – 24,9.7
1991,Second order live births,25 – 29,34.2
1991,Second order live births,30 – 34,36.2
1991,Second order live births,35 – 39,13.2
1991,Second order live births,40 – 44,1.6
1991,Second order live births,45 – 49,0.1
1991,Third order live births,15 – 19,§
1991,Third order live births,20 – 24,1.2
1991,Third order live births,25 – 29,8.2
1991,Third order live births,30 – 34,13.3
1991,Third order live births,35 – 39,7.3
1991,Third order live births,40 – 44,1.1
1991,Third order live births,45 – 49,0.1
1991,Fourth and higher order live births,15 – 19,§
1991,Fourth and higher order live births,20 – 24,0.2
1991,Fourth and higher order live births,25 – 29,1.5
1991,Fourth and higher order live births,30 – 34,4.1
1991,Fourth and higher order live births,35 – 39,3.9
1991,Fourth and higher order live births,40 – 44,1
1991,Fourth and higher order live births,45 – 49,0.1
1992,First order live births,15 – 19,5.9
1992,First order live births,20 – 24,33.5
1992,First order live births,25 – 29,55.9
1992,First order live births,30 – 34,29.6
1992,First order live births,35 – 39,6.3
1992,First order live births,40 – 44,1
1992,First order live births,45 – 49,§
1992,Second order live births,15 – 19,0.7
1992,Second order live births,20 – 24,10.4
1992,Second order live births,25 – 29,34.8
1992,Second order live births,30 – 34,37.9
1992,Second order live births,35 – 39,13.8
1992,Second order live births,40 – 44,1.7
1992,Second order live births,45 – 49,0.1
1992,Third order live births,15 – 19,§
1992,Third order live births,20 – 24,1.4
1992,Third order live births,25 – 29,7.9
1992,Third order live births,30 – 34,13.3
1992,Third order live births,35 – 39,7.4
1992,Third order live births,40 – 44,1
1992,Third order live births,45 – 49,0.1
1992,Fourth and higher order live births,15 – 19,§
1992,Fourth and higher order live births,20 – 24,0.1
1992,Fourth and higher order live births,25 – 29,1.3
1992,Fourth and higher order live births,30 – 34,4.1
1992,Fourth and higher order live births,35 – 39,3.4
1992,Fourth and higher order live births,40 – 44,0.9
1992,Fourth and higher order live births,45 – 49,0.1
1993,First order live births,15 – 19,6.2
1993,First order live births,20 – 24,37.3
1993,First order live births,25 – 29,54
1993,First order live births,30 – 34,31.1
1993,First order live births,35 – 39,6.7
1993,First order live births,40 – 44,0.9
1993,First order live births,45 – 49,§
1993,Second order live births,15 – 19,0.7
1993,Second order live births,20 – 24,10.4
1993,Second order live births,25 – 29,32.5
1993,Second order live births,30 – 34,37.7
1993,Second order live births,35 – 39,14.4
1993,Second order live births,40 – 44,1.8
1993,Second order live births,45 – 49,0.1
1993,Third order live births,15 – 19,§
1993,Third order live births,20 – 24,1.3
1993,Third order live births,25 – 29,7
1993,Third order live births,30 – 34,11.5
1993,Third order live births,35 – 39,6.8
1993,Third order live births,40 – 44,1.1
1993,Third order live births,45 – 49,0.1
1993,Fourth and higher order live births,15 – 19,§
1993,Fourth and higher order live births,20 – 24,0.2
1993,Fourth and higher order live births,25 – 29,1.3
1993,Fourth and higher order live births,30 – 34,3.6
1993,Fourth and higher order live births,35 – 39,3.3
1993,Fourth and higher order live births,40 – 44,0.9
1993,Fourth and higher order live births,45 – 49,0.1
1994,First order live births,15 – 19,6
1994,First order live births,20 – 24,36.5
1994,First order live births,25 – 29,54.9
1994,First order live births,30 – 34,34.4
1994,First order live births,35 – 39,7.3
1994,First order live births,40 – 44,0.8
1994,First order live births,45 – 49,0.1
1994,Second order live births,15 – 19,0.6
1994,Second order live births,20 – 24,11.1
1994,Second order live births,25 – 29,32.5
1994,Second order live births,30 – 34,38.4
1994,Second order live births,35 – 39,15
1994,Second order live births,40 – 44,1.8
1994,Second order live births,45 – 49,§
1994,Third order live births,15 – 19,§
1994,Third order live births,20 – 24,1
1994,Third order live births,25 – 29,6.3
1994,Third order live births,30 – 34,10.9
1994,Third order live births,35 – 39,6.6
1994,Third order live births,40 – 44,1.1
1994,Third order live births,45 – 49,0.1
1994,Fourth and higher order live births,15 – 19,§
1994,Fourth and higher order live births,20 – 24,0.1
1994,Fourth and higher order live births,25 – 29,1.1
1994,Fourth and higher order live births,30 – 34,3
1994,Fourth and higher order live births,35 – 39,2.9
1994,Fourth and higher order live births,40 – 44,0.8
1994,Fourth and higher order live births,45 – 49,0.1
1995,First order live births,15 – 19,5.3
1995,First order live births,20 – 24,31.4
1995,First order live births,25 – 29,52.6
1995,First order live births,30 – 34,34.4
1995,First order live births,35 – 39,7.6
1995,First order live births,40 – 44,1
1995,First order live births,45 – 49,0.1
1995,Second order live births,15 – 19,0.6
1995,Second order live births,20 – 24,10.1
1995,Second order live births,25 – 29,31.5
1995,Second order live births,30 – 34,37.9
1995,Second order live births,35 – 39,15.6
1995,Second order live births,40 – 44,1.9
1995,Second order live births,45 – 49,0.1
1995,Third order live births,15 – 19,§
1995,Third order live births,20 – 24,0.9
1995,Third order live births,25 – 29,5.5
1995,Third order live births,30 – 34,9.8
1995,Third order live births,35 – 39,6.3
1995,Third order live births,40 – 44,1.2
1995,Third order live births,45 – 49,§
1995,Fourth and higher order live births,15 – 19,§
1995,Fourth and higher order live births,20 – 24,0.1
1995,Fourth and higher order live births,25 – 29,0.9
1995,Fourth and higher order live births,30 – 34,2.6
1995,Fourth and higher order live births,35 – 39,2.4
1995,Fourth and higher order live births,40 – 44,0.7
1995,Fourth and higher order live births,45 – 49,0.1
1996,First order live births,15 – 19,5.2
1996,First order live births,20 – 24,27.5
1996,First order live births,25 – 29,46.7
1996,First order live births,30 – 34,32.2
1996,First order live births,35 – 39,8.2
1996,First order live births,40 – 44,1.1
1996,First order live births,45 – 49,0.1
1996,Second order live births,15 – 19,0.6
1996,Second order live births,20 – 24,8.8
1996,Second order live births,25 – 29,28.2
1996,Second order live births,30 – 34,35.3
1996,Second order live births,35 – 39,15.3
1996,Second order live births,40 – 44,1.9
1996,Second order live births,45 – 49,§
1996,Third order live births,15 – 19,0.1
1996,Third order live births,20 – 24,0.8
1996,Third order live births,25 – 29,5.1
1996,Third order live births,30 – 34,8.8
1996,Third order live births,35 – 39,6
1996,Third order live births,40 – 44,1.1
1996,Third order live births,45 – 49,§
1996,Fourth and higher order live births,15 – 19,§
1996,Fourth and higher order live births,20 – 24,0.1
1996,Fourth and higher order live births,25 – 29,0.8
1996,Fourth and higher order live births,30 – 34,2.3
1996,Fourth and higher order live births,35 – 39,2.3
1996,Fourth and higher order live births,40 – 44,0.8
1996,Fourth and higher order live births,45 – 49,§
1997,First order live births,15 – 19,4.9
1997,First order live births,20 – 24,24.5
1997,First order live births,25 – 29,42.3
1997,First order live births,30 – 34,31.9
1997,First order live births,35 – 39,8.5
1997,First order live births,40 – 44,1.2
1997,First order live births,45 – 49,0.1
1997,Second order live births,15 – 19,0.6
1997,Second order live births,20 – 24,7.9
1997,Second order live births,25 – 29,25.9
1997,Second order live births,30 – 34,33.5
1997,Second order live births,35 – 39,15.8
1997,Second order live births,40 – 44,2.1
1997,Second order live births,45 – 49,0.1
1997,Third order live births,15 – 19,0.1
1997,Third order live births,20 – 24,0.9
1997,Third order live births,25 – 29,4.4
1997,Third order live births,30 – 34,8.4
1997,Third order live births,35 – 39,5.9
1997,Third order live births,40 – 44,1.2
1997,Third order live births,45 – 49,0.1
1997,Fourth and higher order live births,15 – 19,§
1997,Fourth and higher order live births,20 – 24,0.1
1997,Fourth and higher order live births,25 – 29,0.7
1997,Fourth and higher order live births,30 – 34,1.9
1997,Fourth and higher order live births,35 – 39,2.1
1997,Fourth and higher order live births,40 – 44,0.9
1997,Fourth and higher order live births,45 – 49,0.1
1998,First order live births,15 – 19,4.7
