Yr,Dur_marr_mo,No_live_births,Per_live_births
1991,<1,8358,12.9
1991,1,9143,14.1
1991,2,8339,12.9
1991,3,8057,12.5
1991,4,6417,9.9
1991,5,5370,8.3
1991,6,4979,7.7
1991,7,3663,5.7
1991,8,3008,4.7
1991,9,2409,3.7
1991, 10 - 14,4356,6.7
1991, 15 - 19,517,0.8
1991, >=20,71,0.1
1991,Total,64687,100
1992,<1,8601,12.8
1992,1,9805,14.6
1992,2,8355,12.4
1992,3,7732,11.5
1992,4,7449,11.1
1992,5,5754,8.6
1992,6,4692,7
1992,7,4209,6.3
1992,8,3009,4.5
1992,9,2328,3.5
1992, 10 - 14,4739,7
1992, 15 - 19,508,0.8
1992, >=20,61,0.1
1992,Total,67242,100
1993,<1,9164,13.7
1993,1,9601,14.4
1993,2,8442,12.7
1993,3,7481,11.2
1993,4,6593,9.9
1993,5,6259,9.4
1993,6,4701,7
1993,7,3709,5.6
1993,8,3042,4.6
1993,9,2275,3.4
1993, 10 - 14,4904,7.3
1993, 15 - 19,491,0.7
1993, >=20,72,0.1
1993,Total,66734,100
1994,<1,8998,13.3
1994,1,9636,14.2
1994,2,8385,12.4
1994,3,8002,11.8
1994,4,6857,10.1
1994,5,5758,8.5
1994,6,5324,7.9
1994,7,3740,5.5
1994,8,2963,4.4
1994,9,2413,3.6
1994, 10 - 14,5102,7.5
1994, 15 - 19,559,0.8
1994, >=20,61,0.1
1994,Total,67798,100
1995,<1,7883,12.2
1995,1,8534,13.2
1995,2,8179,12.7
1995,3,7364,11.4
1995,4,6952,10.8
1995,5,5859,9.1
1995,6,4766,7.4
1995,7,4128,6.4
1995,8,2872,4.4
1995,9,2263,3.5
1995, 10 - 14,5203,8
1995, 15 - 19,587,0.9
1995, >=20,51,0.1
1995,Total,64641,100
1996,<1,7514,12.7
1996,1,7500,12.7
1996,2,7133,12.1
1996,3,6940,11.7
1996,4,6218,10.5
1996,5,5598,9.5
1996,6,4296,7.3
1996,7,3476,5.9
1996,8,2925,4.9
1996,9,2093,3.5
1996, 10 - 14,4805,8.1
1996, 15 - 19,622,1.1
1996, >=20,43,0.1
1996,Total,59163,100
1997,<1,6615,12
1997,1,7327,13.3
1997,2,6360,11.6
1997,3,6026,10.9
1997,4,5673,10.3
1997,5,4946,9
1997,6,4466,8.1
1997,7,3419,6.2
1997,8,2651,4.8
1997,9,2202,4
1997, 10 - 14,4597,8.4
1997, 15 - 19,690,1.3
1997, >=20,64,0.1
1997,Total,55036,100
1998,<1,6214,12.7
1998,1,6561,13.4
1998,2,6012,12.2
1998,3,5169,10.5
1998,4,4818,9.8
1998,5,4540,9.2
1998,6,3767,7.7
1998,7,3107,6.3
1998,8,2292,4.7
1998,9,1812,3.7
1998, 10 - 14,4119,8.4
1998, 15 - 19,619,1.3
1998, >=20,53,0.1
1998,Total,49083,100
1999,<1,6626,13.9
1999,1,5891,12.4
1999,2,5847,12.3
1999,3,5372,11.3
1999,4,4506,9.5
1999,5,4083,8.6
1999,6,3704,7.8
1999,7,2948,6.2
1999,8,2275,4.8
1999,9,1727,3.6
1999, 10 - 14,3882,8.2
