Yr_of_birth,Age,Fert_rates
1936,15,12.6
1936,16,12.6
1936,17,22.8
1936,18,46.8
1936,19,83
1936,20,122.7
1936,21,166.7
1936,22,204.5
1936,23,237.5
1936,24,254.4
1936,25,264.7
1936,26,276.5
1936,27,289
1936,28,252.5
1936,29,249.7
1936,30,223
1936,31,188
1936,32,161.2
1936,33,143.5
1936,34,98.6
1936,35,108.4
1936,36,92.5
1936,37,67.6
1936,38,54.7
1936,39,33.9
1936,40,27.3
1936,41,14.1
1936,42,10.5
1936,43,5.4
1936,44,3
1936,45,1.5
1936,46,0.6
1936,47,0.4
1936,48,§
1936,49,0.1
1937,15,6.6
1937,16,15
1937,17,33.1
1937,18,68.6
1937,19,97.4
1937,20,171.4
1937,21,202.1
1937,22,268.2
1937,23,274.3
1937,24,327.2
1937,25,366.3
1937,26,352.4
1937,27,361.5
1937,28,310.9
1937,29,283.9
1937,30,247.8
1937,31,203.3
1937,32,205.7
1937,33,113.9
1937,34,133.4
1937,35,104.1
1937,36,88.1
1937,37,63.3
1937,38,46.4
1937,39,30.9
1937,40,24.3
1937,41,12.7
1937,42,10.3
1937,43,5.9
1937,44,2.5
1937,45,1.7
1937,46,0.7
1937,47,0.1
1937,48,0.2
1937,49,0.4
1938,15,5.1
1938,16,9.7
1938,17,24.4
1938,18,53.8
1938,19,80
1938,20,126
1938,21,165.5
1938,22,196.3
1938,23,217.9
1938,24,277.7
1938,25,289.6
1938,26,278.1
1938,27,257
1938,28,245.9
1938,29,222.5
1938,30,199.1
1938,31,176.1
1938,32,153.8
1938,33,151.6
1938,34,119.8
1938,35,97.2
1938,36,76.3
1938,37,53.7
1938,38,45.3
1938,39,28.7
1938,40,21.1
1938,41,10.4
1938,42,8.4
1938,43,4.4
1938,44,2.4
1938,45,1.2
1938,46,0.2
1938,47,0.1
1938,48,0.2
1938,49,§
1939,15,7.7
1939,16,17.3
1939,17,31.5
1939,18,61.9
1939,19,95.2
1939,20,135.6
1939,21,177.8
1939,22,208.8
1939,23,273.6
1939,24,273
1939,25,302.8
1939,26,270
1939,27,273
1939,28,237.9
1939,29,226
1939,30,185.6
1939,31,192.4
1939,32,172.6
1939,33,131.9
1939,34,114.3
1939,35,87.7
1939,36,63.2
1939,37,42
1939,38,39.7
1939,39,24.4
1939,40,17.1
1939,41,9.1
1939,42,6.8
1939,43,3.4
1939,44,1.7
1939,45,0.9
1939,46,0.7
1939,47,0.2
1939,48,§
1939,49,0.2
1940,15,4.3
1940,16,11
1940,17,29.2
1940,18,53.6
1940,19,101.1
1940,20,129.7
1940,21,176.5
1940,22,212.4
1940,23,253.2
1940,24,271.5
1940,25,285.5
1940,26,284.9
1940,27,264.8
1940,28,252
1940,29,217.9
1940,30,288.5
1940,31,175.3
1940,32,150.5
1940,33,121
1940,34,98.7
1940,35,75.1
1940,36,57.6
1940,37,44.4
1940,38,38.7
1940,39,22.9
1940,40,16.5
1940,41,7.4
1940,42,6.2
1940,43,2.8
1940,44,1.5
1940,45,0.9
1940,46,0.3
1940,47,0.1
1940,48,0.2
1940,49,0.3
1941,15,3.5
1941,16,17.3
1941,17,32.5
1941,18,47.7
1941,19,107.1
1941,20,135.4
1941,21,193.5
1941,22,229.4
1941,23,255
1941,24,261.2
1941,25,268.8
1941,26,287.5
1941,27,269.5
1941,28,258.4
1941,29,164
1941,30,183.4
1941,31,149.5
1941,32,140.9
1941,33,103.6
1941,34,83
1941,35,71.2
1941,36,52.8
1941,37,39.3
1941,38,34.4
1941,39,22.6
1941,40,13.8
1941,41,8.2
1941,42,5
1941,43,3
1941,44,1.6
1941,45,0.6
1941,46,0.3
1941,47,0.3
1941,48,0.1
1941,49,0.2
1942,15,7.5
1942,16,11.6
1942,17,27.4
1942,18,52
1942,19,91.7
1942,20,142.3
1942,21,192.2
1942,22,214.1
1942,23,242.2
1942,24,261.3
1942,25,260
1942,26,268.2
1942,27,240.1
1942,28,224.5
1942,29,186.8
1942,30,180.9
1942,31,135.9
1942,32,125.3
1942,33,99.4
1942,34,81
1942,35,65.2
1942,36,50.1
1942,37,37
1942,38,29.7
1942,39,18
1942,40,12.1
1942,41,6.5
1942,42,4
1942,43,2.2
1942,44,1.2
1942,45,0.7
1942,46,0.4
1942,47,0.3
1942,48,0.1
1942,49,0.1
1943,15,7
1943,16,15.4
1943,17,38.4
1943,18,74.1
1943,19,95.8
1943,20,130.7
1943,21,185.9
1943,22,211.8
1943,23,251.7
1943,24,273.3
1943,25,264.2
1943,26,236.3
1943,27,247.2
1943,28,234.9
1943,29,205
1943,30,195.9
1943,31,149.1
1943,32,126.2
1943,33,99.5
1943,34,84.7
1943,35,68.7
1943,36,51.4
1943,37,33.5
1943,38,27.2
1943,39,18.1
1943,40,10.2
1943,41,6.2
1943,42,4.2
1943,43,2.2
1943,44,1.5
1943,45,0.3
1943,46,0.4
1943,47,0.2
1943,48,0.1
1943,49,§
1944,15,6.5
1944,16,12.4
1944,17,32.8
1944,18,72.1
1944,19,96.3
1944,20,161.2
1944,21,201.1
1944,22,250.9
1944,23,268.6
1944,24,296.1
1944,25,295.4
1944,26,265.8
1944,27,266.7
1944,28,244.4
1944,29,220.6
1944,30,204.5
1944,31,146.2
1944,32,125
1944,33,93.3
1944,34,78.7
1944,35,65.2
1944,36,48.7
1944,37,30.8
1944,38,25.7
1944,39,14.8
1944,40,10.6
1944,41,6.2
1944,42,3.9
1944,43,2.1
1944,44,1.1
1944,45,0.4
1944,46,0.3
1944,47,§
1944,48,0.1
1944,49,0.2
1945,15,4
1945,16,16.1
1945,17,29.9
1945,18,63.7
1945,19,96.4
1945,20,139.5
1945,21,171.7
1945,22,204.4
1945,23,230.8
1945,24,256
1945,25,236.6
1945,26,259.4
1945,27,263.5
1945,28,232.7
1945,29,180.7
1945,30,159.5
1945,31,113.6
1945,32,106.9
1945,33,81.4
1945,34,70
1945,35,57.7
1945,36,42
1945,37,31
1945,38,20.4
1945,39,14.1
1945,40,8.7
1945,41,4.7
1945,42,3.8
1945,43,2
1945,44,1.2
1945,45,0.6
1945,46,0.3
1945,47,0.2
1945,48,0.1
1945,49,0.1
1946,15,9
1946,16,13.1
1946,17,34.8
1946,18,55.6
1946,19,90.5
1946,20,133.9
1946,21,164.2
1946,22,200.8
1946,23,223.4
1946,24,272.6
1946,25,259.9
1946,26,273.6
1946,27,242.9
1946,28,220.3
1946,29,163.4
1946,30,150.9
1946,31,106.5
1946,32,105.8
1946,33,76
1946,34,64.5
1946,35,46.9
1946,36,39.1
1946,37,25.8
1946,38,17.7
1946,39,12.1
1946,40,6.8
1946,41,4.3
1946,42,3.1
1946,43,2.2
1946,44,1.1
1946,45,0.7
1946,46,0.3
1946,47,0.2
1946,48,§
1946,49,0.1
1947,15,4
1947,16,9.6
1947,17,25.3
1947,18,46.6
1947,19,79.5
1947,20,122.9
1947,21,149.4
1947,22,186.7
1947,23,201.7
1947,24,247.2
1947,25,244.3
1947,26,271.8
1947,27,232.2
1947,28,207.3
1947,29,171.6
1947,30,152.7
1947,31,116.6
1947,32,107.1
1947,33,81.3
1947,34,60.7
1947,35,49.4
1947,36,36.9
1947,37,26.6
1947,38,17.6
1947,39,12.9
1947,40,7.8
1947,41,6
1947,42,3.5
1947,43,1.8
1947,44,0.9
1947,45,0.6
1947,46,0.4
1947,47,0.1
