Yr_of_birth,Age,Avg_born
1936,16,0.0126
1936,17,0.0252
1936,18,0.048
1936,19,0.0948
1936,20,0.1778
1936,21,0.3005
1936,22,0.4672
1936,23,0.6717
1936,24,0.9092
1936,25,1.1636
1936,26,1.4283
1936,27,1.7048
1936,28,1.9938
1936,29,2.2463
1936,30,2.496
1936,31,2.719
1936,32,2.907
1936,33,3.0682
1936,34,3.2117
1936,35,3.3103
1936,36,3.4187
1936,37,3.5113
1936,38,3.5788
1936,39,3.6335
1936,40,3.6674
1936,41,3.6947
1936,42,3.7088
1936,43,3.7193
1936,44,3.7247
1936,45,3.7277
1936,46,3.7292
1936,47,3.7298
1936,48,3.7303
1936,49,3.7303
1936,50,3.7304
1937,16,0.0066
1937,17,0.0216
1937,18,0.0547
1937,19,0.1233
1937,20,0.2207
1937,21,0.3921
1937,22,0.5942
1937,23,0.8624
1937,24,1.1367
1937,25,1.4639
1937,26,1.8302
1937,27,2.1826
1937,28,2.5441
1937,29,2.855
1937,30,3.1389
1937,31,3.3867
1937,32,3.59
1937,33,3.7957
1937,34,3.9096
1937,35,4.043
1937,36,4.1471
1937,37,4.2353
1937,38,4.2986
1937,39,4.345
1937,40,4.3759
1937,41,4.4002
1937,42,4.4129
1937,43,4.4231
1937,44,4.429
1937,45,4.4315
1937,46,4.4332
1937,47,4.4339
1937,48,4.434
1937,49,4.4342
1937,50,4.4345
1938,16,0.0051
1938,17,0.0148
1938,18,0.0392
1938,19,0.093
1938,20,0.173
1938,21,0.299
1938,22,0.4645
1938,23,0.6608
1938,24,0.8787
1938,25,1.1564
1938,26,1.446
1938,27,1.7241
1938,28,1.9811
1938,29,2.227
1938,30,2.4495
1938,31,2.6486
1938,32,2.8247
1938,33,2.9785
1938,34,3.1301
1938,35,3.2499
1938,36,3.3471
1938,37,3.4234
1938,38,3.4771
1938,39,3.5224
1938,40,3.5511
1938,41,3.5722
1938,42,3.5827
1938,43,3.591
1938,44,3.5955
1938,45,3.5979
1938,46,3.5991
1938,47,3.5993
1938,48,3.5995
1938,49,3.5996
1938,50,3.5997
1939,16,0.0077
1939,17,0.025
1939,18,0.0565
1939,19,0.1184
1939,20,0.2136
1939,21,0.3492
1939,22,0.527
1939,23,0.7358
1939,24,1.0094
1939,25,1.2824
1939,26,1.5852
1939,27,1.8552
1939,28,2.1282
1939,29,2.3661
1939,30,2.5921
1939,31,2.7777
1939,32,2.9701
1939,33,3.1427
1939,34,3.2747
1939,35,3.389
1939,36,3.4767
1939,37,3.5399
1939,38,3.5819
1939,39,3.6216
1939,40,3.6459
1939,41,3.663
1939,42,3.6721
1939,43,3.6788
1939,44,3.6823
1939,45,3.684
1939,46,3.6849
1939,47,3.6856
1939,48,3.6858
1939,49,3.6858
1939,50,3.686
