Yr,Age_gp,Sex,No_of_deaths
1991,0,Male,217
1991,0,Female,219
1991,0,Both sexes,436
1991,1 – 4,Male,40
1991,1 – 4,Female,42
1991,1 – 4,Both sexes,82
1991,5 – 9,Male,27
1991,5 – 9,Female,27
1991,5 – 9,Both sexes,54
1991,10 – 14,Male,44
1991,10 – 14,Female,38
1991,10 – 14,Both sexes,82
1991,15 – 19,Male,80
1991,15 – 19,Female,48
1991,15 – 19,Both sexes,128
1991,20 – 24,Male,130
1991,20 – 24,Female,74
1991,20 – 24,Both sexes,204
1991,25 – 29,Male,229
1991,25 – 29,Female,107
1991,25 – 29,Both sexes,336
1991,30 – 34,Male,275
1991,30 – 34,Female,136
1991,30 – 34,Both sexes,411
1991,35 – 39,Male,330
1991,35 – 39,Female,160
1991,35 – 39,Both sexes,490
1991,40 – 44,Male,481
1991,40 – 44,Female,219
1991,40 – 44,Both sexes,700
1991,45 – 49,Male,480
1991,45 – 49,Female,192
1991,45 – 49,Both sexes,672
1991,50 – 54,Male,805
1991,50 – 54,Female,330
1991,50 – 54,Both sexes,1135
1991,55 – 59,Male,1248
1991,55 – 59,Female,556
1991,55 – 59,Both sexes,1804
1991,60 – 64,Male,1920
1991,60 – 64,Female,861
1991,60 – 64,Both sexes,2781
1991,65 – 69,Male,2208
1991,65 – 69,Female,1304
1991,65 – 69,Both sexes,3512
1991,70 – 74,Male,2557
1991,70 – 74,Female,1742
1991,70 – 74,Both sexes,4299
1991,75 – 79,Male,2412
1991,75 – 79,Female,2052
1991,75 – 79,Both sexes,4464
1991,80 – 84,Male,1482
1991,80 – 84,Female,1892
1991,80 – 84,Both sexes,3374
1991,85+,Male,951
1991,85+,Female,2514
1991,85+,Both sexes,3465
1991,Total,Male,15916
1991,Total,Female,12513
1991,Total,Both sexes,28429
1992,0,Male,176
1992,0,Female,165
1992,0,Both sexes,341
1992,1 – 4,Male,48
1992,1 – 4,Female,35
1992,1 – 4,Both sexes,83
1992,5 – 9,Male,38
1992,5 – 9,Female,18
1992,5 – 9,Both sexes,56
1992,10 – 14,Male,54
1992,10 – 14,Female,32
1992,10 – 14,Both sexes,86
1992,15 – 19,Male,89
1992,15 – 19,Female,53
