Value descriptions,,
Variable,Value_eng,Value_chi
Yr,1991,1991
Yr,1992,1992
Yr,1993,1993
Yr,1994,1994
Yr,1995,1995
Yr,1996,1996
Yr,1997,1997
Yr,1998,1998
Yr,1999,1999
Yr,2000,2000
Yr,2001,2001
Yr,2002,2002
Yr,2003,2003
Yr,2004,2004
Yr,2005,2005
Yr,2006,2006
Yr,2007,2007
Yr,2008,2008
Yr,2009,2009
Yr,2010,2010
Yr,2011,2011
Yr,2012,2012
Yr,2013,2013
Yr,2014,2014
Yr,2015,2015
Yr,2016,2016
Yr,2017,2017
Yr,2018,2018
Yr,2019,2019
Yr,2020,2020
Yr,2021,2021
Age_gp,0,0
Age_gp,1 – 4,1 – 4
Age_gp,5 – 9,5 – 9
Age_gp,10 – 14,10 – 14
Age_gp,15 – 19,15 – 19
Age_gp,20 – 24,20 – 24
Age_gp,25 – 29,25 – 29
Age_gp,30 – 34,30 – 34
Age_gp,35 – 39,35 – 39
Age_gp,40 – 44,40 – 44
Age_gp,45 – 49,45 – 49
Age_gp,50 – 54,50 – 54
Age_gp,55 – 59,55 – 59
Age_gp,60 – 64,60 – 64
Age_gp,65 – 69,65 – 69
Age_gp,70 – 74,70 – 74
Age_gp,75 – 79,75 – 79
Age_gp,80 – 84,80 – 84
Age_gp,85+,85+
Age_gp,Total,總計
Sex,Male,男
Sex,Female,女
Sex,Both sexes,合計
