Yr,Age_gp,Sex,No_of_persons,Sex_ratios
1991,30 – 34,Male,103400,
1991,35 – 39,Male,44300,
1991,40 – 44,Male,25500,
1991,45 – 49,Male,12000,
1991,30 – 34,Female,56800,
1991,35 – 39,Female,28900,
1991,40 – 44,Female,19700,
1991,45 – 49,Female,10200,
1991,30 – 34,Difference,46600,1821
1991,35 – 39,Difference,15400,1533
1991,40 – 44,Difference,5700,1291
1991,45 – 49,Difference,1900,1187
2021,30 – 34,Male,135900,
2021,35 – 39,Male,86100,
2021,40 – 44,Male,65000,
2021,45 – 49,Male,60600,
2021,30 – 34,Female,116700,
2021,35 – 39,Female,84100,
2021,40 – 44,Female,83900,
2021,45 – 49,Female,88200,
2021,30 – 34,Difference,19200,1164
2021,35 – 39,Difference,2100,1024
2021,40 – 44,Difference,-18900,775
2021,45 – 49,Difference,-27600,687
