Yr,Age_gp_males,Sex,No_of_persons
1991,30 – 34,Male,103400
1991,35 – 39,Male,44300
1991,40 – 44,Male,25500
1991,45 – 49,Male,12000
1991,30 – 34,Female,92500
1991,35 – 39,Female,42200
1991,40 – 44,Female,24300
1991,45 – 49,Female,15500
1991,30 – 34,Difference,10900
1991,35 – 39,Difference,2100
1991,40 – 44,Difference,1200
1991,45 – 49,Difference,-3500
2021,30 – 34,Male,135900
2021,35 – 39,Male,86100
2021,40 – 44,Male,65000
2021,45 – 49,Male,60600
2021,30 – 34,Female,140200
2021,35 – 39,Female,91100
2021,40 – 44,Female,83700
2021,45 – 49,Female,83800
2021,30 – 34,Difference,-4300
2021,35 – 39,Difference,-5000
2021,40 – 44,Difference,-18600
2021,45 – 49,Difference,-23200
