Yr,Pre_marital_stat_g,Pre_marital_stat_b,No_of_marri
1991,Bachelors who married,Spinsters,34522
1991,Bachelors who married,Widows,170
1991,Bachelors who married,Divorced women,1838
1991,Widowers who married,Spinsters,210
1991,Widowers who married,Widows,52
1991,Widowers who married,Divorced women,113
1991,Divorced men who married,Spinsters,1763
1991,Divorced men who married,Widows,66
1991,Divorced men who married,Divorced women,680
1992,Bachelors who married,Spinsters,38065
1992,Bachelors who married,Widows,217
1992,Bachelors who married,Divorced women,1844
1992,Widowers who married,Spinsters,247
1992,Widowers who married,Widows,51
1992,Widowers who married,Divorced women,86
1992,Divorced men who married,Spinsters,2003
1992,Divorced men who married,Widows,74
1992,Divorced men who married,Divorced women,671
1993,Bachelors who married,Spinsters,34394
1993,Bachelors who married,Widows,167
1993,Bachelors who married,Divorced women,1929
1993,Widowers who married,Spinsters,250
1993,Widowers who married,Widows,61
1993,Widowers who married,Divorced women,91
1993,Divorced men who married,Spinsters,1940
1993,Divorced men who married,Widows,81
1993,Divorced men who married,Divorced women,685
1994,Bachelors who married,Spinsters,31348
1994,Bachelors who married,Widows,172
1994,Bachelors who married,Divorced women,1929
1994,Widowers who married,Spinsters,211
1994,Widowers who married,Widows,51
1994,Widowers who married,Divorced women,115
1994,Divorced men who married,Spinsters,2016
1994,Divorced men who married,Widows,87
1994,Divorced men who married,Divorced women,728
1995,Bachelors who married,Spinsters,32033
1995,Bachelors who married,Widows,145
1995,Bachelors who married,Divorced women,1902
1995,Widowers who married,Spinsters,185
1995,Widowers who married,Widows,47
1995,Widowers who married,Divorced women,103
1995,Divorced men who married,Spinsters,2014
1995,Divorced men who married,Widows,64
1995,Divorced men who married,Divorced women,827
1996,Bachelors who married,Spinsters,29397
1996,Bachelors who married,Widows,154
1996,Bachelors who married,Divorced women,2126
1996,Widowers who married,Spinsters,236
1996,Widowers who married,Widows,35
1996,Widowers who married,Divorced women,112
1996,Divorced men who married,Spinsters,2173
1996,Divorced men who married,Widows,93
1996,Divorced men who married,Divorced women,967
1997,Bachelors who married,Spinsters,30427
1997,Bachelors who married,Widows,150
1997,Bachelors who married,Divorced women,2291
1997,Widowers who married,Spinsters,208
1997,Widowers who married,Widows,45
1997,Widowers who married,Divorced women,129
1997,Divorced men who married,Spinsters,2315
1997,Divorced men who married,Widows,81
1997,Divorced men who married,Divorced women,1079
1998,Bachelors who married,Spinsters,25064
1998,Bachelors who married,Widows,137
1998,Bachelors who married,Divorced women,2104
1998,Widowers who married,Spinsters,218
1998,Widowers who married,Widows,59
1998,Widowers who married,Divorced women,143
1998,Divorced men who married,Spinsters,2293
1998,Divorced men who married,Widows,86
1998,Divorced men who married,Divorced women,1042
1999,Bachelors who married,Spinsters,24520
1999,Bachelors who married,Widows,135
1999,Bachelors who married,Divorced women,2167
1999,Widowers who married,Spinsters,225
1999,Widowers who married,Widows,50
1999,Widowers who married,Divorced women,132
1999,Divorced men who married,Spinsters,2295
1999,Divorced men who married,Widows,93
1999,Divorced men who married,Divorced women,1133
2000,Bachelors who married,Spinsters,23917
2000,Bachelors who married,Widows,145
2000,Bachelors who married,Divorced women,2114
2000,Widowers who married,Spinsters,212
2000,Widowers who married,Widows,60
2000,Widowers who married,Divorced women,179
2000,Divorced men who married,Spinsters,2476
