Yr,Pre_marital_s1,Pre_marital_s2,Age_gp,No_of_marri
1991,Previous marital status of bridegrooms,Never married,16 – 19,319
1991,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
1991,Previous marital status of bridegrooms,Others,16 – 19,–
1991,Previous marital status of bridegrooms,Total,16 – 19,319
1991,Previous marital status of bridegrooms,Never married,20 – 24,5165
1991,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,12
1991,Previous marital status of bridegrooms,Others,20 – 24,–
1991,Previous marital status of bridegrooms,Total,20 – 24,5177
1991,Previous marital status of bridegrooms,Never married,25 – 29,15635
1991,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,220
1991,Previous marital status of bridegrooms,Others,25 – 29,3
1991,Previous marital status of bridegrooms,Total,25 – 29,15858
1991,Previous marital status of bridegrooms,Never married,30 – 34,10555
1991,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,678
1991,Previous marital status of bridegrooms,Others,30 – 34,3
1991,Previous marital status of bridegrooms,Total,30 – 34,11236
1991,Previous marital status of bridegrooms,Never married,35 – 39,3195
1991,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,691
1991,Previous marital status of bridegrooms,Others,35 – 39,7
1991,Previous marital status of bridegrooms,Total,35 – 39,3893
1991,Previous marital status of bridegrooms,Never married,40 – 44,879
1991,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,491
1991,Previous marital status of bridegrooms,Others,40 – 44,54
1991,Previous marital status of bridegrooms,Total,40 – 44,1424
1991,Previous marital status of bridegrooms,Never married,45 – 49,279
1991,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,275
1991,Previous marital status of bridegrooms,Others,45 – 49,122
1991,Previous marital status of bridegrooms,Total,45 – 49,676
1991,Previous marital status of bridegrooms,Never married,50+,503
1991,Previous marital status of bridegrooms,Widowed / Divorced,50+,517
1991,Previous marital status of bridegrooms,Others,50+,2965
1991,Previous marital status of bridegrooms,Total,50+,3985
1992,Previous marital status of bridegrooms,Never married,16 – 19,355
1992,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
1992,Previous marital status of bridegrooms,Others,16 – 19,–
1992,Previous marital status of bridegrooms,Total,16 – 19,355
1992,Previous marital status of bridegrooms,Never married,20 – 24,5333
1992,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,10
1992,Previous marital status of bridegrooms,Others,20 – 24,–
1992,Previous marital status of bridegrooms,Total,20 – 24,5343
1992,Previous marital status of bridegrooms,Never married,25 – 29,16478
1992,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,227
1992,Previous marital status of bridegrooms,Others,25 – 29,1
1992,Previous marital status of bridegrooms,Total,25 – 29,16706
1992,Previous marital status of bridegrooms,Never married,30 – 34,12439
1992,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,708
1992,Previous marital status of bridegrooms,Others,30 – 34,2
1992,Previous marital status of bridegrooms,Total,30 – 34,13149
1992,Previous marital status of bridegrooms,Never married,35 – 39,3629
1992,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,765
1992,Previous marital status of bridegrooms,Others,35 – 39,4
1992,Previous marital status of bridegrooms,Total,35 – 39,4398
1992,Previous marital status of bridegrooms,Never married,40 – 44,1065
1992,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,557
1992,Previous marital status of bridegrooms,Others,40 – 44,31
1992,Previous marital status of bridegrooms,Total,40 – 44,1653
1992,Previous marital status of bridegrooms,Never married,45 – 49,315
1992,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,338
1992,Previous marital status of bridegrooms,Others,45 – 49,97
1992,Previous marital status of bridegrooms,Total,45 – 49,750
1992,Previous marital status of bridegrooms,Never married,50+,512
1992,Previous marital status of bridegrooms,Widowed / Divorced,50+,527
1992,Previous marital status of bridegrooms,Others,50+,2309
1992,Previous marital status of bridegrooms,Total,50+,3348
1993,Previous marital status of bridegrooms,Never married,16 – 19,356
1993,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
1993,Previous marital status of bridegrooms,Others,16 – 19,–
1993,Previous marital status of bridegrooms,Total,16 – 19,356
1993,Previous marital status of bridegrooms,Never married,20 – 24,4784
1993,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,13
1993,Previous marital status of bridegrooms,Others,20 – 24,–
1993,Previous marital status of bridegrooms,Total,20 – 24,4797
1993,Previous marital status of bridegrooms,Never married,25 – 29,14283
1993,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,191
1993,Previous marital status of bridegrooms,Others,25 – 29,–
1993,Previous marital status of bridegrooms,Total,25 – 29,14474
1993,Previous marital status of bridegrooms,Never married,30 – 34,11441
1993,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,660
1993,Previous marital status of bridegrooms,Others,30 – 34,1
1993,Previous marital status of bridegrooms,Total,30 – 34,12102
1993,Previous marital status of bridegrooms,Never married,35 – 39,3760
1993,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,790
1993,Previous marital status of bridegrooms,Others,35 – 39,1
1993,Previous marital status of bridegrooms,Total,35 – 39,4551
1993,Previous marital status of bridegrooms,Never married,40 – 44,1070
1993,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,577
1993,Previous marital status of bridegrooms,Others,40 – 44,19
1993,Previous marital status of bridegrooms,Total,40 – 44,1666
1993,Previous marital status of bridegrooms,Never married,45 – 49,308
1993,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,353
1993,Previous marital status of bridegrooms,Others,45 – 49,100
1993,Previous marital status of bridegrooms,Total,45 – 49,761
1993,Previous marital status of bridegrooms,Never married,50+,488
1993,Previous marital status of bridegrooms,Widowed / Divorced,50+,524
1993,Previous marital status of bridegrooms,Others,50+,1962
1993,Previous marital status of bridegrooms,Total,50+,2974
1994,Previous marital status of bridegrooms,Never married,16 – 19,355
1994,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
1994,Previous marital status of bridegrooms,Others,16 – 19,–
1994,Previous marital status of bridegrooms,Total,16 – 19,355
1994,Previous marital status of bridegrooms,Never married,20 – 24,4720
1994,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,9
1994,Previous marital status of bridegrooms,Others,20 – 24,1
1994,Previous marital status of bridegrooms,Total,20 – 24,4730
1994,Previous marital status of bridegrooms,Never married,25 – 29,12681
1994,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,188
1994,Previous marital status of bridegrooms,Others,25 – 29,3
1994,Previous marital status of bridegrooms,Total,25 – 29,12872
1994,Previous marital status of bridegrooms,Never married,30 – 34,10366
1994,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,679
1994,Previous marital status of bridegrooms,Others,30 – 34,1
1994,Previous marital status of bridegrooms,Total,30 – 34,11046
1994,Previous marital status of bridegrooms,Never married,35 – 39,3523
1994,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,803
1994,Previous marital status of bridegrooms,Others,35 – 39,–
1994,Previous marital status of bridegrooms,Total,35 – 39,4326
1994,Previous marital status of bridegrooms,Never married,40 – 44,1017
1994,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,618
1994,Previous marital status of bridegrooms,Others,40 – 44,8
1994,Previous marital status of bridegrooms,Total,40 – 44,1643
1994,Previous marital status of bridegrooms,Never married,45 – 49,336
1994,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,354
1994,Previous marital status of bridegrooms,Others,45 – 49,63
1994,Previous marital status of bridegrooms,Total,45 – 49,753
1994,Previous marital status of bridegrooms,Never married,50+,451
1994,Previous marital status of bridegrooms,Widowed / Divorced,50+,557
1994,Previous marital status of bridegrooms,Others,50+,1531
1994,Previous marital status of bridegrooms,Total,50+,2539
1995,Previous marital status of bridegrooms,Never married,16 – 19,289
