Age_diff,Yr_of_age_diff,Yr,No_of_1st_marri
Bridegroom older than bride,Same age,1991,3636
Bridegroom older than bride,1,1991,4115
Bridegroom older than bride,2,1991,3805
Bridegroom older than bride,3,1991,3574
Bridegroom older than bride,4,1991,2963
Bridegroom older than bride,5,1991,2482
Bridegroom older than bride,6,1991,1995
Bridegroom older than bride,7,1991,1654
Bridegroom older than bride,8,1991,1316
Bridegroom older than bride,8+,1991,3602
Bridegroom older than bride,Same age,1992,3927
Bridegroom older than bride,1,1992,4618
Bridegroom older than bride,2,1992,4318
Bridegroom older than bride,3,1992,3769
Bridegroom older than bride,4,1992,3286
Bridegroom older than bride,5,1992,2700
Bridegroom older than bride,6,1992,2177
Bridegroom older than bride,7,1992,1770
Bridegroom older than bride,8,1992,1390
Bridegroom older than bride,8+,1992,4401
Bridegroom older than bride,Same age,1993,3584
Bridegroom older than bride,1,1993,4095
Bridegroom older than bride,2,1993,3908
Bridegroom older than bride,3,1993,3355
Bridegroom older than bride,4,1993,2973
Bridegroom older than bride,5,1993,2447
Bridegroom older than bride,6,1993,2005
Bridegroom older than bride,7,1993,1594
Bridegroom older than bride,8,1993,1263
Bridegroom older than bride,8+,1993,3917
Bridegroom older than bride,Same age,1994,3315
Bridegroom older than bride,1,1994,3828
Bridegroom older than bride,2,1994,3584
Bridegroom older than bride,3,1994,3003
Bridegroom older than bride,4,1994,2642
Bridegroom older than bride,5,1994,2213
Bridegroom older than bride,6,1994,1715
Bridegroom older than bride,7,1994,1422
Bridegroom older than bride,8,1994,1129
Bridegroom older than bride,8+,1994,3523
Bridegroom older than bride,Same age,1995,3509
Bridegroom older than bride,1,1995,3820
Bridegroom older than bride,2,1995,3598
Bridegroom older than bride,3,1995,3189
Bridegroom older than bride,4,1995,2624
Bridegroom older than bride,5,1995,2256
Bridegroom older than bride,6,1995,1789
Bridegroom older than bride,7,1995,1451
Bridegroom older than bride,8,1995,1148
Bridegroom older than bride,8+,1995,3586
Bridegroom older than bride,Same age,1996,3186
Bridegroom older than bride,1,1996,3498
Bridegroom older than bride,2,1996,3242
Bridegroom older than bride,3,1996,2846
Bridegroom older than bride,4,1996,2456
Bridegroom older than bride,5,1996,2028
Bridegroom older than bride,6,1996,1607
Bridegroom older than bride,7,1996,1262
Bridegroom older than bride,8,1996,1051
Bridegroom older than bride,8+,1996,3314
Bridegroom older than bride,Same age,1997,3578
Bridegroom older than bride,1,1997,3904
Bridegroom older than bride,2,1997,3388
Bridegroom older than bride,3,1997,2998
Bridegroom older than bride,4,1997,2451
Bridegroom older than bride,5,1997,2055
Bridegroom older than bride,6,1997,1621
