Yr,Mon_reg,No_of_marri
1991,1,4725
1991,2,3021
1991,3,3719
1991,4,2806
1991,5,3664
1991,6,3202
1991,7,2608
1991,8,2682
1991,9,3817
1991,10,3983
1991,11,4334
1991,12,4007
1991,Total,42568
1992,1,3557
1992,2,3091
1992,3,4831
1992,4,2836
1992,5,3971
1992,6,3582
1992,7,2817
1992,8,2956
1992,9,4482
1992,10,4127
1992,11,4887
1992,12,4565
1992,Total,45702
1993,1,3093
1993,2,3058
1993,3,4220
1993,4,2512
1993,5,3477
1993,6,3319
1993,7,2780
1993,8,2611
1993,9,3517
1993,10,4128
1993,11,4037
1993,12,4929
1993,Total,41681
1994,1,4046
1994,2,2708
1994,3,3257
1994,4,2331
1994,5,3373
1994,6,2944
1994,7,2388
1994,8,2065
1994,9,3641
1994,10,3360
1994,11,4353
1994,12,3798
1994,Total,38264
1995,1,2668
1995,2,2426
1995,3,4184
1995,4,2505
1995,5,3275
1995,6,2819
1995,7,2168
1995,8,2334
1995,9,3750
1995,10,4124
1995,11,3693
1995,12,4840
1995,Total,38786
1996,1,3573
1996,2,2448
1996,3,3141
1996,4,2382
1996,5,3092
1996,6,2835
1996,7,2445
1996,8,2384
1996,9,3148
1996,10,3140
1996,11,4102
1996,12,4355
1996,Total,37045
1997,1,3914
1997,2,2472
1997,3,3912
1997,4,3095
1997,5,4369
1997,6,4141
1997,7,2103
1997,8,1475
1997,9,3169
1997,10,2573
1997,11,3027
1997,12,3343
1997,Total,37593
1998,1,2112
1998,2,2264
1998,3,3413
1998,4,1923
1998,5,2627
1998,6,2095
1998,7,1960
1998,8,1931
1998,9,2488
1998,10,3154
1998,11,3559
1998,12,4147
1998,Total,31673
1999,1,3360
1999,2,2053
1999,3,2920
1999,4,1958
1999,5,2360
1999,6,2301
1999,7,2071
1999,8,1628
1999,9,3111
1999,10,2309
1999,11,3493
1999,12,3723
1999,Total,31287
2000,1,3010
2000,2,1968
2000,3,2934
2000,4,1942
2000,5,2596
2000,6,2211
2000,7,1690
2000,8,1554
2000,9,3237
2000,10,2434
2000,11,3623
2000,12,3680
2000,Total,30879
2001,1,2174
2001,2,2228
2001,3,3449
2001,4,1684
2001,5,2680
2001,6,2594
2001,7,2000
2001,8,1881
2001,9,2885
2001,10,2867
2001,11,4174
2001,12,4209
2001,Total,32825
2002,1,3652
2002,2,1998
2002,3,2983
2002,4,1816
2002,5,2495
2002,6,2215
2002,7,1950
2002,8,1755
2002,9,2857
2002,10,2819
2002,11,3637
2002,12,3893
2002,Total,32070
2003,1,2855
2003,2,2244
2003,3,3914
2003,4,1887
2003,5,2825
2003,6,2418
2003,7,1857
2003,8,1936
2003,9,3442
2003,10,3217
2003,11,4608
2003,12,4236
2003,Total,35439
2004,1,2844
2004,2,2998
2004,3,3838
2004,4,2661
2004,5,3278
2004,6,3153
2004,7,2964
2004,8,2442
2004,9,3241
2004,10,4132
2004,11,4604
2004,12,5221
2004,Total,41376
2005,1,4651
2005,2,3089
2005,3,3605
2005,4,3054
2005,5,3695
2005,6,3132
2005,7,2857
2005,8,2638
