Yr,Domestic_helpers,Age_gp,Per_dis_pop
1991,Including foreign domestic helpers,0 – 14,20.8
1996,Including foreign domestic helpers,0 – 14,18.7
2001,Including foreign domestic helpers,0 – 14,16.4
2006,Including foreign domestic helpers,0 – 14,13.7
2011,Including foreign domestic helpers,0 – 14,11.6
2016,Including foreign domestic helpers,0 – 14,11.3
2021,Including foreign domestic helpers,0 – 14,10.9
1991,Including foreign domestic helpers,15 – 24,15.2
1996,Including foreign domestic helpers,15 – 24,14.3
2001,Including foreign domestic helpers,15 – 24,13.6
2006,Including foreign domestic helpers,15 – 24,13.3
2011,Including foreign domestic helpers,15 – 24,12.4
2016,Including foreign domestic helpers,15 – 24,10.7
2021,Including foreign domestic helpers,15 – 24,8
1991,Including foreign domestic helpers,25 – 54,46.4
1996,Including foreign domestic helpers,25 – 54,48.6
2001,Including foreign domestic helpers,25 – 54,51.3
2006,Including foreign domestic helpers,25 – 54,50.9
2011,Including foreign domestic helpers,25 – 54,49.6
2016,Including foreign domestic helpers,25 – 54,46.9
2021,Including foreign domestic helpers,25 – 54,44.8
1991,Including foreign domestic helpers,55 – 64,8.8
1996,Including foreign domestic helpers,55 – 64,8.2
2001,Including foreign domestic helpers,55 – 64,7.5
2006,Including foreign domestic helpers,55 – 64,9.7
2011,Including foreign domestic helpers,55 – 64,13
2016,Including foreign domestic helpers,55 – 64,15.2
2021,Including foreign domestic helpers,55 – 64,16.8
1991,Including foreign domestic helpers,65+,8.7
1996,Including foreign domestic helpers,65+,10.2
2001,Including foreign domestic helpers,65+,11.2
2006,Including foreign domestic helpers,65+,12.4
2011,Including foreign domestic helpers,65+,13.3
2016,Including foreign domestic helpers,65+,15.9
2021,Including foreign domestic helpers,65+,19.6
1991,Including foreign domestic helpers,Median age (years),31.6
1996,Including foreign domestic helpers,Median age (years),34.2
2001,Including foreign domestic helpers,Median age (years),36.8
2006,Including foreign domestic helpers,Median age (years),39.6
2011,Including foreign domestic helpers,Median age (years),41.7
2016,Including foreign domestic helpers,Median age (years),43.4
2021,Including foreign domestic helpers,Median age (years),46.3
1991,Excluding foreign domestic helpers,0 – 14,21.1
1996,Excluding foreign domestic helpers,0 – 14,19.2
2001,Excluding foreign domestic helpers,0 – 14,16.9
2006,Excluding foreign domestic helpers,0 – 14,14.2
2011,Excluding foreign domestic helpers,0 – 14,12.1
2016,Excluding foreign domestic helpers,0 – 14,11.8
2021,Excluding foreign domestic helpers,0 – 14,11.4
1991,Excluding foreign domestic helpers,15 – 24,15.2
1996,Excluding foreign domestic helpers,15 – 24,14.3
2001,Excluding foreign domestic helpers,15 – 24,13.5
2006,Excluding foreign domestic helpers,15 – 24,13.3
2011,Excluding foreign domestic helpers,15 – 24,12.7
2016,Excluding foreign domestic helpers,15 – 24,11.1
2021,Excluding foreign domestic helpers,15 – 24,8.2
1991,Excluding foreign domestic helpers,25 – 54,45.9
1996,Excluding foreign domestic helpers,25 – 54,47.8
2001,Excluding foreign domestic helpers,25 – 54,50.2
2006,Excluding foreign domestic helpers,25 – 54,49.7
2011,Excluding foreign domestic helpers,25 – 54,47.8
2016,Excluding foreign domestic helpers,25 – 54,44.7
2021,Excluding foreign domestic helpers,25 – 54,42.6
1991,Excluding foreign domestic helpers,55 – 64,8.9
1996,Excluding foreign domestic helpers,55 – 64,8.4
2001,Excluding foreign domestic helpers,55 – 64,7.7
2006,Excluding foreign domestic helpers,55 – 64,10
2011,Excluding foreign domestic helpers,55 – 64,13.5
2016,Excluding foreign domestic helpers,55 – 64,15.8
2021,Excluding foreign domestic helpers,55 – 64,17.4
1991,Excluding foreign domestic helpers,65+,8.9
1996,Excluding foreign domestic helpers,65+,10.4
2001,Excluding foreign domestic helpers,65+,11.6
2006,Excluding foreign domestic helpers,65+,12.9
2011,Excluding foreign domestic helpers,65+,13.9
2016,Excluding foreign domestic helpers,65+,16.6
2021,Excluding foreign domestic helpers,65+,20.5
1991,Excluding foreign domestic helpers,Median age (years),31.6
1996,Excluding foreign domestic helpers,Median age (years),34.4
2001,Excluding foreign domestic helpers,Median age (years),37.2
2006,Excluding foreign domestic helpers,Median age (years),40.1
2011,Excluding foreign domestic helpers,Median age (years),42.4
2016,Excluding foreign domestic helpers,Median age (years),44.3
2021,Excluding foreign domestic helpers,Median age (years),47.3
