Yr,Domestic_helpers,Type_dep_ratios,Dep_ratios
1991,Including foreign domestic helpers,Child dependency ratio,295
1996,Including foreign domestic helpers,Child dependency ratio,263
2001,Including foreign domestic helpers,Child dependency ratio,226
2006,Including foreign domestic helpers,Child dependency ratio,185
2011,Including foreign domestic helpers,Child dependency ratio,155
2016,Including foreign domestic helpers,Child dependency ratio,155
2021,Including foreign domestic helpers,Child dependency ratio,157
1991,Including foreign domestic helpers,Elderly dependency ratio,125
1996,Including foreign domestic helpers,Elderly dependency ratio,143
2001,Including foreign domestic helpers,Elderly dependency ratio,155
2006,Including foreign domestic helpers,Elderly dependency ratio,168
2011,Including foreign domestic helpers,Elderly dependency ratio,177
2016,Including foreign domestic helpers,Elderly dependency ratio,218
2021,Including foreign domestic helpers,Elderly dependency ratio,282
1991,Including foreign domestic helpers,Overall dependency ratio,420
1996,Including foreign domestic helpers,Overall dependency ratio,406
2001,Including foreign domestic helpers,Overall dependency ratio,381
2006,Including foreign domestic helpers,Overall dependency ratio,354
2011,Including foreign domestic helpers,Overall dependency ratio,333
2016,Including foreign domestic helpers,Overall dependency ratio,373
2021,Including foreign domestic helpers,Overall dependency ratio,438
1991,Excluding foreign domestic helpers,Child dependency ratio,302
1996,Excluding foreign domestic helpers,Child dependency ratio,272
2001,Excluding foreign domestic helpers,Child dependency ratio,237
2006,Excluding foreign domestic helpers,Child dependency ratio,194
2011,Excluding foreign domestic helpers,Child dependency ratio,164
2016,Excluding foreign domestic helpers,Child dependency ratio,165
2021,Excluding foreign domestic helpers,Child dependency ratio,167
1991,Excluding foreign domestic helpers,Elderly dependency ratio,126
1996,Excluding foreign domestic helpers,Elderly dependency ratio,148
2001,Excluding foreign domestic helpers,Elderly dependency ratio,163
2006,Excluding foreign domestic helpers,Elderly dependency ratio,176
2011,Excluding foreign domestic helpers,Elderly dependency ratio,188
2016,Excluding foreign domestic helpers,Elderly dependency ratio,231
2021,Excluding foreign domestic helpers,Elderly dependency ratio,300
1991,Excluding foreign domestic helpers,Overall dependency ratio,428
1996,Excluding foreign domestic helpers,Overall dependency ratio,420
2001,Excluding foreign domestic helpers,Overall dependency ratio,399
2006,Excluding foreign domestic helpers,Overall dependency ratio,370
2011,Excluding foreign domestic helpers,Overall dependency ratio,352
2016,Excluding foreign domestic helpers,Overall dependency ratio,397
2021,Excluding foreign domestic helpers,Overall dependency ratio,467
