Yr,Domestic_helpers,Age_gp,Sex_ratio
1991,Including foreign domestic helpers,0 – 14,1082
1996,Including foreign domestic helpers,0 – 14,1075
2001,Including foreign domestic helpers,0 – 14,1072
2006,Including foreign domestic helpers,0 – 14,1063
2011,Including foreign domestic helpers,0 – 14,1073
2016,Including foreign domestic helpers,0 – 14,1065
2021,Including foreign domestic helpers,0 – 14,1062
1991,Including foreign domestic helpers,15 – 24,1042
1996,Including foreign domestic helpers,15 – 24,1023
2001,Including foreign domestic helpers,15 – 24,989
2006,Including foreign domestic helpers,15 – 24,972
2011,Including foreign domestic helpers,15 – 24,1006
2016,Including foreign domestic helpers,15 – 24,1019
2021,Including foreign domestic helpers,15 – 24,1028
1991,Including foreign domestic helpers,25 – 34,999
1996,Including foreign domestic helpers,25 – 34,886
2001,Including foreign domestic helpers,25 – 34,814
2006,Including foreign domestic helpers,25 – 34,786
2011,Including foreign domestic helpers,25 – 34,724
2016,Including foreign domestic helpers,25 – 34,735
2021,Including foreign domestic helpers,25 – 34,815
1991,Including foreign domestic helpers,35 – 44,1096
1996,Including foreign domestic helpers,35 – 44,1006
2001,Including foreign domestic helpers,35 – 44,908
2006,Including foreign domestic helpers,35 – 44,793
2011,Including foreign domestic helpers,35 – 44,725
2016,Including foreign domestic helpers,35 – 44,682
2021,Including foreign domestic helpers,35 – 44,666
1991,Including foreign domestic helpers,45 – 54,1225
1996,Including foreign domestic helpers,45 – 54,1146
2001,Including foreign domestic helpers,45 – 54,1037
2006,Including foreign domestic helpers,45 – 54,974
2011,Including foreign domestic helpers,45 – 54,892
2016,Including foreign domestic helpers,45 – 54,787
2021,Including foreign domestic helpers,45 – 54,726
1991,Including foreign domestic helpers,55 – 64,1101
1996,Including foreign domestic helpers,55 – 64,1139
2001,Including foreign domestic helpers,55 – 64,1154
2006,Including foreign domestic helpers,55 – 64,1056
2011,Including foreign domestic helpers,55 – 64,990
2016,Including foreign domestic helpers,55 – 64,971
2021,Including foreign domestic helpers,55 – 64,887
1991,Including foreign domestic helpers,65 – 74,907
1996,Including foreign domestic helpers,65 – 74,941
2001,Including foreign domestic helpers,65 – 74,1004
2006,Including foreign domestic helpers,65 – 74,1022
2011,Including foreign domestic helpers,65 – 74,1052
2016,Including foreign domestic helpers,65 – 74,1003
2021,Including foreign domestic helpers,65 – 74,955
1991,Including foreign domestic helpers,75+,599
1996,Including foreign domestic helpers,75+,647
2001,Including foreign domestic helpers,75+,668
2006,Including foreign domestic helpers,75+,687
2011,Including foreign domestic helpers,75+,723
2016,Including foreign domestic helpers,75+,750
2021,Including foreign domestic helpers,75+,796
1991,Including foreign domestic helpers,Overall,1044
1996,Including foreign domestic helpers,Overall,1001
2001,Including foreign domestic helpers,Overall,956
2006,Including foreign domestic helpers,Overall,912
2011,Including foreign domestic helpers,Overall,876
2016,Including foreign domestic helpers,Overall,852
2021,Including foreign domestic helpers,Overall,839
1991,Excluding foreign domestic helpers,0 – 14,1082
1996,Excluding foreign domestic helpers,0 – 14,1075
2001,Excluding foreign domestic helpers,0 – 14,1072
2006,Excluding foreign domestic helpers,0 – 14,1063
2011,Excluding foreign domestic helpers,0 – 14,1073
2016,Excluding foreign domestic helpers,0 – 14,1065
2021,Excluding foreign domestic helpers,0 – 14,1062
1991,Excluding foreign domestic helpers,15 – 24,1072
1996,Excluding foreign domestic helpers,15 – 24,1079
2001,Excluding foreign domestic helpers,15 – 24,1074
2006,Excluding foreign domestic helpers,15 – 24,1039
2011,Excluding foreign domestic helpers,15 – 24,1043
2016,Excluding foreign domestic helpers,15 – 24,1044
2021,Excluding foreign domestic helpers,15 – 24,1049
1991,Excluding foreign domestic helpers,25 – 34,1072
1996,Excluding foreign domestic helpers,25 – 34,1002
2001,Excluding foreign domestic helpers,25 – 34,974
2006,Excluding foreign domestic helpers,25 – 34,958
2011,Excluding foreign domestic helpers,25 – 34,940
2016,Excluding foreign domestic helpers,25 – 34,921
2021,Excluding foreign domestic helpers,25 – 34,973
1991,Excluding foreign domestic helpers,35 – 44,1146
1996,Excluding foreign domestic helpers,35 – 44,1075
2001,Excluding foreign domestic helpers,35 – 44,996
2006,Excluding foreign domestic helpers,35 – 44,869
2011,Excluding foreign domestic helpers,35 – 44,836
2016,Excluding foreign domestic helpers,35 – 44,839
2021,Excluding foreign domestic helpers,35 – 44,850
1991,Excluding foreign domestic helpers,45 – 54,1247
1996,Excluding foreign domestic helpers,45 – 54,1168
2001,Excluding foreign domestic helpers,45 – 54,1076
2006,Excluding foreign domestic helpers,45 – 54,1011
2011,Excluding foreign domestic helpers,45 – 54,933
2016,Excluding foreign domestic helpers,45 – 54,841
2021,Excluding foreign domestic helpers,45 – 54,792
1991,Excluding foreign domestic helpers,55 – 64,1102
1996,Excluding foreign domestic helpers,55 – 64,1143
2001,Excluding foreign domestic helpers,55 – 64,1162
2006,Excluding foreign domestic helpers,55 – 64,1065
2011,Excluding foreign domestic helpers,55 – 64,1002
2016,Excluding foreign domestic helpers,55 – 64,983
2021,Excluding foreign domestic helpers,55 – 64,904
1991,Excluding foreign domestic helpers,65 – 74,907
1996,Excluding foreign domestic helpers,65 – 74,941
2001,Excluding foreign domestic helpers,65 – 74,1004
2006,Excluding foreign domestic helpers,65 – 74,1022
2011,Excluding foreign domestic helpers,65 – 74,1053
2016,Excluding foreign domestic helpers,65 – 74,1004
2021,Excluding foreign domestic helpers,65 – 74,956
1991,Excluding foreign domestic helpers,75+,599
1996,Excluding foreign domestic helpers,75+,647
2001,Excluding foreign domestic helpers,75+,668
2006,Excluding foreign domestic helpers,75+,687
2011,Excluding foreign domestic helpers,75+,723
2016,Excluding foreign domestic helpers,75+,750
2021,Excluding foreign domestic helpers,75+,796
1991,Excluding foreign domestic helpers,Overall,1074
1996,Excluding foreign domestic helpers,Overall,1048
2001,Excluding foreign domestic helpers,Overall,1021
2006,Excluding foreign domestic helpers,Overall,971
2011,Excluding foreign domestic helpers,Overall,948
2016,Excluding foreign domestic helpers,Overall,925
2021,Excluding foreign domestic helpers,Overall,910
