Mother_yr_b,Age,Per_least_one_child
1936,15 to before attaining 20,12.7
1936,15 to before attaining 25,56.8
1936,15 to before attaining 30,81.3
1936,15 to before attaining 35,89.7
1936,15 to before attaining 40,91.6
1936,15 to before attaining 45,91.8
1936,15 to before attaining 50,91.9
1941,15 to before attaining 20,14
1941,15 to before attaining 25,57.2
1941,15 to before attaining 30,84
1941,15 to before attaining 35,91.6
1941,15 to before attaining 40,93.6
1941,15 to before attaining 45,93.9
1941,15 to before attaining 50,93.9
1946,15 to before attaining 20,12.4
1946,15 to before attaining 25,55.9
1946,15 to before attaining 30,87.8
1946,15 to before attaining 35,95.3
1946,15 to before attaining 40,97.2
1946,15 to before attaining 45,97.4
1946,15 to before attaining 50,97.4
1951,15 to before attaining 20,7.1
1951,15 to before attaining 25,43.8
1951,15 to before attaining 30,77.4
1951,15 to before attaining 35,87.7
1951,15 to before attaining 40,90.3
1951,15 to before attaining 45,90.7
1951,15 to before attaining 50,90.7
1956,15 to before attaining 20,7.5
1956,15 to before attaining 25,37.4
1956,15 to before attaining 30,68.3
1956,15 to before attaining 35,79.8
1956,15 to before attaining 40,82.9
1956,15 to before attaining 45,83.3
1956,15 to before attaining 50,83.4
1961,15 to before attaining 20,5.8
1961,15 to before attaining 25,29.2
1961,15 to before attaining 30,57.3
1961,15 to before attaining 35,72.6
1961,15 to before attaining 40,76.8
1961,15 to before attaining 45,77.5
1961,15 to before attaining 50,77.5
1966,15 to before attaining 20,3.5
1966,15 to before attaining 25,17.4
1966,15 to before attaining 30,44
1966,15 to before attaining 35,60.4
1966,15 to before attaining 40,65.6
1966,15 to before attaining 45,66.7
1966,15 to before attaining 50,66.8
1971,15 to before attaining 20,2.7
1971,15 to before attaining 25,20
1971,15 to before attaining 30,40.1
1971,15 to before attaining 35,55.4
1971,15 to before attaining 40,63.3
1971,15 to before attaining 45,65
1971,15 to before attaining 50,65.1
1976,15 to before attaining 20,2.8
1976,15 to before attaining 25,14.6
1976,15 to before attaining 30,32.1
1976,15 to before attaining 35,53.6
1976,15 to before attaining 40,65.1
1976,15 to before attaining 45,67.1
1976,15 to before attaining 50,-
1981,15 to before attaining 20,2.2
1981,15 to before attaining 25,13.3
1981,15 to before attaining 30,30.4
1981,15 to before attaining 35,55.5
1981,15 to before attaining 40,66
1981,15 to before attaining 45,-
1981,15 to before attaining 50,-
1986,15 to before attaining 20,1.7
1986,15 to before attaining 25,10.7
1986,15 to before attaining 30,29.9
1986,15 to before attaining 35,52.7
1986,15 to before attaining 40,-
1986,15 to before attaining 45,-
1986,15 to before attaining 50,-
1991,15 to before attaining 20,1.3
1991,15 to before attaining 25,8.7
1991,15 to before attaining 30,24
1991,15 to before attaining 35,-
1991,15 to before attaining 40,-
1991,15 to before attaining 45,-
1991,15 to before attaining 50,-
1996,15 to before attaining 20,1.2
1996,15 to before attaining 25,6.3
1996,15 to before attaining 30,-
1996,15 to before attaining 35,-
1996,15 to before attaining 40,-
1996,15 to before attaining 45,-
1996,15 to before attaining 50,-
2001,15 to before attaining 20,0.8
2001,15 to before attaining 25,-
2001,15 to before attaining 30,-
2001,15 to before attaining 35,-
2001,15 to before attaining 40,-
2001,15 to before attaining 45,-
2001,15 to before attaining 50,-
