Mother_yr_b,Age,Avg_born
1936,15 to before attaining 20,0.18
1936,15 to before attaining 25,1.16
1936,15 to before attaining 30,2.5
1936,15 to before attaining 35,3.31
1936,15 to before attaining 40,3.67
1936,15 to before attaining 45,3.73
1936,15 to before attaining 50,3.73
1941,15 to before attaining 20,0.21
1941,15 to before attaining 25,1.28
1941,15 to before attaining 30,2.53
1941,15 to before attaining 35,3.19
1941,15 to before attaining 40,3.41
1941,15 to before attaining 45,3.44
1941,15 to before attaining 50,3.44
1946,15 to before attaining 20,0.2
1946,15 to before attaining 25,1.2
1946,15 to before attaining 30,2.36
1946,15 to before attaining 35,2.86
1946,15 to before attaining 40,3
1946,15 to before attaining 45,3.02
1946,15 to before attaining 50,3.02
1951,15 to before attaining 20,0.09
1951,15 to before attaining 25,0.75
1951,15 to before attaining 30,1.64
1951,15 to before attaining 35,2.09
1951,15 to before attaining 40,2.22
1951,15 to before attaining 45,2.24
1951,15 to before attaining 50,2.24
1956,15 to before attaining 20,0.09
1956,15 to before attaining 25,0.58
1956,15 to before attaining 30,1.28
1956,15 to before attaining 35,1.68
1956,15 to before attaining 40,1.84
1956,15 to before attaining 45,1.86
1956,15 to before attaining 50,1.86
1961,15 to before attaining 20,0.07
1961,15 to before attaining 25,0.42
1961,15 to before attaining 30,0.97
1961,15 to before attaining 35,1.38
1961,15 to before attaining 40,1.54
1961,15 to before attaining 45,1.56
1961,15 to before attaining 50,1.56
1966,15 to before attaining 20,0.04
1966,15 to before attaining 25,0.23
1966,15 to before attaining 30,0.69
1966,15 to before attaining 35,1.06
1966,15 to before attaining 40,1.21
1966,15 to before attaining 45,1.24
1966,15 to before attaining 50,1.24
1971,15 to before attaining 20,0.03
1971,15 to before attaining 25,0.26
1971,15 to before attaining 30,0.6
1971,15 to before attaining 35,0.9
1971,15 to before attaining 40,1.1
1971,15 to before attaining 45,1.15
1971,15 to before attaining 50,1.15
1976,15 to before attaining 20,0.03
1976,15 to before attaining 25,0.19
1976,15 to before attaining 30,0.48
1976,15 to before attaining 35,0.87
1976,15 to before attaining 40,1.16
1976,15 to before attaining 45,1.22
1976,15 to before attaining 50,-
1981,15 to before attaining 20,0.03
1981,15 to before attaining 25,0.17
1981,15 to before attaining 30,0.43
1981,15 to before attaining 35,0.87
1981,15 to before attaining 40,1.13
1981,15 to before attaining 45,-
1981,15 to before attaining 50,-
1986,15 to before attaining 20,0.02
1986,15 to before attaining 25,0.14
1986,15 to before attaining 30,0.44
1986,15 to before attaining 35,0.85
1986,15 to before attaining 40,-
1986,15 to before attaining 45,-
1986,15 to before attaining 50,-
1991,15 to before attaining 20,0.02
1991,15 to before attaining 25,0.11
1991,15 to before attaining 30,0.35
1991,15 to before attaining 35,-
1991,15 to before attaining 40,-
1991,15 to before attaining 45,-
1991,15 to before attaining 50,-
1996,15 to before attaining 20,0.01
1996,15 to before attaining 25,0.08
1996,15 to before attaining 30,-
1996,15 to before attaining 35,-
1996,15 to before attaining 40,-
1996,15 to before attaining 45,-
1996,15 to before attaining 50,-
2001,15 to before attaining 20,0.01
2001,15 to before attaining 25,-
2001,15 to before attaining 30,-
2001,15 to before attaining 35,-
2001,15 to before attaining 40,-
2001,15 to before attaining 45,-
2001,15 to before attaining 50,-
