Yr,Age_gp,Prop_marri_female
1991,15 – 19,2
1991,20 – 24,17
1991,25 – 29,54
1991,30 – 34,78
1991,35 – 39,86
1991,40 – 44,88
1991,45 – 49,90
1996,15 – 19,2
1996,20 – 24,16
1996,25 – 29,50
1996,30 – 34,72
1996,35 – 39,81
1996,40 – 44,85
1996,45 – 49,86
2001,15 – 19,1
2001,20 – 24,14
2001,25 – 29,42
2001,30 – 34,66
2001,35 – 39,76
2001,40 – 44,80
2001,45 – 49,82
2006,15 – 19,*
2006,20 – 24,10
2006,25 – 29,35
2006,30 – 34,63
2006,35 – 39,71
2006,40 – 44,75
2006,45 – 49,76
2011,15 – 19,*
2011,20 – 24,7
2011,25 – 29,33
2011,30 – 34,60
2011,35 – 39,71
2011,40 – 44,73
2011,45 – 49,74
2016,15 – 19,*
2016,20 – 24,5
2016,25 – 29,28
2016,30 – 34,60
2016,35 – 39,72
2016,40 – 44,74
2016,45 – 49,73
2021,15 – 19,1
2021,20 – 24,5
2021,25 – 29,21
2021,30 – 34,52
2021,35 – 39,69
2021,40 – 44,70
2021,45 – 49,71
