Ref_period,Live_births_HK,Mainland_w_spouses,Live_births_mainland_w
2001,48219,-,-
2002,48209,-,-
2003,46965,-,-
2004,49796,-,-
2005,57098,-,-
2006,65626,-,-
2007,70875,-,-
2008,78822,-,-
2009,82095,-,-
2010,88584,-,-
2011,95451,-,-
2012,91558,-,-
2013,57084,-,-
2014,62305,-,-
2015,59878,-,-
2016,60856,-,-
2017,56548,-,-
2018,53716,-,-
2019,52856,-,-
2020,43031,-,-
2021,36953,-,-
2001,-,Whose spouses are Hong Kong Permanent Residents,7190
2002,-,Whose spouses are Hong Kong Permanent Residents,7256
2003,-,Whose spouses are Hong Kong Permanent Residents,7962
2004,-,Whose spouses are Hong Kong Permanent Residents,8896
2005,-,Whose spouses are Hong Kong Permanent Residents,9879
2006,-,Whose spouses are Hong Kong Permanent Residents,9438
2007,-,Whose spouses are Hong Kong Permanent Residents,7989
2008,-,Whose spouses are Hong Kong Permanent Residents,7228
2009,-,Whose spouses are Hong Kong Permanent Residents,6213
2010,-,Whose spouses are Hong Kong Permanent Residents,6169
2011,-,Whose spouses are Hong Kong Permanent Residents,6110
2012,-,Whose spouses are Hong Kong Permanent Residents,4698
2013,-,Whose spouses are Hong Kong Permanent Residents,4670
2014,-,Whose spouses are Hong Kong Permanent Residents,5179
2015,-,Whose spouses are Hong Kong Permanent Residents,4775
2016,-,Whose spouses are Hong Kong Permanent Residents,4370
2017,-,Whose spouses are Hong Kong Permanent Residents,3826
2018,-,Whose spouses are Hong Kong Permanent Residents,3549
2019,-,Whose spouses are Hong Kong Permanent Residents,3343
2020,-,Whose spouses are Hong Kong Permanent Residents,1955
2021,-,Whose spouses are Hong Kong Permanent Residents,1028
2001,-,Whose spouses are not Hong Kong Permanent Residents,620
2002,-,Whose spouses are not Hong Kong Permanent Residents,1250
2003,-,Whose spouses are not Hong Kong Permanent Residents,2070
2004,-,Whose spouses are not Hong Kong Permanent Residents,4102
2005,-,Whose spouses are not Hong Kong Permanent Residents,9273
2006,-,Whose spouses are not Hong Kong Permanent Residents,16044
2007,-,Whose spouses are not Hong Kong Permanent Residents,18816
2008,-,Whose spouses are not Hong Kong Permanent Residents,25269
2009,-,Whose spouses are not Hong Kong Permanent Residents,29766
2010,-,Whose spouses are not Hong Kong Permanent Residents,32653
2011,-,Whose spouses are not Hong Kong Permanent Residents,35736
2012,-,Whose spouses are not Hong Kong Permanent Residents,26715
2013,-,Whose spouses are not Hong Kong Permanent Residents,790
2014,-,Whose spouses are not Hong Kong Permanent Residents,823
2015,-,Whose spouses are not Hong Kong Permanent Residents,775
2016,-,Whose spouses are not Hong Kong Permanent Residents,606
2017,-,Whose spouses are not Hong Kong Permanent Residents,502
2018,-,Whose spouses are not Hong Kong Permanent Residents,434
2019,-,Whose spouses are not Hong Kong Permanent Residents,393
2020,-,Whose spouses are not Hong Kong Permanent Residents,218
2021,-,Whose spouses are not Hong Kong Permanent Residents,131
2001,-,Others,N.A.
2002,-,Others,N.A.
2003,-,Others,96
2004,-,Others,211
2005,-,Others,386
2006,-,Others,650
2007,-,Others,769
2008,-,Others,1068
2009,-,Others,1274
2010,-,Others,1826
2011,-,Others,2136
2012,-,Others,1786
2013,-,Others,37
2014,-,Others,22
2015,-,Others,16
2016,-,Others,3
2017,-,Others,6
2018,-,Others,0
2019,-,Others,5
2020,-,Others,3
2021,-,Others,0
2001,-,Sub‑total,7810
2002,-,Sub‑total,8506
2003,-,Sub‑total,10128
2004,-,Sub‑total,13209
2005,-,Sub‑total,19538
2006,-,Sub‑total,26132
2007,-,Sub‑total,27574
2008,-,Sub‑total,33565
2009,-,Sub‑total,37253
2010,-,Sub‑total,40648
2011,-,Sub‑total,43982
2012,-,Sub‑total,33199
2013,-,Sub‑total,5497
2014,-,Sub‑total,6024
2015,-,Sub‑total,5566
2016,-,Sub‑total,4979
2017,-,Sub‑total,4334
2018,-,Sub‑total,3983
2019,-,Sub‑total,3741
2020,-,Sub‑total,2176
2021,-,Sub‑total,1159
