Yr,Order_live_births,Percent_live_births
1991,First order  live births,46.3
1991,Second order  live births,37.5
1991,Third order  live births,12.2
1991,Fourth and higher order live births,4
1991,All order  live births,100
1992,First order  live births,47.1
1992,Second order  live births,37.4
1992,Third order  live births,11.8
1992,Fourth and higher order live births,3.7
1992,All order  live births,100
1993,First order  live births,48.4
1993,Second order  live births,37.2
1993,Third order  live births,10.8
1993,Fourth and higher order live births,3.6
1993,All order  live births,100
1994,First order  live births,49.1
1994,Second order  live births,37.7
1994,Third order  live births,10.1
1994,Fourth and higher order live births,3.1
1994,All order  live births,100
1995,First order  live births,48.7
1995,Second order  live births,38.7
1995,Third order  live births,9.8
1995,Fourth and higher order live births,2.8
1995,All order  live births,100
1996,First order  live births,48.6
1996,Second order  live births,38.9
1996,Third order  live births,9.7
1996,Fourth and higher order live births,2.8
1996,All order  live births,100
1997,First order  live births,48.5
1997,Second order  live births,39.1
1997,Third order  live births,9.7
1997,Fourth and higher order live births,2.7
1997,All order  live births,100
1998,First order  live births,50.9
1998,Second order  live births,37.6
1998,Third order  live births,9.1
1998,Fourth and higher order live births,2.4
1998,All order  live births,100
1999,First order  live births,52.8
1999,Second order  live births,36.2
1999,Third order  live births,8.6
1999,Fourth and higher order live births,2.4
1999,All order  live births,100
2000,First order  live births,52.8
2000,Second order  live births,36.6
2000,Third order  live births,8.5
2000,Fourth and higher order live births,2.2
2000,All order  live births,100
2001,First order  live births,53.2
2001,Second order  live births,36.7
2001,Third order  live births,8
2001,Fourth and higher order live births,2.1
2001,All order  live births,100
2002,First order  live births,53.7
2002,Second order  live births,36.6
2002,Third order  live births,7.6
2002,Fourth and higher order live births,2
2002,All order  live births,100
2003,First order  live births,54
2003,Second order  live births,37
2003,Third order  live births,7.1
2003,Fourth and higher order live births,1.9
2003,All order  live births,100
2004,First order  live births,55.3
2004,Second order  live births,35.9
2004,Third order  live births,7.1
2004,Fourth and higher order live births,1.7
2004,All order  live births,100
2005,First order  live births,54.4
2005,Second order  live births,37.1
2005,Third order  live births,6.9
2005,Fourth and higher order live births,1.6
2005,All order  live births,100
2006,First order  live births,52.1
2006,Second order  live births,39.4
2006,Third order  live births,7
2006,Fourth and higher order live births,1.5
2006,All order  live births,100
2007,First order  live births,50.5
2007,Second order  live births,40.9
2007,Third order  live births,7.2
2007,Fourth and higher order live births,1.4
2007,All order  live births,100
2008,First order  live births,48.7
2008,Second order  live births,42.6
2008,Third order  live births,7.2
2008,Fourth and higher order live births,1.5
2008,All order  live births,100
2009,First order  live births,46.9
2009,Second order  live births,44.5
2009,Third order  live births,7.2
2009,Fourth and higher order live births,1.3
2009,All order  live births,100
2010,First order  live births,47.2
2010,Second order  live births,43.6
2010,Third order  live births,7.7
2010,Fourth and higher order live births,1.5
2010,All order  live births,100
2011,First order  live births,46.1
2011,Second order  live births,44.7
2011,Third order  live births,7.9
2011,Fourth and higher order live births,1.4
2011,All order  live births,100
2012,First order  live births,47.2
2012,Second order  live births,43.3
2012,Third order  live births,8
2012,Fourth and higher order live births,1.5
2012,All order  live births,100
2013,First order  live births,55.3
2013,Second order  live births,35.9
2013,Third order  live births,7.2
2013,Fourth and higher order live births,1.6
2013,All order  live births,100
2014,First order  live births,54.5
2014,Second order  live births,37.2
2014,Third order  live births,6.8
2014,Fourth and higher order live births,1.5
2014,All order  live births,100
2015,First order  live births,54.1
2015,Second order  live births,37.1
2015,Third order  live births,7.2
2015,Fourth and higher order live births,1.5
2015,All order  live births,100
2016,First order  live births,52.9
2016,Second order  live births,38
2016,Third order  live births,7.4
2016,Fourth and higher order live births,1.7
2016,All order  live births,100
2017,First order  live births,52.2
2017,Second order  live births,38.2
2017,Third order  live births,7.8
2017,Fourth and higher order live births,1.7
2017,All order  live births,100
2018,First order  live births,52.4
2018,Second order  live births,37.7
2018,Third order  live births,8.1
2018,Fourth and higher order live births,1.8
2018,All order  live births,100
2019,First order  live births,52.7
2019,Second order  live births,37.4
2019,Third order  live births,8.1
2019,Fourth and higher order live births,1.9
2019,All order  live births,100
2020,First order  live births,52.2
2020,Second order  live births,37.2
2020,Third order  live births,8.6
2020,Fourth and higher order live births,2
2020,All order  live births,100
2021,First order  live births,51
2021,Second order  live births,38.1
2021,Third order  live births,8.7
2021,Fourth and higher order live births,2.2
2021,All order  live births,100
