Yr,Month,No_of_live_births,Seasonal_ind
1991,1,5453,-
1991,2,4979,-
1991,3,5130,-
1991,4,4919,-
1991,5,5169,-
1991,6,5235,-
1991,7,5833,-
1991,8,5949,-
1991,9,6166,-
1991,10,6583,-
1991,11,6840,-
1991,12,6025,-
1991,1–12,68281,-
1996,1,5589,-
1996,2,4881,-
1996,3,4888,-
1996,4,4583,-
1996,5,4843,-
1996,6,4801,-
1996,7,5193,-
1996,8,5365,-
1996,9,5540,-
1996,10,5826,-
1996,11,5968,-
1996,12,5814,-
1996,1–12,63291,-
2001,1,4535,-
2001,2,3734,-
2001,3,3921,-
2001,4,3626,-
2001,5,3714,-
2001,6,3784,-
2001,7,3892,-
2001,8,4127,-
2001,9,4220,-
2001,10,4516,-
2001,11,4036,-
2001,12,4114,-
2001,1–12,48219,-
2006,1,5045,-
2006,2,4413,-
2006,3,5069,-
2006,4,4682,-
2006,5,4880,-
2006,6,5155,-
2006,7,5405,-
2006,8,5604,-
2006,9,6077,-
2006,10,6744,-
2006,11,6298,-
2006,12,6254,-
2006,1–12,65626,-
2011,1,8115,-
2011,2,7184,-
2011,3,8143,-
2011,4,7694,-
2011,5,7925,-
2011,6,8051,-
2011,7,8128,-
2011,8,8531,-
2011,9,8099,-
2011,10,8352,-
2011,11,7816,-
2011,12,7413,-
2011,1–12,95451,-
2016,1,4988,-
2016,2,4706,-
2016,3,4951,-
2016,4,4826,-
2016,5,4889,-
2016,6,4881,-
2016,7,4722,-
2016,8,5171,-
2016,9,5408,-
2016,10,5397,-
2016,11,5519,-
2016,12,5398,-
2016,1–12,60856,-
2021,1,3260,-
2021,2,2882,-
2021,3,3262,-
2021,4,2832,-
2021,5,2864,-
2021,6,3001,-
2021,7,3044,-
2021,8,3072,-
2021,9,3182,-
2021,10,3246,-
2021,11,3214,-
2021,12,3094,-
2021,1–12,36953,-
1991–2001,1,-,100
1991–2001,2,-,86
1991–2001,3,-,94
1991–2001,4,-,88
1991–2001,5,-,93
1991–2001,6,-,96
1991–2001,7,-,101
1991–2001,8,-,103
1991–2001,9,-,108
1991–2001,10,-,113
1991–2001,11,-,112
1991–2001,12,-,107
1991–2001,Average,-,100
2001–2011,1,-,101
2001–2011,2,-,87
2001–2011,3,-,95
2001–2011,4,-,89
2001–2011,5,-,91
2001–2011,6,-,94
2001–2011,7,-,98
2001–2011,8,-,104
2001–2011,9,-,108
2001–2011,10,-,116
2001–2011,11,-,111
2001–2011,12,-,107
2001–2011,Average,-,100
2011–2021,1,-,101
2011–2021,2,-,91
2011–2021,3,-,97
2011–2021,4,-,92
2011–2021,5,-,96
2011–2021,6,-,95
2011–2021,7,-,97
2011–2021,8,-,102
2011–2021,9,-,107
2011–2021,10,-,109
2011–2021,11,-,106
2011–2021,12,-,106
2011–2021,Average,-,100
