Yr,Age_gp,live_births_w,Index_rate_w
1991,15 – 19,6.5,100
1992,15 – 19,6.6,101
1993,15 – 19,6.9,106
1994,15 – 19,6.6,101
1995,15 – 19,5.9,91
1996,15 – 19,5.9,90
1997,15 – 19,5.6,85
1998,15 – 19,5.3,80
1999,15 – 19,4.8,74
2000,15 – 19,4.6,70
2001,15 – 19,4.3,65
2002,15 – 19,3.9,59
2003,15 – 19,3.6,56
2004,15 – 19,3.8,59
2005,15 – 19,3.4,51
2006,15 – 19,3.2,49
2007,15 – 19,3.2,50
2008,15 – 19,3,46
2009,15 – 19,3.1,47
2010,15 – 19,3.3,51
2011,15 – 19,3.2,49
2012,15 – 19,2.8,43
2013,15 – 19,2.8,42
2014,15 – 19,3.1,47
2015,15 – 19,2.9,44
2016,15 – 19,2.7,42
2017,15 – 19,2.7,41
2018,15 – 19,2.2,33
2019,15 – 19,1.9,29
2020,15 – 19,1.7,26
2021,15 – 19,1.3,20
1991,20 – 24,39.1,100
1992,20 – 24,45.4,116
1993,20 – 24,49.2,126
1994,20 – 24,48.7,125
1995,20 – 24,42.6,109
1996,20 – 24,37.1,95
1997,20 – 24,33.5,86
1998,20 – 24,31.2,80
1999,20 – 24,31.1,80
2000,20 – 24,31.6,81
2001,20 – 24,29.1,74
2002,20 – 24,30.5,78
2003,20 – 24,29,74
2004,20 – 24,28.9,74
2005,20 – 24,27.2,70
2006,20 – 24,25,64
2007,20 – 24,23.6,60
2008,20 – 24,23,59
2009,20 – 24,24.5,63
2010,20 – 24,25.2,64
2011,20 – 24,26.6,68
2012,20 – 24,21.1,54
2013,20 – 24,18.3,47
2014,20 – 24,19.6,50
2015,20 – 24,19.3,49
2016,20 – 24,17.8,46
2017,20 – 24,17,43
2018,20 – 24,15.4,39
2019,20 – 24,14.5,37
2020,20 – 24,11.6,30
2021,20 – 24,9,23
1991,25 – 29,97.4,100
1992,25 – 29,99.9,103
1993,25 – 29,94.8,97
1994,25 – 29,94.7,97
1995,25 – 29,90.4,93
1996,25 – 29,80.7,83
1997,25 – 29,73.2,75
1998,25 – 29,64.6,66
1999,25 – 29,61.9,64
2000,25 – 29,64.6,66
2001,25 – 29,57.2,59
2002,25 – 29,58.8,60
2003,25 – 29,57.4,59
2004,25 – 29,57.4,59
2005,25 – 29,58,60
2006,25 – 29,56.5,58
2007,25 – 29,56.7,58
2008,25 – 29,56.3,58
2009,25 – 29,54.4,56
2010,25 – 29,57.5,59
2011,25 – 29,63.6,65
2012,25 – 29,64.5,66
2013,25 – 29,55,56
2014,25 – 29,60.9,63
2015,25 – 29,59.2,61
2016,25 – 29,59.1,61
2017,25 – 29,54.4,56
2018,25 – 29,50.6,52
2019,25 – 29,48.2,50
2020,25 – 29,36.6,38
2021,25 – 29,29.4,30
1991,30 – 34,81.2,100
1992,30 – 34,84.9,105
1993,30 – 34,84,103
1994,30 – 34,86.7,107
1995,30 – 34,84.7,104
1996,30 – 34,78.6,97
1997,30 – 34,75.7,93
1998,30 – 34,67.9,84
1999,30 – 34,65,80
2000,30 – 34,70,86
2001,30 – 34,61.7,76
2002,30 – 34,62.3,77
2003,30 – 34,57.9,71
2004,30 – 34,61.3,75
2005,30 – 34,66.9,82
2006,30 – 34,71.6,88
2007,30 – 34,75.6,93
2008,30 – 34,79.5,98
2009,30 – 34,78.2,96
2010,30 – 34,83.6,103
2011,30 – 34,86.6,107
2012,30 – 34,99.7,123
2013,30 – 34,85.3,105
2014,30 – 34,94.9,117
2015,30 – 34,91.8,113
2016,30 – 34,93,115
2017,30 – 34,86.2,106
2018,30 – 34,85.1,105
2019,30 – 34,85.6,105
2020,30 – 34,72.3,89
2021,30 – 34,63.8,79
1991,35 – 39,30.4,100
1992,35 – 39,31,102
1993,35 – 39,31.1,102
1994,35 – 39,31.8,105
1995,35 – 39,31.9,105
1996,35 – 39,31.8,104
1997,35 – 39,32.3,106
1998,35 – 39,29.9,98
1999,35 – 39,28.9,95
2000,35 – 39,31.2,103
2001,35 – 39,29.3,96
2002,35 – 39,27.6,91
