Yr,Age_gp,live_births,Index_rate
1991,15 – 19,407.1,100
1991,20 – 24,231.4,100
1991,25 – 29,180.9,100
1991,30 – 34,103.6,100
1991,35 – 39,35.2,100
1991,40 – 44,5.1,100
1991,45 – 49,0.3,100
1996,15 – 19,351.3,86
1996,20 – 24,227.9,99
1996,25 – 29,162.5,90
1996,30 – 34,109.5,106
1996,35 – 39,39.1,111
1996,40 – 44,5.9,115
1996,45 – 49,0.2,81
2001,15 – 19,521,128
2001,20 – 24,213.1,92
2001,25 – 29,136.3,75
2001,30 – 34,93.3,90
2001,35 – 39,38.5,109
2001,40 – 44,5.8,113
2001,45 – 49,0.2,79
2006,15 – 19,667.5,164
2006,20 – 24,254.2,110
2006,25 – 29,160.5,89
2006,30 – 34,114.6,111
2006,35 – 39,49.1,139
2006,40 – 44,7,136
2006,45 – 49,0.4,135
2011,15 – 19,873,214
2011,20 – 24,363.4,157
2011,25 – 29,194.6,108
2011,30 – 34,145.4,140
2011,35 – 39,72.8,207
2011,40 – 44,11.9,231
2011,45 – 49,0.6,191
2016,15 – 19,666.2,164
2016,20 – 24,332.3,144
2016,25 – 29,213.5,118
2016,30 – 34,154.2,149
2016,35 – 39,79.2,225
2016,40 – 44,15.4,299
2016,45 – 49,0.9,312
2021,15 – 19,196.8,48
2021,20 – 24,197.7,85
2021,25 – 29,142.7,79
2021,30 – 34,121.8,118
2021,35 – 39,61.4,174
2021,40 – 44,12.3,239
2021,45 – 49,0.6,214
