Yr,Econ,Stat_var,Fert_r
1991,Hong Kong,,1281
1992,Hong Kong,,1347
1993,Hong Kong,,1342
1994,Hong Kong,,1355
1995,Hong Kong,,1295
1996,Hong Kong,,1191
1997,Hong Kong,,1127
1998,Hong Kong,,1016
1999,Hong Kong,,981
2000,Hong Kong,,1032
2001,Hong Kong,,931
2002,Hong Kong,,941
2003,Hong Kong,,901
2004,Hong Kong,,922
2005,Hong Kong,,959
2006,Hong Kong,,984
2007,Hong Kong,,1028
2008,Hong Kong,,1064
2009,Hong Kong,,1055
2010,Hong Kong,,1127
2011,Hong Kong,,1204
2012,Hong Kong,,1285
2013,Hong Kong,,1125
2014,Hong Kong,,1235
2015,Hong Kong,,1196
2016,Hong Kong,,1205
2017,Hong Kong,,1128
2018,Hong Kong,,1080
2019,Hong Kong,,1064
2020,Hong Kong,,883
2021,Hong Kong,,772
1991,Japan,,1530
1992,Japan,,1500
1993,Japan,,1460
1994,Japan,,1500
1995,Japan,,1420
1996,Japan,,1430
1997,Japan,,1390
1998,Japan,,1380
1999,Japan,,1340
2000,Japan,,1360
2001,Japan,,1330
2002,Japan,,1320
2003,Japan,,1290
2004,Japan,,1290
2005,Japan,,1260
2006,Japan,,1320
2007,Japan,,1340
2008,Japan,,1370
2009,Japan,,1370
2010,Japan,,1390
2011,Japan,,1390
2012,Japan,,1410
2013,Japan,,1430
2014,Japan,,1420
2015,Japan,,1450
2016,Japan,,1440
2017,Japan,,1430
2018,Japan,,1420
2019,Japan,,1360
2020,Japan,,1330
2021,Japan,Provisional figure,1300
1991,Korea,,1710
1992,Korea,,1760
1993,Korea,,1650
1994,Korea,,1660
1995,Korea,,1630
1996,Korea,,1570
1997,Korea,,1520
1998,Korea,,1450
1999,Korea,,1410
2000,Korea,,1470
2001,Korea,,1300
2002,Korea,,1170
2003,Korea,,1180
2004,Korea,,1150
2005,Korea,,1080
2006,Korea,,1120
2007,Korea,,1250
2008,Korea,,1190
2009,Korea,,1150
2010,Korea,,1230
2011,Korea,,1240
2012,Korea,,1300
2013,Korea,,1190
2014,Korea,,1210
2015,Korea,,1240
2016,Korea,,1170
2017,Korea,,1050
2018,Korea,,980
2019,Korea,,920
2020,Korea,,840
2021,Korea,Provisional figure,810
1991,Singapore,,1730
1992,Singapore,,1720
1993,Singapore,,1740
1994,Singapore,,1710
1995,Singapore,,1670
1996,Singapore,,1660
1997,Singapore,,1610
1998,Singapore,,1480
1999,Singapore,,1470
2000,Singapore,,1600
2001,Singapore,,1410
2002,Singapore,,1370
2003,Singapore,,1270
2004,Singapore,,1260
2005,Singapore,,1260
2006,Singapore,,1280
2007,Singapore,,1290
2008,Singapore,,1280
2009,Singapore,,1220
2010,Singapore,,1150
2011,Singapore,,1200
2012,Singapore,,1290
2013,Singapore,,1190
2014,Singapore,,1250
2015,Singapore,,1240
2016,Singapore,,1200
2017,Singapore,,1160
2018,Singapore,,1140
2019,Singapore,,1140
2020,Singapore,,1100
2021,Singapore,,1120
1991,Taiwan,,1720
1992,Taiwan,,1730
1993,Taiwan,,1760
1994,Taiwan,,1760
1995,Taiwan,,1780
1996,Taiwan,,1760
1997,Taiwan,,1770
1998,Taiwan,,1470
1999,Taiwan,,1560
2000,Taiwan,,1680
2001,Taiwan,,1400
2002,Taiwan,,1340
2003,Taiwan,,1240
2004,Taiwan,,1180
2005,Taiwan,,1120
2006,Taiwan,,1120
2007,Taiwan,,1100
2008,Taiwan,,1050
2009,Taiwan,,1030
2010,Taiwan,,900
2011,Taiwan,,1070
2012,Taiwan,,1270
2013,Taiwan,,1070
2014,Taiwan,,1170
2015,Taiwan,,1180
2016,Taiwan,,1170
2017,Taiwan,,1130
2018,Taiwan,,1060
2019,Taiwan,,1050
2020,Taiwan,,990
2021,Taiwan,,980
1991,Netherlands,,1610
1992,Netherlands,,1590
1993,Netherlands,,1570
1994,Netherlands,,1570
1995,Netherlands,,1530
1996,Netherlands,,1530
1997,Netherlands,,1560
1998,Netherlands,,1630
1999,Netherlands,,1650
2000,Netherlands,,1720
2001,Netherlands,,1710
2002,Netherlands,,1730
2003,Netherlands,,1750
2004,Netherlands,,1730
2005,Netherlands,,1710
2006,Netherlands,,1720
2007,Netherlands,,1720
2008,Netherlands,,1770
2009,Netherlands,,1790
2010,Netherlands,,1800
2011,Netherlands,,1760
2012,Netherlands,,1720
2013,Netherlands,,1680
2014,Netherlands,,1710
2015,Netherlands,,1660
2016,Netherlands,,1660
2017,Netherlands,,1620
2018,Netherlands,,1590
2019,Netherlands,,1570
2020,Netherlands,,N.A.
2021,Netherlands,,N.A.
1991,Sweden,,2110
1992,Sweden,,2070
1993,Sweden,,1980
1994,Sweden,,1880
1995,Sweden,,1730
1996,Sweden,,1600
1997,Sweden,,1530
1998,Sweden,,1520
1999,Sweden,,1510
2000,Sweden,,1550
2001,Sweden,,1570
2002,Sweden,,1650
2003,Sweden,,1710
2004,Sweden,,1750
2005,Sweden,,1770
2006,Sweden,,1860
