Yr,No_of_deaths,Crude_death_r,Stand_death_r
1991,28429,5,11.8
1992,30550,5.3,12.4
1993,30571,5.2,11.8
1994,29905,5,11
1995,31468,5.1,10.9
1996,32176,5,10.7
1997,31738,4.9,10.4
1998,32847,5,10.6
1999,33258,5,10.5
2000,33758,5.1,10.2
2001,33378,5,9.5
2002,34267,5.1,9.4
2003,36971,5.5,9.8
2004,36918,5.4,9.5
2005,38830,5.7,9.6
2006,37457,5.5,8.8
2007,39476,5.7,8.9
2008,41796,6,9.1
2009,41175,5.9,8.6
2010,42194,6,8.5
2011,42346,6,8.2
2012,43917,6.1,8.2
2013,43397,6,7.8
2014,45087,6.2,7.8
2015,46108,6.3,7.7
2016,46905,6.4,7.6
2017,46829,6.3,7.2
2018,47400,6.4,7.1
2019,48957,6.5,7
2020,50666,6.8,7
2021,51354,6.9,6.9
