Yr,Sex,Age_gp,Mor_rate
1991,Male,0,6.2
1991,Male,1 – 4,0.3
1991,Male,5 – 9,0.1
1991,Male,10 – 14,0.2
1991,Male,15 – 19,0.4
1991,Male,20 – 24,0.6
1991,Male,25 – 29,0.8
1991,Male,30 – 34,0.9
1991,Male,35 – 39,1.2
1991,Male,40 – 44,2.2
1991,Male,45 – 49,3.4
1991,Male,50 – 54,5.7
1991,Male,55 – 59,8.9
1991,Male,60 – 64,15.4
1991,Male,65 – 69,23.6
1991,Male,70 – 74,39.7
1991,Male,75 – 79,60.8
1991,Male,80 – 84,90.6
1991,Male,85+,126.6
1991,Male,All ages,5.5
1996,Male,0,4.3
1996,Male,1 – 4,0.2
1996,Male,5 – 9,0.1
1996,Male,10 – 14,0.1
1996,Male,15 – 19,0.4
1996,Male,20 – 24,0.7
1996,Male,25 – 29,0.8
1996,Male,30 – 34,0.8
1996,Male,35 – 39,1.1
1996,Male,40 – 44,1.8
1996,Male,45 – 49,2.6
1996,Male,50 – 54,4.6
1996,Male,55 – 59,8
1996,Male,60 – 64,12.8
1996,Male,65 – 69,21.9
1996,Male,70 – 74,33.7
1996,Male,75 – 79,52.8
1996,Male,80 – 84,89.7
1996,Male,85+,127.2
1996,Male,All ages,5.7
2001,Male,0,2.9
2001,Male,1 – 4,0.3
2001,Male,5 – 9,0.1
2001,Male,10 – 14,0.1
2001,Male,15 – 19,0.3
2001,Male,20 – 24,0.5
2001,Male,25 – 29,0.9
2001,Male,30 – 34,0.8
2001,Male,35 – 39,1
2001,Male,40 – 44,1.5
2001,Male,45 – 49,2.7
2001,Male,50 – 54,3.9
2001,Male,55 – 59,7
2001,Male,60 – 64,10.3
2001,Male,65 – 69,18
2001,Male,70 – 74,30
2001,Male,75 – 79,48.4
2001,Male,80 – 84,76.9
2001,Male,85+,128.8
2001,Male,All ages,5.8
2006,Male,0,2.8
2006,Male,1 – 4,0.3
2006,Male,5 – 9,0.1
2006,Male,10 – 14,0.1
2006,Male,15 – 19,0.2
2006,Male,20 – 24,0.4
2006,Male,25 – 29,0.7
2006,Male,30 – 34,0.7
2006,Male,35 – 39,1
2006,Male,40 – 44,1.4
2006,Male,45 – 49,2
2006,Male,50 – 54,3.7
2006,Male,55 – 59,5.6
2006,Male,60 – 64,9.9
2006,Male,65 – 69,15.4
2006,Male,70 – 74,26.8
2006,Male,75 – 79,44.1
2006,Male,80 – 84,76
2006,Male,85+,129.5
2006,Male,All ages,6.4
2011,Male,0,3
2011,Male,1 – 4,0.2
