Yr,Sex_r_deaths,Sex_r_stand_deaths
1991,1272,1212
1992,1290,1211
1993,1282,1215
1994,1329,1275
1995,1310,1261
1996,1305,1241
1997,1316,1236
1998,1317,1265
1999,1288,1255
2000,1303,1268
2001,1336,1287
2002,1314,1286
2003,1289,1267
2004,1285,1284
2005,1255,1264
2006,1274,1301
2007,1311,1353
2008,1246,1284
2009,1259,1290
2010,1256,1293
2011,1272,1312
2012,1260,1302
2013,1254,1308
2014,1239,1290
2015,1223,1272
2016,1259,1306
2017,1246,1289
2018,1259,1294
2019,1254,1283
2020,1233,1244
2021,1231,1231
