Yr,Age_gp,Excess_male_mort_r
1991,0,0.91
1991,1 – 4,0.89
1991,5 – 9,0.93
1991,10 – 14,1.07
1991,15 – 19,1.53
1991,20 – 24,1.76
1991,25 – 29,2.22
1991,30 – 34,1.97
1991,35 – 39,1.94
1991,40 – 44,1.93
1991,45 – 49,2.03
1991,50 – 54,2
1991,55 – 59,1.97
1991,60 – 64,2.1
1991,65 – 69,1.79
1991,70 – 74,1.72
1991,75 – 79,1.59
1991,80 – 84,1.45
1991,85+,1.12
1996,0,1.22
1996,1 – 4,1.26
1996,5 – 9,1.06
1996,10 – 14,0.86
1996,15 – 19,1.76
1996,20 – 24,2.04
1996,25 – 29,2.52
1996,30 – 34,1.99
1996,35 – 39,1.66
1996,40 – 44,1.8
1996,45 – 49,1.84
1996,50 – 54,2.22
1996,55 – 59,2.23
1996,60 – 64,2.18
1996,65 – 69,2.07
1996,70 – 74,1.85
1996,75 – 79,1.61
1996,80 – 84,1.54
1996,85+,1.15
2001,0,1.18
2001,1 – 4,1.43
2001,5 – 9,1.93
2001,10 – 14,1.02
2001,15 – 19,1.75
2001,20 – 24,2.28
2001,25 – 29,2.92
2001,30 – 34,2.3
2001,35 – 39,1.73
2001,40 – 44,1.64
2001,45 – 49,2.15
2001,50 – 54,2.13
2001,55 – 59,2.47
2001,60 – 64,2.14
2001,65 – 69,1.94
2001,70 – 74,1.94
2001,75 – 79,1.8
2001,80 – 84,1.67
2001,85+,1.26
2006,0,1.05
2006,1 – 4,1.49
2006,5 – 9,1.56
2006,10 – 14,1.13
2006,15 – 19,1.55
2006,20 – 24,2.67
2006,25 – 29,2.81
2006,30 – 34,1.77
2006,35 – 39,1.83
2006,40 – 44,1.83
2006,45 – 49,1.74
2006,50 – 54,1.82
2006,55 – 59,2.09
2006,60 – 64,2.25
2006,65 – 69,2.22
2006,70 – 74,2.04
2006,75 – 79,1.85
2006,80 – 84,1.76
2006,85+,1.32
2011,0,1.69
2011,1 – 4,0.81
2011,5 – 9,0.93
2011,10 – 14,1.64
2011,15 – 19,1.6
2011,20 – 24,1.78
2011,25 – 29,2.09
2011,30 – 34,2.5
2011,35 – 39,1.89
2011,40 – 44,1.85
2011,45 – 49,1.88
2011,50 – 54,1.87
2011,55 – 59,2.06
2011,60 – 64,2.12
2011,65 – 69,2.54
2011,70 – 74,2.1
2011,75 – 79,1.9
2011,80 – 84,1.81
2011,85+,1.35
2016,0,1.09
2016,1 – 4,1.09
2016,5 – 9,1.39
2016,10 – 14,1.06
2016,15 – 19,1.31
2016,20 – 24,1.91
2016,25 – 29,2.48
2016,30 – 34,2.43
2016,35 – 39,2.18
2016,40 – 44,1.67
2016,45 – 49,1.9
2016,50 – 54,1.79
2016,55 – 59,2.07
2016,60 – 64,2.1
2016,65 – 69,2.15
2016,70 – 74,2.23
2016,75 – 79,2.02
2016,80 – 84,1.8
2016,85+,1.38
2021,0,1.12
2021,1 – 4,0.95
2021,5 – 9,0.95
2021,10 – 14,1.24
2021,15 – 19,1.45
2021,20 – 24,2.76
2021,25 – 29,1.62
2021,30 – 34,2.02
2021,35 – 39,2.52
2021,40 – 44,1.89
2021,45 – 49,1.82
2021,50 – 54,1.88
2021,55 – 59,1.98
2021,60 – 64,2
2021,65 – 69,2.2
2021,70 – 74,2.21
2021,75 – 79,2
2021,80 – 84,1.55
2021,85+,1.28
