Yr,Sex,COD,Per_deaths,No_reg_deaths
1991,Male,Neoplasms,33.5,-
1991,Male,Diseases of the circulatory system,25.6,-
1991,Male,Diseases of the respiratory system,16.9,-
1991,Male,Injury and poisoning,7.6,-
1991,Male,Diseases of the genitourinary system,3.6,-
1991,Male,Diseases of the digestive system,4.6,-
1991,Male,"Endocrine, nutritional and metabolic diseases and immunity disorders",0.8,-
1991,Male,Infectious and parasitic diseases,3.6,-
1991,Male,"Symptoms, signs and ill-defined conditions",1.8,-
1991,Male,Other causes,2,-
1991,Male,Total,100,16135
1991,Female,Neoplasms,27.5,-
1991,Female,Diseases of the circulatory system,31.9,-
1991,Female,Diseases of the respiratory system,16.1,-
1991,Female,Injury and poisoning,4.7,-
1991,Female,Diseases of the genitourinary system,5.7,-
1991,Female,Diseases of the digestive system,3.6,-
1991,Female,"Endocrine, nutritional and metabolic diseases and immunity disorders",1.5,-
1991,Female,Infectious and parasitic diseases,3,-
1991,Female,"Symptoms, signs and ill-defined conditions",3.4,-
1991,Female,Other causes,2.6,-
1991,Female,Total,100,12540
1991,Both sexes,Neoplasms,30.9,-
1991,Both sexes,Diseases of the circulatory system,28.4,-
1991,Both sexes,Diseases of the respiratory system,16.5,-
1991,Both sexes,Injury and poisoning,6.3,-
1991,Both sexes,Diseases of the genitourinary system,4.5,-
1991,Both sexes,Diseases of the digestive system,4.2,-
1991,Both sexes,"Endocrine, nutritional and metabolic diseases and immunity disorders",1.1,-
1991,Both sexes,Infectious and parasitic diseases,3.3,-
1991,Both sexes,"Symptoms, signs and ill-defined conditions",2.5,-
1991,Both sexes,Other causes,2.3,-
1991,Both sexes,Total,100,28682
1996,Male,Neoplasms,34.2,-
1996,Male,Diseases of the circulatory system,23.8,-
1996,Male,Diseases of the respiratory system,21,-
1996,Male,Injury and poisoning,6.2,-
1996,Male,Diseases of the genitourinary system,3.1,-
1996,Male,Diseases of the digestive system,4.6,-
1996,Male,"Endocrine, nutritional and metabolic diseases and immunity disorders",1.2,-
1996,Male,Infectious and parasitic diseases,2.9,-
1996,Male,"Symptoms, signs and ill-defined conditions",1.4,-
1996,Male,Other causes,1.6,-
1996,Male,Total,100,18195
1996,Female,Neoplasms,28.8,-
1996,Female,Diseases of the circulatory system,29.1,-
1996,Female,Diseases of the respiratory system,20.3,-
1996,Female,Injury and poisoning,3.9,-
1996,Female,Diseases of the genitourinary system,4.8,-
1996,Female,Diseases of the digestive system,4,-
1996,Female,"Endocrine, nutritional and metabolic diseases and immunity disorders",2.3,-
1996,Female,Infectious and parasitic diseases,3.7,-
1996,Female,"Symptoms, signs and ill-defined conditions",1.2,-
1996,Female,Other causes,1.9,-
1996,Female,Total,100,13850
1996,Both sexes,Neoplasms,31.9,-
1996,Both sexes,Diseases of the circulatory system,26.1,-
1996,Both sexes,Diseases of the respiratory system,20.7,-
1996,Both sexes,Injury and poisoning,5.2,-
1996,Both sexes,Diseases of the genitourinary system,3.8,-
1996,Both sexes,Diseases of the digestive system,4.3,-
1996,Both sexes,"Endocrine, nutritional and metabolic diseases and immunity disorders",1.7,-
1996,Both sexes,Infectious and parasitic diseases,3.2,-
1996,Both sexes,"Symptoms, signs and ill-defined conditions",1.3,-
1996,Both sexes,Other causes,1.7,-
1996,Both sexes,Total,100,32049
2000,Male,Neoplasms,36.4,-
2000,Male,Diseases of the circulatory system,25.2,-
2000,Male,Diseases of the respiratory system,17.2,-
2000,Male,Injury and poisoning,6.5,-
2000,Male,Diseases of the genitourinary system,3.4,-
2000,Male,Diseases of the digestive system,4.1,-
2000,Male,"Endocrine, nutritional and metabolic diseases and immunity disorders",2,-
2000,Male,Infectious and parasitic diseases,2.2,-
2000,Male,"Symptoms, signs and ill-defined conditions",1.3,-
2000,Male,Other causes,1.7,-
2000,Male,Total,100,19270
2000,Female,Neoplasms,29.5,-
2000,Female,Diseases of the circulatory system,31.9,-
2000,Female,Diseases of the respiratory system,15.7,-
2000,Female,Injury and poisoning,4.4,-
2000,Female,Diseases of the genitourinary system,5.6,-
2000,Female,Diseases of the digestive system,4.3,-
2000,Female,"Endocrine, nutritional and metabolic diseases and immunity disorders",3.7,-
2000,Female,Infectious and parasitic diseases,2,-
2000,Female,"Symptoms, signs and ill-defined conditions",0.8,-
2000,Female,Other causes,2.1,-
2000,Female,Total,100,14719
2000,Both sexes,Neoplasms,33.4,-
2000,Both sexes,Diseases of the circulatory system,28.1,-
2000,Both sexes,Diseases of the respiratory system,16.6,-
2000,Both sexes,Injury and poisoning,5.6,-
2000,Both sexes,Diseases of the genitourinary system,4.4,-
2000,Both sexes,Diseases of the digestive system,4.2,-
2000,Both sexes,"Endocrine, nutritional and metabolic diseases and immunity disorders",2.7,-
2000,Both sexes,Infectious and parasitic diseases,2.1,-
2000,Both sexes,"Symptoms, signs and ill-defined conditions",1.1,-
2000,Both sexes,Other causes,1.9,-
2000,Both sexes,Total,100,33993
