Yr,Sex,Infant_mortality,Infant_mortality_r
1991,Male,Infant mortality rate,6.2
1991,Male,Neo-natal mortality rate,3.9
1991,Male,Early neo-natal mortality rate,2.9
1991,Male,Late neo-natal mortality rate,1.1
1991,Male,Post neo-natal mortality rate,2.3
1991,Female,Infant mortality rate,6.6
1991,Female,Neo-natal mortality rate,4.3
1991,Female,Early neo-natal mortality rate,3.4
1991,Female,Late neo-natal mortality rate,0.9
1991,Female,Post neo-natal mortality rate,2.3
1991,Overall,Infant mortality rate,6.4
1991,Overall,Neo-natal mortality rate,4.1
1991,Overall,Early neo-natal mortality rate,3.1
1991,Overall,Late neo-natal mortality rate,1
1991,Overall,Post neo-natal mortality rate,2.3
1996,Male,Infant mortality rate,4.5
1996,Male,Neo-natal mortality rate,2.5
1996,Male,Early neo-natal mortality rate,1.6
1996,Male,Late neo-natal mortality rate,0.9
1996,Male,Post neo-natal mortality rate,2
1996,Female,Infant mortality rate,3.7
1996,Female,Neo-natal mortality rate,1.9
1996,Female,Early neo-natal mortality rate,1.6
1996,Female,Late neo-natal mortality rate,0.3
1996,Female,Post neo-natal mortality rate,1.8
1996,Overall,Infant mortality rate,4.1
1996,Overall,Neo-natal mortality rate,2.2
1996,Overall,Early neo-natal mortality rate,1.6
1996,Overall,Late neo-natal mortality rate,0.6
1996,Overall,Post neo-natal mortality rate,1.9
2001,Male,Infant mortality rate,2.8
2001,Male,Neo-natal mortality rate,1.7
2001,Male,Early neo-natal mortality rate,1.2
2001,Male,Late neo-natal mortality rate,0.5
2001,Male,Post neo-natal mortality rate,1.1
2001,Female,Infant mortality rate,2.3
2001,Female,Neo-natal mortality rate,1.5
2001,Female,Early neo-natal mortality rate,1.1
2001,Female,Late neo-natal mortality rate,0.4
2001,Female,Post neo-natal mortality rate,0.8
2001,Overall,Infant mortality rate,2.6
2001,Overall,Neo-natal mortality rate,1.6
2001,Overall,Early neo-natal mortality rate,1.2
2001,Overall,Late neo-natal mortality rate,0.4
2001,Overall,Post neo-natal mortality rate,1
2006,Male,Infant mortality rate,1.9
2006,Male,Neo-natal mortality rate,1
2006,Male,Early neo-natal mortality rate,0.8
2006,Male,Late neo-natal mortality rate,0.3
2006,Male,Post neo-natal mortality rate,0.8
2006,Female,Infant mortality rate,1.7
2006,Female,Neo-natal mortality rate,1.2
2006,Female,Early neo-natal mortality rate,0.8
2006,Female,Late neo-natal mortality rate,0.4
2006,Female,Post neo-natal mortality rate,0.5
2006,Overall,Infant mortality rate,1.8
2006,Overall,Neo-natal mortality rate,1.1
2006,Overall,Early neo-natal mortality rate,0.8
2006,Overall,Late neo-natal mortality rate,0.3
2006,Overall,Post neo-natal mortality rate,0.7
2011,Male,Infant mortality rate,1.6
2011,Male,Neo-natal mortality rate,1
2011,Male,Early neo-natal mortality rate,0.8
2011,Male,Late neo-natal mortality rate,0.2
2011,Male,Post neo-natal mortality rate,0.6
2011,Female,Infant mortality rate,1
2011,Female,Neo-natal mortality rate,0.5
2011,Female,Early neo-natal mortality rate,0.3
2011,Female,Late neo-natal mortality rate,0.2
2011,Female,Post neo-natal mortality rate,0.5
2011,Overall,Infant mortality rate,1.3
2011,Overall,Neo-natal mortality rate,0.7
2011,Overall,Early neo-natal mortality rate,0.6
2011,Overall,Late neo-natal mortality rate,0.2
2011,Overall,Post neo-natal mortality rate,0.6
2016,Male,Infant mortality rate,1.9
2016,Male,Neo-natal mortality rate,1.3
2016,Male,Early neo-natal mortality rate,1.1
2016,Male,Late neo-natal mortality rate,0.2
2016,Male,Post neo-natal mortality rate,0.6
2016,Female,Infant mortality rate,1.7
2016,Female,Neo-natal mortality rate,1
2016,Female,Early neo-natal mortality rate,0.8
2016,Female,Late neo-natal mortality rate,0.3
2016,Female,Post neo-natal mortality rate,0.7
2016,Overall,Infant mortality rate,1.8
2016,Overall,Neo-natal mortality rate,1.2
2016,Overall,Early neo-natal mortality rate,1
2016,Overall,Late neo-natal mortality rate,0.2
2016,Overall,Post neo-natal mortality rate,0.6
2021,Male,Infant mortality rate,1.4
2021,Male,Neo-natal mortality rate,0.9
2021,Male,Early neo-natal mortality rate,0.7
2021,Male,Late neo-natal mortality rate,0.2
2021,Male,Post neo-natal mortality rate,0.5
2021,Female,Infant mortality rate,1.3
2021,Female,Neo-natal mortality rate,0.9
2021,Female,Early neo-natal mortality rate,0.7
2021,Female,Late neo-natal mortality rate,0.3
2021,Female,Post neo-natal mortality rate,0.3
2021,Overall,Infant mortality rate,1.4
2021,Overall,Neo-natal mortality rate,0.9
2021,Overall,Early neo-natal mortality rate,0.7
2021,Overall,Late neo-natal mortality rate,0.2
2021,Overall,Post neo-natal mortality rate,0.4
