Yr,Economy,Stat_var,Infant_mortality_r
1991,Hong Kong,,6.4
1991,Japan,,4.4
1991,Singapore,,5.4
1991,Germany,,6.9
1991,Sweden,,6.2
1991,Switzerland,,6.2
1991,U.K.,,7.4
1991,U.S.A.,,8.9
1992,Hong Kong,,4.8
1992,Japan,,4.5
1992,Singapore,,4.8
1992,Germany,,6.2
1992,Sweden,,5.3
1992,Switzerland,,6.4
1992,U.K.,,6.6
1992,U.S.A.,,8.5
1993,Hong Kong,,4.8
1993,Japan,,4.3
1993,Singapore,,4.7
1993,Germany,,5.8
1993,Sweden,,4.8
1993,Switzerland,,5.6
1993,U.K.,,6.3
1993,U.S.A.,,8.4
1994,Hong Kong,,4.5
1994,Japan,,4.2
1994,Singapore,,4.1
1994,Germany,,5.6
1994,Sweden,,4.4
1994,Switzerland,,5.1
1994,U.K.,,6.2
1994,U.S.A.,,8
1995,Hong Kong,,4.6
1995,Japan,,4.3
1995,Singapore,,3.8
1995,Germany,,5.3
1995,Sweden,,4.1
1995,Switzerland,,5.1
1995,U.K.,,6.1
1995,U.S.A.,,7.6
1996,Hong Kong,,4.1
1996,Japan,,3.8
1996,Singapore,,3.6
1996,Germany,,5
1996,Sweden,,4
1996,Switzerland,,4.7
1996,U.K.,,6.1
1996,U.S.A.,,7.3
1997,Hong Kong,,3.9
1997,Japan,,3.7
1997,Singapore,,3.6
1997,Germany,,4.9
1997,Sweden,,3.6
1997,Switzerland,,4.8
1997,U.K.,,5.9
1997,U.S.A.,,7.2
1998,Hong Kong,,3.2
1998,Japan,,3.6
1998,Singapore,,4.1
1998,Germany,,4.7
1998,Sweden,,3.5
1998,Switzerland,,4.8
1998,U.K.,,5.7
1998,U.S.A.,,7.2
1999,Hong Kong,,3.1
1999,Japan,,3.4
1999,Singapore,,3.3
1999,Germany,,4.5
1999,Sweden,,3.4
1999,Switzerland,,4.6
1999,U.K.,,5.8
1999,U.S.A.,,7.1
2000,Hong Kong,,3
2000,Japan,,3.2
2000,Singapore,,2.5
2000,Germany,,4.4
2000,Sweden,,3.4
2000,Switzerland,,4.9
2000,U.K.,,5.6
2000,U.S.A.,,6.9
2001,Hong Kong,,2.6
2001,Japan,,3.1
2001,Singapore,,2.2
2001,Germany,,4.3
2001,Sweden,,3.7
2001,Switzerland,,5
2001,U.K.,,5.5
2001,U.S.A.,,6.9
2002,Hong Kong,,2.3
2002,Japan,,3
2002,Singapore,,2.9
2002,Germany,,4.2
2002,Sweden,,3.3
2002,Switzerland,,4.5
2002,U.K.,,5.3
2002,U.S.A.,,7
2003,Hong Kong,,2.3
2003,Japan,,3
2003,Singapore,,2.5
2003,Germany,,4.2
2003,Sweden,,3.1
2003,Switzerland,,4.3
2003,U.K.,,5.3
2003,U.S.A.,,6.9
2004,Hong Kong,,2.7
2004,Japan,,2.8
2004,Singapore,,2
2004,Germany,,4.1
2004,Sweden,,3.1
2004,Switzerland,,4.2
2004,U.K.,,5.1
2004,U.S.A.,,6.8
2005,Hong Kong,,2.3
2005,Japan,,2.8
2005,Singapore,,2.1
2005,Germany,,3.9
2005,Sweden,,2.4
2005,Switzerland,,4.2
2005,U.K.,,5
2005,U.S.A.,,6.9
2006,Hong Kong,,1.8
2006,Japan,,2.6
2006,Singapore,,2.6
2006,Germany,,3.8
2006,Sweden,,2.8
2006,Switzerland,,4.4
2006,U.K.,,5
2006,U.S.A.,,6.7
2007,Hong Kong,,1.8
2007,Japan,,2.6
2007,Singapore,,2.1
2007,Germany,,3.9
2007,Sweden,,2.5
2007,Switzerland,,3.9
2007,U.K.,,4.8
2007,U.S.A.,,6.8
2008,Hong Kong,,1.8
2008,Japan,,2.6
2008,Singapore,,2.1
2008,Germany,,3.5
2008,Sweden,,2.5
2008,Switzerland,,4
2008,U.K.,,4.8
2008,U.S.A.,,6.6
2009,Hong Kong,,1.7
2009,Japan,,2.4
2009,Singapore,,2.2
2009,Germany,,3.5
2009,Sweden,,2.5
2009,Switzerland,,4.3
2009,U.K.,,4.7
2009,U.S.A.,,6.4
2010,Hong Kong,,1.7
2010,Japan,,2.3
2010,Singapore,,2
2010,Germany,,3.4
2010,Sweden,,2.5
2010,Switzerland,,3.8
2010,U.K.,,4.3
2010,U.S.A.,,6.2
2011,Hong Kong,,1.3
2011,Japan,,2.3
2011,Singapore,,2
2011,Germany,,3.6
2011,Sweden,,2.1
2011,Switzerland,,3.8
2011,U.K.,,4.4
2011,U.S.A.,,6.1
2012,Hong Kong,,1.5
2012,Japan,,2.2
2012,Singapore,,1.8
2012,Germany,,3.3
2012,Sweden,,2.6
2012,Switzerland,,3.6
2012,U.K.,,4.2
2012,U.S.A.,,6
2013,Hong Kong,,1.8
2013,Japan,,2.1
2013,Singapore,,2
2013,Germany,,3.3
2013,Sweden,,2.7
2013,Switzerland,,3.9
2013,U.K.,,4
2013,U.S.A.,,6
2014,Hong Kong,,1.7
2014,Japan,,2.1
2014,Singapore,,1.8
2014,Germany,,3.2
2014,Sweden,,2.2
2014,Switzerland,,3.9
2014,U.K.,,3.9
2014,U.S.A.,,5.8
2015,Hong Kong,,1.4
2015,Japan,,1.9
2015,Singapore,,1.7
2015,Germany,,3.3
2015,Sweden,,2.5
2015,Switzerland,,3.9
2015,U.K.,,3.9
2015,U.S.A.,,5.9
2016,Hong Kong,,1.8
2016,Japan,,2
2016,Singapore,,2.4
2016,Germany,,3.4
2016,Sweden,,2.5
2016,Switzerland,,3.6
2016,U.K.,,3.9
2016,U.S.A.,,5.9
2017,Hong Kong,,1.7
2017,Japan,,1.9
2017,Singapore,,2.2
2017,Germany,,3.3
2017,Sweden,,2.4
2017,Switzerland,,3.5
2017,U.K.,,3.9
2017,U.S.A.,,5.8
2018,Hong Kong,,1.5
2018,Japan,,1.9
2018,Singapore,,2.1
2018,Germany,,3.2
2018,Sweden,,2
2018,Switzerland,,3.3
2018,U.K.,,3.9
2018,U.S.A.,,5.7
2019,Hong Kong,,1.5
2019,Japan,,1.9
2019,Singapore,,1.7
2019,Germany,,3.2
2019,Sweden,,2.1
2019,Switzerland,,3.3
2019,U.K.,,4
2019,U.S.A.,,5.6
2020,Hong Kong,,1.9
2020,Japan,,1.8
2020,Singapore,,1.8
2020,Germany,,3.1
2020,Sweden,,2.4
2020,Switzerland,,3.6
2020,U.K.,,3.8
2020,U.S.A.,,5.4
2021,Hong Kong,,1.4
2021,Japan,,1.7
2021,Singapore,,1.8
2021,Germany,,3
2021,Sweden,,1.8
2021,Switzerland,,3.1
2021,U.K.,,N.A.
2021,U.S.A.,,N.A.
