Yr,Sex,Economy,Stat_var,Exp_of_life_birth
1991,Male,Hong Kong,,75.2
1991,Male,Japan,,76.1
1991,Male,Singapore,,73.5
1991,Male,Australia,,74.4
1991,Male,Denmark,,72.2
1991,Male,France,,72.9
1991,Male,Germany,,72.9
1991,Male,Netherlands,,74.1
1991,Male,Norway,,74
1991,Male,Sweden,,74.9
1991,Male,U.K.,,72.9
1991,Male,U.S.A.,,72
1991,Female,Hong Kong,,80.7
1991,Female,Japan,,82.1
1991,Female,Singapore,,77.9
1991,Female,Australia,,80.3
1991,Female,Denmark,,77.8
1991,Female,France,,81.2
1991,Female,Germany,,79.3
1991,Female,Netherlands,,80.2
1991,Female,Norway,,80.1
1991,Female,Sweden,,80.5
1991,Female,U.K.,,78.4
1991,Female,U.S.A.,,78.9
1991,Difference (Female – Male),Hong Kong,,5.5
1991,Difference (Female – Male),Japan,,6
1991,Difference (Female – Male),Singapore,,4.4
1991,Difference (Female – Male),Australia,,5.9
1991,Difference (Female – Male),Denmark,,5.6
1991,Difference (Female – Male),France,,8.3
1991,Difference (Female – Male),Germany,,6.4
1991,Difference (Female – Male),Netherlands,,6.1
1991,Difference (Female – Male),Norway,,6.1
1991,Difference (Female – Male),Sweden,,5.6
1991,Difference (Female – Male),U.K.,,5.5
1991,Difference (Female – Male),U.S.A.,,6.9
1996,Male,Hong Kong,,76.7
1996,Male,Japan,,77
1996,Male,Singapore,,74.4
1996,Male,Australia,,75.2
1996,Male,Denmark,,72.9
1996,Male,France,,74.1
1996,Male,Germany,,73.6
1996,Male,Netherlands,,74.7
1996,Male,Norway,,75.4
1996,Male,Sweden,,76.5
1996,Male,U.K.,,74.1
1996,Male,U.S.A.,,73.1
1996,Female,Hong Kong,,82.7
1996,Female,Japan,,83.6
1996,Female,Singapore,,78.9
1996,Female,Australia,,81.1
1996,Female,Denmark,,78
1996,Female,France,,82
1996,Female,Germany,,80
1996,Female,Netherlands,,80.4
1996,Female,Norway,,81.1
1996,Female,Sweden,,81.5
1996,Female,U.K.,,79.3
1996,Female,U.S.A.,,79.1
1996,Difference (Female – Male),Hong Kong,,5.9
1996,Difference (Female – Male),Japan,,6.6
1996,Difference (Female – Male),Singapore,,4.5
1996,Difference (Female – Male),Australia,,5.9
1996,Difference (Female – Male),Denmark,,5.1
1996,Difference (Female – Male),France,,7.9
1996,Difference (Female – Male),Germany,,6.4
1996,Difference (Female – Male),Netherlands,,5.7
1996,Difference (Female – Male),Norway,,5.7
1996,Difference (Female – Male),Sweden,,5
1996,Difference (Female – Male),U.K.,,5.2
1996,Difference (Female – Male),U.S.A.,,6
2001,Male,Hong Kong,,78.4
2001,Male,Japan,,78.1
2001,Male,Singapore,,76.3
2001,Male,Australia,,77
2001,Male,Denmark,,74.5
2001,Male,France,,75.4
2001,Male,Germany,,75.4
2001,Male,Netherlands,,75.8
2001,Male,Norway,,76.2
2001,Male,Sweden,,77.5
2001,Male,U.K.,,75.3
2001,Male,U.S.A.,,74.3
2001,Female,Hong Kong,,84.6
2001,Female,Japan,,84.9
