Yr,Sex,Marital_status,Number,Percentage,Percentage_21stand
1991,Male,Never married,807443,36.5,22.4
1991,Male,Married,1333049,60.2,71.6
1991,Male,Widowed,48584,2.2,4.7
1991,Male,Divorced/ separated,23871,1.1,1.3
1991,Male,Total,2212947,100,-
1991,Female,Never married,626554,29,15.6
1991,Female,Married,1290860,59.8,66.6
1991,Female,Widowed,210390,9.8,16.1
1991,Female,Divorced/ separated,29614,1.4,1.7
1991,Female,Total,2157418,100,-
1996,Male,Never married,858341,34.2,23.3
1996,Male,Married,1557211,62,70.7
1996,Male,Widowed,55338,2.2,4.2
1996,Male,Divorced/ separated,40964,1.6,1.8
1996,Male,Total,2511854,100,-
1996,Female,Never married,737926,28.9,17.3
1996,Female,Married,1515574,59.3,65
1996,Female,Widowed,244866,9.6,15.2
1996,Female,Divorced/ separated,56298,2.2,2.5
1996,Female,Total,2554664,100,-
2001,Male,Never married,918722,33.9,24.7
2001,Male,Married,1673786,61.7,69.1
2001,Male,Widowed,60996,2.2,3.9
2001,Male,Divorced/ separated,57483,2.1,2.3
2001,Male,Total,2710987,100,-
2001,Female,Never married,868797,30.1,19.4
2001,Female,Married,1651696,57.2,62.4
2001,Female,Widowed,272626,9.4,14.7
2001,Female,Divorced/ separated,94866,3.3,3.5
2001,Female,Total,2887985,100,-
2006,Male,Never married,956281,34.3,26.8
2006,Male,Married,1694583,60.8,66.8
2006,Male,Widowed,60378,2.2,3.4
2006,Male,Divorced/ separated,77163,2.8,3
2006,Male,Total,2788405,100,-
2006,Female,Never married,964241,30.7,22.1
2006,Female,Married,1729412,55.1,59.4
2006,Female,Widowed,295491,9.4,13.6
2006,Female,Divorced/ separated,147122,4.7,4.9
2006,Female,Total,3136266,100,-
2011,Male,Never married,964739,33.5,27.6
2011,Male,Married,1760524,61.2,66.1
2011,Male,Widowed,60449,2.1,3
2011,Male,Divorced/ separated,91055,3.2,3.4
2011,Male,Total,2876767,100,-
2011,Female,Never married,1008811,29.9,23.2
2011,Female,Married,1847554,54.8,57.8
2011,Female,Widowed,327882,9.7,13.2
2011,Female,Divorced/ separated,187002,5.5,5.8
2011,Female,Total,3371249,100,-
2016,Male,Never married,953761,32.4,28.6
2016,Male,Married,1818215,61.7,64.8
2016,Male,Widowed,65712,2.2,2.7
2016,Male,Divorced/ separated,109385,3.7,3.9
2016,Male,Total,2947073,100,-
2016,Female,Never married,1003523,28.2,24.3
2016,Female,Married,1979206,55.6,57.5
2016,Female,Widowed,351354,9.9,11.7
2016,Female,Divorced/ separated,224974,6.3,6.6
2016,Female,Total,3559057,100,-
2021,Male,Never married, 914 936,30.8,30.8
2021,Male,Married,1 839 629,62,62
2021,Male,Widowed, 70 367,2.4,2.4
2021,Male,Divorced/ separated, 141 336,4.8,4.8
2021,Male,Total,2 966 268,100,-
2021,Female,Never married, 976 631,26.8,26.8
2021,Female,Married,2 030 509,55.8,55.8
2021,Female,Widowed, 354 827,9.8,9.8
2021,Female,Divorced/ separated, 276 997,7.6,7.6
2021,Female,Total,3 638 964,100,-
