Yr,Pre_martial_s,Med_age
1991,Bridegrooms: Bachelors,29.1
1991,Bridegrooms: Widowers,53.6
1991,Bridegrooms: Divorced men,37.7
1991,Bridegrooms: Others,63.8
1991,All bridegrooms ,30
1991,Brides: Spinsters,26.2
1991,Brides: Widow,40.4
1991,Brides: Divorced women,33.2
1991,Brides: Others,59.5
1991,All brides,27
1992,Bridegrooms: Bachelors,29.4
1992,Bridegrooms: Widowers,53.1
1992,Bridegrooms: Divorced men,37.9
1992,Bridegrooms: Others,63.8
1992,All bridegrooms ,30.1
1992,Brides: Spinsters,26.3
1992,Brides: Widow,39.2
1992,Brides: Divorced women,33.2
1992,Brides: Others,59.7
1992,All brides,27
1993,Bridegrooms: Bachelors,29.6
1993,Bridegrooms: Widowers,51.4
1993,Bridegrooms: Divorced men,38.4
1993,Bridegrooms: Others,64.1
1993,All bridegrooms ,30.4
1993,Brides: Spinsters,26.5
1993,Brides: Widow,40.2
1993,Brides: Divorced women,33.2
1993,Brides: Others,60.1
1993,All brides,27.2
1994,Bridegrooms: Bachelors,29.6
1994,Bridegrooms: Widowers,51.7
1994,Bridegrooms: Divorced men,38.5
1994,Bridegrooms: Others,64.2
1994,All bridegrooms ,30.4
1994,Brides: Spinsters,26.5
1994,Brides: Widow,40.2
1994,Brides: Divorced women,33.5
1994,Brides: Others,60.4
1994,All brides,27.2
1995,Bridegrooms: Bachelors,30
1995,Bridegrooms: Widowers,52.5
1995,Bridegrooms: Divorced men,39.1
1995,Bridegrooms: Others,64.6
1995,All bridegrooms ,30.7
1995,Brides: Spinsters,26.9
1995,Brides: Widow,39.7
1995,Brides: Divorced women,33.9
1995,Brides: Others,60.6
1995,All brides,27.5
1996,Bridegrooms: Bachelors,30
1996,Bridegrooms: Widowers,50.8
1996,Bridegrooms: Divorced men,39.2
1996,Bridegrooms: Others,65.8
1996,All bridegrooms ,31
1996,Brides: Spinsters,26.9
1996,Brides: Widow,40.7
1996,Brides: Divorced women,33.8
1996,Brides: Others,61.5
1996,All brides,27.6
1997,Bridegrooms: Bachelors,29.6
1997,Bridegrooms: Widowers,52.9
1997,Bridegrooms: Divorced men,39.4
1997,Bridegrooms: Others,66
1997,All bridegrooms ,30.4
1997,Brides: Spinsters,26.8
1997,Brides: Widow,41.1
1997,Brides: Divorced women,33.7
1997,Brides: Others,60.7
1997,All brides,27.4
1998,Bridegrooms: Bachelors,29.8
1998,Bridegrooms: Widowers,55.6
1998,Bridegrooms: Divorced men,39.8
1998,Bridegrooms: Others,66.8
1998,All bridegrooms ,30.8
1998,Brides: Spinsters,26.9
1998,Brides: Widow,43.2
1998,Brides: Divorced women,34.3
1998,Brides: Others,62.7
1998,All brides,27.5
1999,Bridegrooms: Bachelors,29.9
1999,Bridegrooms: Widowers,54.4
1999,Bridegrooms: Divorced men,40.2
1999,Bridegrooms: Others,67.2
1999,All bridegrooms ,30.9
1999,Brides: Spinsters,27
1999,Brides: Widow,42.1
1999,Brides: Divorced women,34.1
1999,Brides: Others,63.3
1999,All brides,27.7
2000,Bridegrooms: Bachelors,30
2000,Bridegrooms: Widowers,57.5
2000,Bridegrooms: Divorced men,40.6
2000,Bridegrooms: Others,68.6
2000,All bridegrooms ,31.1
2000,Brides: Spinsters,27.3
2000,Brides: Widow,42.2
2000,Brides: Divorced women,34.9
2000,Brides: Others,64.6
2000,All brides,27.9
2001,Bridegrooms: Bachelors,30.2
2001,Bridegrooms: Widowers,59
2001,Bridegrooms: Divorced men,41.4
2001,Bridegrooms: Others,69.7
2001,All bridegrooms ,31.3
2001,Brides: Spinsters,27.5
2001,Brides: Widow,42.9
2001,Brides: Divorced women,35
2001,Brides: Others,64.9
2001,All brides,28.1
2002,Bridegrooms: Bachelors,30.5
2002,Bridegrooms: Widowers,59.6
2002,Bridegrooms: Divorced men,42.6
2002,Bridegrooms: Others,70.6
2002,All bridegrooms ,31.9
2002,Brides: Spinsters,27.6
2002,Brides: Widow,42.6
2002,Brides: Divorced women,35.7
2002,Brides: Others,65.9
2002,All brides,28.5
2003,Bridegrooms: Bachelors,30.8
2003,Bridegrooms: Widowers,61
2003,Bridegrooms: Divorced men,43.1
2003,Bridegrooms: Others,71.2
2003,All bridegrooms ,32.2
2003,Brides: Spinsters,27.8
2003,Brides: Widow,43.7
2003,Brides: Divorced women,35.7
2003,Brides: Others,67.3
2003,All brides,28.7
2004,Bridegrooms: Bachelors,31.1
2004,Bridegrooms: Widowers,62.1
2004,Bridegrooms: Divorced men,43.4
2004,Bridegrooms: Others,71.1
2004,All bridegrooms ,32.7
2004,Brides: Spinsters,28.1
2004,Brides: Widow,42.7
2004,Brides: Divorced women,36.3
2004,Brides: Others,66.5
2004,All brides,29
2005,Bridegrooms: Bachelors,31.2
2005,Bridegrooms: Widowers,63.6
2005,Bridegrooms: Divorced men,44.8
2005,Bridegrooms: Others,73.1
2005,All bridegrooms ,33.3
2005,Brides: Spinsters,28
2005,Brides: Widow,43.6
2005,Brides: Divorced women,37
2005,Brides: Others,67.8
2005,All brides,29.4
2006,Bridegrooms: Bachelors,31.2
2006,Bridegrooms: Widowers,62.1
2006,Bridegrooms: Divorced men,44.3
2006,Bridegrooms: Others,72.8
2006,All bridegrooms ,33.1
2006,Brides: Spinsters,28.2
2006,Brides: Widow,43.8
2006,Brides: Divorced women,36.8
2006,Brides: Others,67
2006,All brides,29.4
2007,Bridegrooms: Bachelors,31.2
2007,Bridegrooms: Widowers,59.7
