Yr,Age_diff_bach_spin,Per_marri_age_diff,Median_age_diff
1991,Bridegrooms older than brides: 5+,32,-
1991,Bridegrooms older than brides: 1-4,41.9,-
1991,Bridegrooms and brides of same age,10.5,-
1991,Bridegrooms younger than brides: 1-4,13.3,-
1991,Bridegrooms younger than brides: 5+,2.3,-
1991,Median of age difference between bachelors and spinsters when married (year),-,3
1992,Bridegrooms older than brides: 5+,32.7,-
1992,Bridegrooms older than brides: 1-4,42,-
1992,Bridegrooms and brides of same age,10.3,-
1992,Bridegrooms younger than brides: 1-4,12.9,-
1992,Bridegrooms younger than brides: 5+,2.1,-
1992,Median of age difference between bachelors and spinsters when married (year),-,3
1993,Bridegrooms older than brides: 5+,32.6,-
1993,Bridegrooms older than brides: 1-4,41.7,-
1993,Bridegrooms and brides of same age,10.4,-
1993,Bridegrooms younger than brides: 1-4,13.2,-
1993,Bridegrooms younger than brides: 5+,2.1,-
1993,Median of age difference between bachelors and spinsters when married (year),-,3
1994,Bridegrooms older than brides: 5+,31.9,-
1994,Bridegrooms older than brides: 1-4,41.7,-
1994,Bridegrooms and brides of same age,10.6,-
1994,Bridegrooms younger than brides: 1-4,13.6,-
1994,Bridegrooms younger than brides: 5+,2.2,-
1994,Median of age difference between bachelors and spinsters when married (year),-,2
1995,Bridegrooms older than brides: 5+,31.9,-
1995,Bridegrooms older than brides: 1-4,41.3,-
1995,Bridegrooms and brides of same age,11,-
1995,Bridegrooms younger than brides: 1-4,13.5,-
1995,Bridegrooms younger than brides: 5+,2.3,-
1995,Median of age difference between bachelors and spinsters when married (year),-,3
1996,Bridegrooms older than brides: 5+,31.5,-
1996,Bridegrooms older than brides: 1-4,41,-
1996,Bridegrooms and brides of same age,10.8,-
1996,Bridegrooms younger than brides: 1-4,14.3,-
1996,Bridegrooms younger than brides: 5+,2.4,-
1996,Median of age difference between bachelors and spinsters when married (year),-,2
1997,Bridegrooms older than brides: 5+,29.4,-
1997,Bridegrooms older than brides: 1-4,41.9,-
1997,Bridegrooms and brides of same age,11.8,-
1997,Bridegrooms younger than brides: 1-4,14.7,-
1997,Bridegrooms younger than brides: 5+,2.2,-
1997,Median of age difference between bachelors and spinsters when married (year),-,2
1998,Bridegrooms older than brides: 5+,30.7,-
1998,Bridegrooms older than brides: 1-4,40.9,-
1998,Bridegrooms and brides of same age,11.4,-
1998,Bridegrooms younger than brides: 1-4,14.5,-
1998,Bridegrooms younger than brides: 5+,2.6,-
1998,Median of age difference between bachelors and spinsters when married (year),-,2
1999,Bridegrooms older than brides: 5+,30.4,-
1999,Bridegrooms older than brides: 1-4,40.7,-
1999,Bridegrooms and brides of same age,12.1,-
1999,Bridegrooms younger than brides: 1-4,14.5,-
1999,Bridegrooms younger than brides: 5+,2.3,-
1999,Median of age difference between bachelors and spinsters when married (year),-,2
2000,Bridegrooms older than brides: 5+,29.6,-
2000,Bridegrooms older than brides: 1-4,41.6,-
2000,Bridegrooms and brides of same age,12.3,-
2000,Bridegrooms younger than brides: 1-4,14.2,-
2000,Bridegrooms younger than brides: 5+,2.4,-
2000,Median of age difference between bachelors and spinsters when married (year),-,2
2001,Bridegrooms older than brides: 5+,30.3,-
2001,Bridegrooms older than brides: 1-4,40.7,-
2001,Bridegrooms and brides of same age,12.5,-
