Yr,Age_brides,Age_bgrooms,Per_first_marri
1991,16 – 19,16 – 19,0.7
1991,16 – 19,20 – 24,2.1
1991,16 – 19,25 – 29,1.4
1991,16 – 19,30 – 34,0.4
1991,16 – 19,35 – 39,0.1
1991,16 – 19,40+,§
1991,16 – 19,Total,4.5
1991,20 – 24,16 – 19,0.2
1991,20 – 24,20 – 24,9.6
1991,20 – 24,25 – 29,16.2
1991,20 – 24,30 – 34,6.8
1991,20 – 24,35 – 39,1.3
1991,20 – 24,40+,0.2
1991,20 – 24,Total,34.3
1991,25 – 29,16 – 19,§
1991,25 – 29,20 – 24,2.6
1991,25 – 29,25 – 29,23.5
1991,25 – 29,30 – 34,14.4
1991,25 – 29,35 – 39,2.8
1991,25 – 29,40+,0.6
1991,25 – 29,Total,44
1991,30 – 34,16 – 19,§
1991,30 – 34,20 – 24,0.3
1991,30 – 34,25 – 29,2.5
1991,30 – 34,30 – 34,6.3
1991,30 – 34,35 – 39,2.9
1991,30 – 34,40+,0.9
1991,30 – 34,Total,13
1991,35 – 39,16 – 19,§
1991,35 – 39,20 – 24,§
1991,35 – 39,25 – 29,0.2
1991,35 – 39,30 – 34,0.7
1991,35 – 39,35 – 39,1
1991,35 – 39,40+,0.8
1991,35 – 39,Total,2.8
1991,40+,16 – 19,§
1991,40+,20 – 24,§
1991,40+,25 – 29,§
1991,40+,30 – 34,0.1
1991,40+,35 – 39,0.1
1991,40+,40+,1.1
1991,40+,Total,1.4
1991,Total,16 – 19,0.9
1991,Total,20 – 24,14.7
1991,Total,25 – 29,43.9
1991,Total,30 – 34,28.7
1991,Total,35 – 39,8.2
1991,Total,40+,3.7
1991,Total,Total,100
1996,16 – 19,16 – 19,0.6
1996,16 – 19,20 – 24,1.9
1996,16 – 19,25 – 29,0.8
1996,16 – 19,30 – 34,0.3
1996,16 – 19,35 – 39,0.1
1996,16 – 19,40+,§
1996,16 – 19,Total,3.7
1996,20 – 24,16 – 19,0.4
1996,20 – 24,20 – 24,9.3
1996,20 – 24,25 – 29,12.5
1996,20 – 24,30 – 34,5.9
1996,20 – 24,35 – 39,1.7
1996,20 – 24,40+,0.4
1996,20 – 24,Total,30.1
1996,25 – 29,16 – 19,0.1
1996,25 – 29,20 – 24,2.4
1996,25 – 29,25 – 29,20.9
1996,25 – 29,30 – 34,15.3
1996,25 – 29,35 – 39,3.7
1996,25 – 29,40+,0.9
1996,25 – 29,Total,43.2
1996,30 – 34,16 – 19,§
1996,30 – 34,20 – 24,0.3
1996,30 – 34,25 – 29,2.9
1996,30 – 34,30 – 34,8.6
1996,30 – 34,35 – 39,4.3
1996,30 – 34,40+,1.2
1996,30 – 34,Total,17.4
1996,35 – 39,16 – 19,§
1996,35 – 39,20 – 24,§
1996,35 – 39,25 – 29,0.2
1996,35 – 39,30 – 34,0.9
1996,35 – 39,35 – 39,1.7
1996,35 – 39,40+,1.1
1996,35 – 39,Total,4
1996,40+,16 – 19,§
1996,40+,20 – 24,§
1996,40+,25 – 29,§
1996,40+,30 – 34,0.1
1996,40+,35 – 39,0.2
1996,40+,40+,1.2
1996,40+,Total,1.5
1996,Total,16 – 19,1.1
1996,Total,20 – 24,14
1996,Total,25 – 29,37.5
1996,Total,30 – 34,31
1996,Total,35 – 39,11.6
1996,Total,40+,4.9
1996,Total,Total,100
2001,16 – 19,16 – 19,0.4
2001,16 – 19,20 – 24,1.6
2001,16 – 19,25 – 29,1
2001,16 – 19,30 – 34,0.3
2001,16 – 19,35 – 39,0.1
2001,16 – 19,40+,0.1
2001,16 – 19,Total,3.5
2001,20 – 24,16 – 19,0.3
2001,20 – 24,20 – 24,8.2
2001,20 – 24,25 – 29,10.9
2001,20 – 24,30 – 34,3.8
2001,20 – 24,35 – 39,1.6
2001,20 – 24,40+,0.9
2001,20 – 24,Total,25.8
2001,25 – 29,16 – 19,§
2001,25 – 29,20 – 24,2.1
2001,25 – 29,25 – 29,23.3
2001,25 – 29,30 – 34,14.3
2001,25 – 29,35 – 39,4.2
2001,25 – 29,40+,1.5
2001,25 – 29,Total,45.4
2001,30 – 34,16 – 19,§
2001,30 – 34,20 – 24,0.2
2001,30 – 34,25 – 29,2.9
2001,30 – 34,30 – 34,9.2
2001,30 – 34,35 – 39,4.9
2001,30 – 34,40+,1.9
2001,30 – 34,Total,19.1
2001,35 – 39,16 – 19,§
2001,35 – 39,20 – 24,§
2001,35 – 39,25 – 29,0.2
