Yr,Month,No_of_marri,Seasonal_index
1991,1,4725,-
1991,2,3021,-
1991,3,3719,-
1991,4,2806,-
1991,5,3664,-
1991,6,3202,-
1991,7,2608,-
1991,8,2682,-
1991,9,3817,-
1991,10,3983,-
1991,11,4334,-
1991,12,4007,-
1991, 1-12,42568,-
1996,1,3573,-
1996,2,2448,-
1996,3,3141,-
1996,4,2382,-
1996,5,3092,-
1996,6,2835,-
1996,7,2445,-
1996,8,2384,-
1996,9,3148,-
1996,10,3140,-
1996,11,4102,-
1996,12,4355,-
1996, 1-12,37045,-
2001,1,2174,-
2001,2,2228,-
2001,3,3449,-
2001,4,1684,-
2001,5,2680,-
2001,6,2594,-
2001,7,2000,-
2001,8,1881,-
2001,9,2885,-
2001,10,2867,-
2001,11,4174,-
2001,12,4209,-
2001, 1-12,32825,-
2006,1,3372,-
2006,2,3319,-
2006,3,4537,-
2006,4,3095,-
2006,5,3785,-
2006,6,4114,-
2006,7,3360,-
2006,8,3009,-
2006,9,3757,-
2006,10,5831,-
2006,11,5319,-
2006,12,6830,-
2006, 1-12,50328,-
2011,1,5224,-
2011,2,3189,-
2011,3,5420,-
2011,4,3320,-
2011,5,4909,-
2011,6,4284,-
2011,7,3410,-
2011,8,3272,-
2011,9,5300,-
2011,10,5464,-
2011,11,7656,-
2011,12,6921,-
2011, 1-12,58369,-
2016,1,5224,-
2016,2,2956,-
2016,3,4521,-
2016,4,2840,-
2016,5,4388,-
2016,6,3720,-
2016,7,2937,-
2016,8,2542,-
2016,9,4893,-
2016,10,4468,-
2016,11,5557,-
2016,12,5962,-
2016, 1-12,50008,-
2021,1,2497,-
2021,2,1541,-
2021,3,2311,-
2021,4,1336,-
2021,5,2442,-
2021,6,2107,-
2021,7,1446,-
2021,8,1029,-
2021,9,2703,-
2021,10,2295,-
2021,11,3373,-
2021,12,3819,-
2021, 1-12,26899,-
1991–2001,1,-,114
1991–2001,2,-,79
1991–2001,3,-,111
1991–2001,4,-,77
1991–2001,5,-,103
1991–2001,6,-,90
1991–2001,7,-,74
1991–2001,8,-,70
1991–2001,9,-,112
1991–2001,10,-,106
1991–2001,11,-,127
1991–2001,12,-,137
1991–2001,Average,-,100
2001–2011,1,-,116
2001–2011,2,-,80
2001–2011,3,-,112
2001–2011,4,-,73
2001–2011,5,-,97
2001–2011,6,-,87
2001–2011,7,-,76
2001–2011,8,-,68
2001–2011,9,-,102
2001–2011,10,-,109
2001–2011,11,-,136
2001–2011,12,-,144
2001–2011,Average,-,100
2011–2021,1,-,115
2011–2021,2,-,72
2011–2021,3,-,109
2011–2021,4,-,65
2011–2021,5,-,101
2011–2021,6,-,88
2011–2021,7,-,67
2011–2021,8,-,66
2011–2021,9,-,110
2011–2021,10,-,110
2011–2021,11,-,143
2011–2021,12,-,155
2011–2021,Average,-,100
