Yr,G_B_HKR,M_HK_cross_b_marri,No_of_marri
1991,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,590
1991,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,20630
1991,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,21220
1991,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,90
1991,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1300
1991,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,1390
1991,Total,Total,22610
1996,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,2215
1996,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,22349
1996,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,24564
1996,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,269
1996,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1552
1996,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,1821
1996,Total,Total,26385
2001,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,5169
2001,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,13211
2001,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,18380
2001,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,723
2001,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1636
2001,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,2359
2001,Total,Total,20739
2002,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,7724
2002,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,10127
2002,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,17851
2002,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,977
2002,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1394
2002,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,2371
2002,Total,Total,20222
2003,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,10185
2003,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,7501
2003,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,17686
2003,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,1324
2003,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1083
2003,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,2407
2003,Total,Total,20093
2004,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,13126
2004,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,7842
2004,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,20968
2004,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,1888
2004,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1504
2004,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,3392
2004,Total,Total,24360
2005,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,16775
2005,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,8094
2005,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,24869
2005,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,2726
2005,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,2193
2005,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,4919
2005,Total,Total,29788
2006,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,18182
2006,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,9963
2006,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,28145
2006,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,3406
2006,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,3077
2006,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,6483
2006,Total,Total,34628
2007,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,15978
2007,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,5910
2007,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,21888
2007,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,2490
2007,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1825
2007,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,4315
2007,Total,Total,26203
2008,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,14206
2008,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,4797
2008,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,19003
2008,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,2409
2008,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1539
2008,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,3948
2008,Total,Total,22951
2009,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,13751
2009,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,4394
2009,Bridegrooms are Hong Kong residents and Brides from the Mainland,Sub-total,18145
2009,Brides are Hong Kong residents and Bridegrooms from the Mainland,Marriages registered in Hong Kong,2599
2009,Brides are Hong Kong residents and Bridegrooms from the Mainland,Issue of Certificate of Absence of Marriage Records,1595
2009,Brides are Hong Kong residents and Bridegrooms from the Mainland,Sub-total,4194
2009,Total,Total,22339
2010,Bridegrooms are Hong Kong residents and Brides from the Mainland,Marriages registered in Hong Kong,15400
2010,Bridegrooms are Hong Kong residents and Brides from the Mainland,Issue of Certificate of Absence of Marriage Records,3791
