Yr,G_B_HKR,Age_diff,Per_marri_age_diff,Median_age_diff
1991,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 5+,60.3,-
1991,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 1-4,23.9,-
1991,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms and brides of same age,6.9,-
1991,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 1-4,8.1,-
1991,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 5+,0.7,-
1991,Bridegrooms are Hong Kong residents and brides are from the Mainland,Median of age difference between bridegrooms and brides (year),-,6
1991,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 5+,31.1,-
1991,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 1-4,26.7,-
1991,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms and brides of same age,11.1,-
1991,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 1-4,14.4,-
1991,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 5+,16.7,-
1991,Brides are Hong Kong residents and bridegrooms are from the Mainland,Median of age difference between bridegrooms and brides (year),-,1
1996,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 5+,60,-
1996,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 1-4,24,-
1996,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms and brides of same age,5.8,-
1996,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 1-4,9,-
1996,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 5+,1.2,-
1996,Bridegrooms are Hong Kong residents and brides are from the Mainland,Median of age difference between bridegrooms and brides (year),-,6
1996,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 5+,19.7,-
1996,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 1-4,37.9,-
1996,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms and brides of same age,9.7,-
1996,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 1-4,21.9,-
1996,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 5+,10.8,-
1996,Brides are Hong Kong residents and bridegrooms are from the Mainland,Median of age difference between bridegrooms and brides (year),-,1
2001,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 5+,70.8,-
2001,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 1-4,19.1,-
2001,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms and brides of same age,3.9,-
2001,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 1-4,5.2,-
2001,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 5+,1,-
2001,Bridegrooms are Hong Kong residents and brides are from the Mainland,Median of age difference between bridegrooms and brides (year),-,9
2001,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 5+,18.8,-
2001,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 1-4,33.6,-
2001,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms and brides of same age,8.7,-
2001,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 1-4,22.7,-
2001,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 5+,16.2,-
2001,Brides are Hong Kong residents and bridegrooms are from the Mainland,Median of age difference between bridegrooms and brides (year),-,1
2006,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 5+,69,-
2006,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 1-4,16.6,-
2006,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms and brides of same age,3.7,-
2006,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 1-4,7.1,-
2006,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 5+,3.6,-
2006,Bridegrooms are Hong Kong residents and brides are from the Mainland,Median of age difference between bridegrooms and brides (year),-,9
2006,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 5+,20.5,-
2006,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 1-4,26.1,-
2006,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms and brides of same age,8,-
2006,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 1-4,19.7,-
2006,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 5+,25.7,-
2006,Brides are Hong Kong residents and bridegrooms are from the Mainland,Median of age difference between bridegrooms and brides (year),-,0
2011,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 5+,67.4,-
2011,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 1-4,19.6,-
2011,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms and brides of same age,4.9,-
2011,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 1-4,6.6,-
2011,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 5+,1.5,-
2011,Bridegrooms are Hong Kong residents and brides are from the Mainland,Median of age difference between bridegrooms and brides (year),-,8
2011,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 5+,18.6,-
2011,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 1-4,32,-
2011,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms and brides of same age,11.5,-
2011,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 1-4,21.4,-
2011,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 5+,16.5,-
2011,Brides are Hong Kong residents and bridegrooms are from the Mainland,Median of age difference between bridegrooms and brides (year),-,1
2016,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 5+,58.7,-
2016,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms older than brides: 1-4,23.7,-
2016,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms and brides of same age,6.4,-
2016,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 1-4,9.1,-
2016,Bridegrooms are Hong Kong residents and brides are from the Mainland,Bridegrooms younger than brides: 5+,2.2,-
2016,Bridegrooms are Hong Kong residents and brides are from the Mainland,Median of age difference between bridegrooms and brides (year),-,7
2016,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 5+,18.5,-
2016,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms older than brides: 1-4,31.2,-
2016,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms and brides of same age,11.5,-
2016,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 1-4,21.8,-
2016,Brides are Hong Kong residents and bridegrooms are from the Mainland,Bridegrooms younger than brides: 5+,17,-
2016,Brides are Hong Kong residents and bridegrooms are from the Mainland,Median of age difference between bridegrooms and brides (year),-,0
