Sex,Age_gp,Economies,Percent_never_marri
Male,15 – 19,Hong Kong 2021,99.3
Male,20 – 24,Hong Kong 2021,97.1
Male,25 – 29,Hong Kong 2021,86.7
Male,30 – 34,Hong Kong 2021,57.8
Male,35 – 39,Hong Kong 2021,33.3
Male,40 – 44,Hong Kong 2021,22.9
Male,45 – 49,Hong Kong 2021,18.7
Male,50 – 54,Hong Kong 2021,15.6
Male,55 – 59,Hong Kong 2021,11.9
Male,60 – 64,Hong Kong 2021,8
Male,65+,Hong Kong 2021,4.4
Male,Overall,Hong Kong 2021,30.8
Male,15 – 19,Hong Kong 2021 (excluding foreign domestic helpers),99.3
Male,20 – 24,Hong Kong 2021 (excluding foreign domestic helpers),97.1
Male,25 – 29,Hong Kong 2021 (excluding foreign domestic helpers),86.7
Male,30 – 34,Hong Kong 2021 (excluding foreign domestic helpers),57.8
Male,35 – 39,Hong Kong 2021 (excluding foreign domestic helpers),33.3
Male,40 – 44,Hong Kong 2021 (excluding foreign domestic helpers),22.8
Male,45 – 49,Hong Kong 2021 (excluding foreign domestic helpers),18.7
Male,50 – 54,Hong Kong 2021 (excluding foreign domestic helpers),15.6
Male,55 – 59,Hong Kong 2021 (excluding foreign domestic helpers),11.9
Male,60 – 64,Hong Kong 2021 (excluding foreign domestic helpers),8
Male,65+,Hong Kong 2021 (excluding foreign domestic helpers),4.4
Male,Overall,Hong Kong 2021 (excluding foreign domestic helpers),30.9
Female,15 – 19,Hong Kong 2021,99.3
Female,20 – 24,Hong Kong 2021,94.2
Female,25 – 29,Hong Kong 2021,75.8
Female,30 – 34,Hong Kong 2021,43.2
Female,35 – 39,Hong Kong 2021,24.2
Female,40 – 44,Hong Kong 2021,19.3
Female,45 – 49,Hong Kong 2021,16.5
Female,50 – 54,Hong Kong 2021,16.1
Female,55 – 59,Hong Kong 2021,14.1
Female,60 – 64,Hong Kong 2021,10.6
Female,65+,Hong Kong 2021,4.8
Female,Overall,Hong Kong 2021,26.8
