Yr,Sex,Never_marri_age_gp,No_of_persons,Sex_ratios
1991,Male,30 – 34,100400,-
1991,Male,35 – 39,40200,-
1991,Male,40 – 44,20700,-
1991,Male,45 – 49,8400,-
1991,Female,30 – 34,51700,-
1991,Female,35 – 39,21500,-
1991,Female,40 – 44,10900,-
1991,Female,45 – 49,3300,-
1991,Difference,30 – 34,48600,-
1991,Difference,35 – 39,18700,-
1991,Difference,40 – 44,9800,-
1991,Difference,45 – 49,5100,-
2021,Male,30 – 34,131800,-
2021,Male,35 – 39,78000,-
2021,Male,40 – 44,53600,-
2021,Male,45 – 49,45200,-
2021,Female,30 – 34,109900,-
2021,Female,35 – 39,67500,-
2021,Female,40 – 44,56300,-
2021,Female,45 – 49,50400,-
2021,Difference,30 – 34,21900,-
2021,Difference,35 – 39,10500,-
2021,Difference,40 – 44,-2700,-
2021,Difference,45 – 49,-5200,-
1991,-,30 – 34,-,1940
1991,-,35 – 39,-,1870
1991,-,40 – 44,-,1903
1991,-,45 – 49,-,2538
2021,-,30 – 34,-,1199
2021,-,35 – 39,-,1156
2021,-,40 – 44,-,953
2021,-,45 – 49,-,898
