Yr,Sex,Age_gp,Edu_attainment,No_of_persons
1991,Male,30 – 34,Post-secondary,16848
1991,Male,35 – 39,Post-secondary,5119
1991,Male,40 – 44,Post-secondary,2312
1991,Male,45 – 49,Post-secondary,1002
1991,Female,30 – 34,Post-secondary,9477
1991,Female,35 – 39,Post-secondary,3821
1991,Female,40 – 44,Post-secondary,2022
1991,Female,45 – 49,Post-secondary,884
1991,Difference,30 – 34,Post-secondary,7371
1991,Difference,35 – 39,Post-secondary,1298
1991,Difference,40 – 44,Post-secondary,290
1991,Difference,45 – 49,Post-secondary,118
2021,Male,30 – 34,Post-secondary,81328
2021,Male,35 – 39,Post-secondary,40288
2021,Male,40 – 44,Post-secondary,22821
2021,Male,45 – 49,Post-secondary,16144
2021,Female,30 – 34,Post-secondary,80806
2021,Female,35 – 39,Post-secondary,44056
2021,Female,40 – 44,Post-secondary,32475
2021,Female,45 – 49,Post-secondary,25405
2021,Difference,30 – 34,Post-secondary,522
2021,Difference,35 – 39,Post-secondary,-3768
2021,Difference,40 – 44,Post-secondary,-9654
2021,Difference,45 – 49,Post-secondary,-9261
1991,Male,30 – 34,Secondary,59431
1991,Male,35 – 39,Secondary,20401
1991,Male,40 – 44,Secondary,9701
1991,Male,45 – 49,Secondary,3184
1991,Female,30 – 34,Secondary,31581
1991,Female,35 – 39,Secondary,11901
1991,Female,40 – 44,Secondary,5892
1991,Female,45 – 49,Secondary,1419
1991,Difference,30 – 34,Secondary,27850
1991,Difference,35 – 39,Secondary,8500
1991,Difference,40 – 44,Secondary,3809
1991,Difference,45 – 49,Secondary,1765
2021,Male,30 – 34,Secondary,49326
2021,Male,35 – 39,Secondary,36675
2021,Male,40 – 44,Secondary,29372
2021,Male,45 – 49,Secondary,27324
2021,Female,30 – 34,Secondary,28278
2021,Female,35 – 39,Secondary,22677
2021,Female,40 – 44,Secondary,22522
2021,Female,45 – 49,Secondary,23810
2021,Difference,30 – 34,Secondary,21048
2021,Difference,35 – 39,Secondary,13998
2021,Difference,40 – 44,Secondary,6850
2021,Difference,45 – 49,Secondary,3514
1991,Male,30 – 34,Primary or below,24085
1991,Male,35 – 39,Primary or below,14669
1991,Male,40 – 44,Primary or below,8697
1991,Male,45 – 49,Primary or below,4226
1991,Female,30 – 34,Primary or below,10688
1991,Female,35 – 39,Primary or below,5765
1991,Female,40 – 44,Primary or below,2966
1991,Female,45 – 49,Primary or below,1012
1991,Difference,30 – 34,Primary or below,13397
1991,Difference,35 – 39,Primary or below,8904
1991,Difference,40 – 44,Primary or below,5731
1991,Difference,45 – 49,Primary or below,3214
2021,Male,30 – 34,Primary or below,1102
2021,Male,35 – 39,Primary or below,1072
2021,Male,40 – 44,Primary or below,1414
2021,Male,45 – 49,Primary or below,1746
2021,Female,30 – 34,Primary or below,785
2021,Female,35 – 39,Primary or below,775
2021,Female,40 – 44,Primary or below,1270
2021,Female,45 – 49,Primary or below,1152
2021,Difference,30 – 34,Primary or below,317
2021,Difference,35 – 39,Primary or below,297
2021,Difference,40 – 44,Primary or below,144
2021,Difference,45 – 49,Primary or below,594
1991,Male,30 – 34,Overall,100364
1991,Male,35 – 39,Overall,40189
1991,Male,40 – 44,Overall,20710
1991,Male,45 – 49,Overall,8412
1991,Female,30 – 34,Overall,51746
1991,Female,35 – 39,Overall,21487
1991,Female,40 – 44,Overall,10880
1991,Female,45 – 49,Overall,3315
1991,Difference,30 – 34,Overall,48618
1991,Difference,35 – 39,Overall,18702
1991,Difference,40 – 44,Overall,9830
1991,Difference,45 – 49,Overall,5097
2021,Male,30 – 34,Overall,131756
2021,Male,35 – 39,Overall,78035
2021,Male,40 – 44,Overall,53607
2021,Male,45 – 49,Overall,45214
2021,Female,30 – 34,Overall,109869
2021,Female,35 – 39,Overall,67508
2021,Female,40 – 44,Overall,56267
2021,Female,45 – 49,Overall,50367
2021,Difference,30 – 34,Overall,21887
2021,Difference,35 – 39,Overall,10527
2021,Difference,40 – 44,Overall,-2660
2021,Difference,45 – 49,Overall,-5153
