Yr,Sex,Age_gp_males,No_of_persons
1991,Male,30 – 34,100400
1991,Male,35 – 39,40200
1991,Male,40 – 44,20700
1991,Male,45 – 49,8400
1991,Female,30 – 34,74800
1991,Female,35 – 39,29900
1991,Female,40 – 44,14200
1991,Female,45 – 49,5700
1991,Difference,30 – 34,25600
1991,Difference,35 – 39,10300
1991,Difference,40 – 44,6500
1991,Difference,45 – 49,2700
2021,Male,30 – 34,131800
2021,Male,35 – 39,78000
2021,Male,40 – 44,53600
2021,Male,45 – 49,45200
2021,Female,30 – 34,135600
2021,Female,35 – 39,79100
2021,Female,40 – 44,60100
2021,Female,45 – 49,50800
2021,Difference,30 – 34,-3800
2021,Difference,35 – 39,-1000
2021,Difference,40 – 44,-6500
2021,Difference,45 – 49,-5600
