Yr,Type_of_marri,No_of_marri,No_of_divorce
1991,First marriage of both parties,34522,-
1992,First marriage of both parties,38065,-
1993,First marriage of both parties,34394,-
1994,First marriage of both parties,31348,-
1995,First marriage of both parties,32033,-
1996,First marriage of both parties,29397,-
1997,First marriage of both parties,30427,-
1998,First marriage of both parties,25064,-
1999,First marriage of both parties,24520,-
2000,First marriage of both parties,23917,-
2001,First marriage of both parties,25285,-
2002,First marriage of both parties,23515,-
2003,First marriage of both parties,25836,-
2004,First marriage of both parties,29306,-
2005,First marriage of both parties,27834,-
2006,First marriage of both parties,33352,-
2007,First marriage of both parties,32288,-
2008,First marriage of both parties,32765,-
2009,First marriage of both parties,35338,-
2010,First marriage of both parties,35826,-
2011,First marriage of both parties,39979,-
2012,First marriage of both parties,40841,-
2013,First marriage of both parties,35703,-
2014,First marriage of both parties,37217,-
2015,First marriage of both parties,34046,-
2016,First marriage of both parties,32673,-
2017,First marriage of both parties,34263,-
2018,First marriage of both parties,31828,-
2019,First marriage of both parties,28398,-
2020,First marriage of both parties,21324,-
2021,First marriage of both parties,20153,-
1991,First marriage of bridegroom and remarriage of bride,2008,-
1992,First marriage of bridegroom and remarriage of bride,2061,-
1993,First marriage of bridegroom and remarriage of bride,2096,-
1994,First marriage of bridegroom and remarriage of bride,2101,-
1995,First marriage of bridegroom and remarriage of bride,2047,-
1996,First marriage of bridegroom and remarriage of bride,2280,-
1997,First marriage of bridegroom and remarriage of bride,2441,-
1998,First marriage of bridegroom and remarriage of bride,2241,-
1999,First marriage of bridegroom and remarriage of bride,2302,-
2000,First marriage of bridegroom and remarriage of bride,2259,-
2001,First marriage of bridegroom and remarriage of bride,2490,-
2002,First marriage of bridegroom and remarriage of bride,2635,-
2003,First marriage of bridegroom and remarriage of bride,2821,-
2004,First marriage of bridegroom and remarriage of bride,3639,-
2005,First marriage of bridegroom and remarriage of bride,4717,-
2006,First marriage of bridegroom and remarriage of bride,4884,-
2007,First marriage of bridegroom and remarriage of bride,3676,-
2008,First marriage of bridegroom and remarriage of bride,3534,-
2009,First marriage of bridegroom and remarriage of bride,3803,-
2010,First marriage of bridegroom and remarriage of bride,3955,-
2011,First marriage of bridegroom and remarriage of bride,4387,-
2012,First marriage of bridegroom and remarriage of bride,4540,-
2013,First marriage of bridegroom and remarriage of bride,4399,-
2014,First marriage of bridegroom and remarriage of bride,4428,-
2015,First marriage of bridegroom and remarriage of bride,4060,-
2016,First marriage of bridegroom and remarriage of bride,3969,-
2017,First marriage of bridegroom and remarriage of bride,4026,-
2018,First marriage of bridegroom and remarriage of bride,4017,-
2019,First marriage of bridegroom and remarriage of bride,3567,-
2020,First marriage of bridegroom and remarriage of bride,1755,-
2021,First marriage of bridegroom and remarriage of bride,1795,-
1991,First marriage of bride and remarriage of bridegroom,1973,-
1992,First marriage of bride and remarriage of bridegroom,2250,-
1993,First marriage of bride and remarriage of bridegroom,2190,-
1994,First marriage of bride and remarriage of bridegroom,2227,-
1995,First marriage of bride and remarriage of bridegroom,2199,-
1996,First marriage of bride and remarriage of bridegroom,2409,-
1997,First marriage of bride and remarriage of bridegroom,2523,-
1998,First marriage of bride and remarriage of bridegroom,2511,-
1999,First marriage of bride and remarriage of bridegroom,2520,-
2000,First marriage of bride and remarriage of bridegroom,2688,-
2001,First marriage of bride and remarriage of bridegroom,2926,-
2002,First marriage of bride and remarriage of bridegroom,3394,-
2003,First marriage of bride and remarriage of bridegroom,4001,-
2004,First marriage of bride and remarriage of bridegroom,4801,-
2005,First marriage of bride and remarriage of bridegroom,5445,-
2006,First marriage of bride and remarriage of bridegroom,6418,-
2007,First marriage of bride and remarriage of bridegroom,6345,-
2008,First marriage of bride and remarriage of bridegroom,6003,-
2009,First marriage of bride and remarriage of bridegroom,6316,-
2010,First marriage of bride and remarriage of bridegroom,6498,-
2011,First marriage of bride and remarriage of bridegroom,6712,-
2012,First marriage of bride and remarriage of bridegroom,6912,-
2013,First marriage of bride and remarriage of bridegroom,6433,-
2014,First marriage of bride and remarriage of bridegroom,6198,-
2015,First marriage of bride and remarriage of bridegroom,5531,-
2016,First marriage of bride and remarriage of bridegroom,5083,-
2017,First marriage of bride and remarriage of bridegroom,5217,-
2018,First marriage of bride and remarriage of bridegroom,4854,-
2019,First marriage of bride and remarriage of bridegroom,4276,-
2020,First marriage of bride and remarriage of bridegroom,2128,-
2021,First marriage of bride and remarriage of bridegroom,2082,-
1991,Remarriage of both parties,911,-
1992,Remarriage of both parties,882,-
1993,Remarriage of both parties,918,-
1994,Remarriage of both parties,981,-
1995,Remarriage of both parties,1041,-
1996,Remarriage of both parties,1207,-
1997,Remarriage of both parties,1334,-
1998,Remarriage of both parties,1330,-
1999,Remarriage of both parties,1408,-
2000,Remarriage of both parties,1684,-
2001,Remarriage of both parties,1857,-
2002,Remarriage of both parties,2325,-
2003,Remarriage of both parties,2652,-
2004,Remarriage of both parties,3482,-
2005,Remarriage of both parties,4880,-
2006,Remarriage of both parties,5588,-
2007,Remarriage of both parties,5039,-
2008,Remarriage of both parties,4955,-
2009,Remarriage of both parties,5623,-
2010,Remarriage of both parties,6189,-
2011,Remarriage of both parties,7169,-
2012,Remarriage of both parties,8090,-
2013,Remarriage of both parties,8676,-
2014,Remarriage of both parties,8571,-
2015,Remarriage of both parties,7932,-
2016,Remarriage of both parties,8248,-
2017,Remarriage of both parties,8277,-
2018,Remarriage of both parties,8596,-
2019,Remarriage of both parties,7989,-
2020,Remarriage of both parties,2640,-
2021,Remarriage of both parties,2866,-
1991,Others,3154,-
1992,Others,2444,-
1993,Others,2083,-
1994,Others,1607,-
1995,Others,1466,-
1996,Others,1752,-
1997,Others,868,-
1998,Others,527,-
1999,Others,537,-
2000,Others,331,-
2001,Others,267,-
2002,Others,201,-
2003,Others,129,-
2004,Others,148,-
2005,Others,142,-
2006,Others,86,-
2007,Others,105,-
2008,Others,74,-
2009,Others,95,-
2010,Others,90,-
2011,Others,122,-
2012,Others,76,-
2013,Others,63,-
