Yr,Sex,Crude_marri_rate,Standardised_marri_rate,Crude_divorce_rate,General_divorce_rate
1991,Male,13.6,9.4,-,-
1992,Male,14.8,10.4,-,-
1993,Male,13.4,9..6,-,-
1994,Male,12.1,8.9,-,-
1995,Male,12.1,9.2,-,-
1996,Male,11,8.5,-,-
1997,Male,11.4,9,-,-
1998,Male,9.6,7.8,-,-
1999,Male,9.4,7.8,-,-
2000,Male,9.3,7.9,-,-
2001,Male,9.9,8.5,-,-
2002,Male,9.7,8.6,-,-
2003,Male,10.8,9.7,-,-
2004,Male,12.6,11.5,-,-
2005,Male,13.1,12.2,-,-
2006,Male,15.4,14.2,-,-
2007,Male,14.4,13.4,-,-
2008,Male,14.4,13.4,-,-
2009,Male,15.6,14.6,-,-
2010,Male,15.9,15,-,-
2011,Male,17.6,16.7,-,-
2012,Male,18.1,17.3,-,-
2013,Male,16.6,15.8,-,-
2014,Male,16.9,16.2,-,-
2015,Male,15.3,14.9,-,-
2016,Male,14.8,14.4,-,-
2017,Male,15.3,14.9,-,-
2018,Male,14.5,14.2,-,-
2019,Male,12.9,12.7,-,-
2020,Male,8.2,8.1,-,-
2021,Male,8,8,-,-
1991,Female,14.1,8.6,-,-
1992,Female,15.3,9.5,-,-
1993,Female,13.7,8.6,-,-
1994,Female,12.3,7.9,-,-
1995,Female,12.2,8,-,-
1996,Female,11,7.4,-,-
1997,Female,11.3,7.7,-,-
1998,Female,9.5,6.5,-,-
1999,Female,9.2,6.5,-,-
2000,Female,9,6.4,-,-
2001,Female,9.5,6.9,-,-
2002,Female,9.2,6.9,-,-
2003,Female,10.2,7.8,-,-
2004,Female,11.7,9.2,-,-
2005,Female,12.1,9.6,-,-
2006,Female,14,11.2,-,-
2007,Female,13,10.4,-,-
2008,Female,12.9,10.3,-,-
2009,Female,13.9,11.2,-,-
2010,Female,14.1,11.4,-,-
2011,Female,15.5,12.7,-,-
2012,Female,15.8,13.1,-,-
2013,Female,14.3,12.1,-,-
2014,Female,14.5,12.4,-,-
2015,Female,13.1,11.4,-,-
2016,Female,12.6,11.2,-,-
2017,Female,12.9,11.7,-,-
2018,Female,12.2,11.3,-,-
2019,Female,10.8,10.2,-,-
2020,Female,6.9,6.6,-,-
2021,Female,6.7,6.7,-,-
1991,-,-,-,1.11,1.4
1992,-,-,-,0.98,1.24
1993,-,-,-,1.27,1.59
1994,-,-,-,1.29,1.6
1995,-,-,-,1.53,1.9
1996,-,-,-,1.48,1.82
1997,-,-,-,1.62,1.98
1998,-,-,-,2.01,2.44
1999,-,-,-,2.18,2.65
2000,-,-,-,1.99,2.39
2001,-,-,-,2,2.39
2002,-,-,-,1.92,2.28
2003,-,-,-,2.05,2.43
2004,-,-,-,2.3,2.7
2005,-,-,-,2.18,2.54
2006,-,-,-,2.54,2.94
2007,-,-,-,2.66,3.07
2008,-,-,-,2.55,2.93
2009,-,-,-,2.44,2.78
2010,-,-,-,2.59,2.94
2011,-,-,-,2.77,3.14
2012,-,-,-,2.95,3.33
2013,-,-,-,3.1,3.49
2014,-,-,-,2.77,3.12
2015,-,-,-,2.75,3.11
2016,-,-,-,2.34,2.64
2017,-,-,-,2.62,2.96
2018,-,-,-,2.73,3.08
2019,-,-,-,2.82,3.18
2020,-,-,-,2.14,2.41
2021,-,-,-,2.25,2.53
