Yr,Pre_martial_s,Age_gp,Marriage_rate
1991,Bachelors,16 – 19,1.9
1991,Bachelors,20 – 24,24.9
1991,Bachelors,25 – 29,80.8
1991,Bachelors,30 – 34,101.5
1991,Bachelors,35 – 44,63.4
1991,Bachelors,45+,18
1991,Bachelors,Total,46.7
1996,Bachelors,16 – 19,1.6
1996,Bachelors,20 – 24,17.7
1996,Bachelors,25 – 29,62.2
1996,Bachelors,30 – 34,79
1996,Bachelors,35 – 44,54.5
1996,Bachelors,45+,14.5
1996,Bachelors,Total,36
2001,Bachelors,16 – 19,1
2001,Bachelors,20 – 24,13.3
2001,Bachelors,25 – 29,52.4
2001,Bachelors,30 – 34,66.5
2001,Bachelors,35 – 44,45.1
2001,Bachelors,45+,16.9
2001,Bachelors,Total,30.1
2006,Bachelors,16 – 19,1
2006,Bachelors,20 – 24,14.2
2006,Bachelors,25 – 29,56.3
2006,Bachelors,30 – 34,96.5
2006,Bachelors,35 – 44,58.2
2006,Bachelors,45+,27.7
2006,Bachelors,Total,38.2
2011,Bachelors,16 – 19,0.8
2011,Bachelors,20 – 24,12.4
2011,Bachelors,25 – 29,60.3
2011,Bachelors,30 – 34,117.4
2011,Bachelors,35 – 44,70.8
2011,Bachelors,45+,18.6
2011,Bachelors,Total,41.1
2016,Bachelors,16 – 19,0.7
2016,Bachelors,20 – 24,10.2
2016,Bachelors,25 – 29,49.9
2016,Bachelors,30 – 34,96.2
2016,Bachelors,35 – 44,58.6
2016,Bachelors,45+,11.3
2016,Bachelors,Total,33.7
2021,Bachelors,16 – 19,0.2
2021,Bachelors,20 – 24,4.3
2021,Bachelors,25 – 29,29.9
2021,Bachelors,30 – 34,61.1
2021,Bachelors,35 – 44,37.2
2021,Bachelors,45+,6.5
2021,Bachelors,Total,22.9
1991,Spinsters,16 – 19,10.3
1991,Spinsters,20 – 24,66.4
1991,Spinsters,25 – 29,116.4
1991,Spinsters,30 – 34,81.7
1991,Spinsters,35 – 44,39.2
1991,Spinsters,45+,12.4
1991,Spinsters,Total,60.8
1996,Spinsters,16 – 19,5.4
1996,Spinsters,20 – 24,35.8
1996,Spinsters,25 – 29,81
1996,Spinsters,30 – 34,56.8
1996,Spinsters,35 – 44,22.5
1996,Spinsters,45+,6.6
1996,Spinsters,Total,38
2001,Spinsters,16 – 19,3.6
2001,Spinsters,20 – 24,21.5
2001,Spinsters,25 – 29,61.5
2001,Spinsters,30 – 34,46.2
2001,Spinsters,35 – 44,15.1
2001,Spinsters,45+,3.7
2001,Spinsters,Total,27
2006,Spinsters,16 – 19,2.5
2006,Spinsters,20 – 24,16.4
2006,Spinsters,25 – 29,58.3
2006,Spinsters,30 – 34,69.1
2006,Spinsters,35 – 44,17.7
2006,Spinsters,45+,3.5
2006,Spinsters,Total,27.5
2011,Spinsters,16 – 19,2.1
2011,Spinsters,20 – 24,15.4
2011,Spinsters,25 – 29,62.1
2011,Spinsters,30 – 34,80.8
2011,Spinsters,35 – 44,26.9
2011,Spinsters,45+,3.5
2011,Spinsters,Total,31.6
2016,Spinsters,16 – 19,2.1
2016,Spinsters,20 – 24,13.6
2016,Spinsters,25 – 29,55.5
2016,Spinsters,30 – 34,69.1
2016,Spinsters,35 – 44,26.8
2016,Spinsters,45+,3.3
2016,Spinsters,Total,27.8
2021,Spinsters,16 – 19,0.6
2021,Spinsters,20 – 24,7.5
2021,Spinsters,25 – 29,41.4
2021,Spinsters,30 – 34,59.1
2021,Spinsters,35 – 44,20.6
2021,Spinsters,45+,2.7
2021,Spinsters,Total,21.3
1991,Divorced men / widowers,16 – 19,§
1991,Divorced men / widowers,20 – 24,43.3
1991,Divorced men / widowers,25 – 29,153.7
1991,Divorced men / widowers,30 – 34,211.7
1991,Divorced men / widowers,35 – 44,126.1
1991,Divorced men / widowers,45+,12.9
1991,Divorced men / widowers,Total,38.1
1996,Divorced men / widowers,16 – 19,§
1996,Divorced men / widowers,20 – 24,29.5
1996,Divorced men / widowers,25 – 29,84.3
1996,Divorced men / widowers,30 – 34,137.5
1996,Divorced men / widowers,35 – 44,95.2
1996,Divorced men / widowers,45+,12.6
1996,Divorced men / widowers,Total,33.1
2001,Divorced men / widowers,16 – 19,§
2001,Divorced men / widowers,20 – 24,52.6
2001,Divorced men / widowers,25 – 29,94.5
2001,Divorced men / widowers,30 – 34,123.7
2001,Divorced men / widowers,35 – 44,88.9
2001,Divorced men / widowers,45+,18.8
2001,Divorced men / widowers,Total,35.9
2006,Divorced men / widowers,16 – 19,§
2006,Divorced men / widowers,20 – 24,53.1
2006,Divorced men / widowers,25 – 29,150.8
2006,Divorced men / widowers,30 – 34,177.5
2006,Divorced men / widowers,35 – 44,155.9
2006,Divorced men / widowers,45+,50.3
2006,Divorced men / widowers,Total,72.3
2011,Divorced men / widowers,16 – 19,§
2011,Divorced men / widowers,20 – 24,58.6
2011,Divorced men / widowers,25 – 29,242.8
2011,Divorced men / widowers,30 – 34,218.6
2011,Divorced men / widowers,35 – 44,174.4
2011,Divorced men / widowers,45+,51.4
2011,Divorced men / widowers,Total,73.2
2016,Divorced men / widowers,16 – 19,11
2016,Divorced men / widowers,20 – 24,51.2
2016,Divorced men / widowers,25 – 29,163.2
2016,Divorced men / widowers,30 – 34,216.9
2016,Divorced men / widowers,35 – 44,164.2
2016,Divorced men / widowers,45+,39.3
2016,Divorced men / widowers,Total,55.4
2021,Divorced men / widowers,16 – 19,§
2021,Divorced men / widowers,20 – 24,§
2021,Divorced men / widowers,25 – 29,52.9
2021,Divorced men / widowers,30 – 34,75
2021,Divorced men / widowers,35 – 44,67.1
2021,Divorced men / widowers,45+,13.4
2021,Divorced men / widowers,Total,19.8
1991,Divorced women / widows,16 – 19,§
1991,Divorced women / widows,20 – 24,215.8
1991,Divorced women / widows,25 – 29,299.4
1991,Divorced women / widows,30 – 34,163.3
1991,Divorced women / widows,35 – 44,53.7
1991,Divorced women / widows,45+,1.3
1991,Divorced women / widows,Total,11.8
1996,Divorced women / widows,16 – 19,§
1996,Divorced women / widows,20 – 24,111.5
1996,Divorced women / widows,25 – 29,176.8
1996,Divorced women / widows,30 – 34,114
1996,Divorced women / widows,35 – 44,33.3
1996,Divorced women / widows,45+,1.2
1996,Divorced women / widows,Total,9.8
2001,Divorced women / widows,16 – 19,§
2001,Divorced women / widows,20 – 24,81.8
2001,Divorced women / widows,25 – 29,126.7
2001,Divorced women / widows,30 – 34,80.5
2001,Divorced women / widows,35 – 44,24.8
2001,Divorced women / widows,45+,1.3
2001,Divorced women / widows,Total,8.2
2006,Divorced women / widows,16 – 19,§
2006,Divorced women / widows,20 – 24,67.2
2006,Divorced women / widows,25 – 29,106.6
2006,Divorced women / widows,30 – 34,87.1
2006,Divorced women / widows,35 – 44,33.9
2006,Divorced women / widows,45+,3
2006,Divorced women / widows,Total,10.4
2011,Divorced women / widows,16 – 19,§
2011,Divorced women / widows,20 – 24,84.4
2011,Divorced women / widows,25 – 29,88.7
2011,Divorced women / widows,30 – 34,82.7
2011,Divorced women / widows,35 – 44,48.2
2011,Divorced women / widows,45+,3.4
2011,Divorced women / widows,Total,11.5
2016,Divorced women / widows,16 – 19,§
