Value descriptions,,
Variable,Value_eng,Value_chi
Yr,1991,1991
Yr,1996,1996
Yr,2001,2001
Yr,2006,2006
Yr,2011,2011
Yr,2016,2016
Yr,2021,2021
Pre_martial_s,Bachelors,從未結婚男性
Pre_martial_s,Spinsters,從未結婚女性
Pre_martial_s,Divorced men / widowers,離婚男性／鰥夫
Pre_martial_s,Divorced women / widows,離婚女性／寡婦
Pre_martial_s,All males,所有男性
Pre_martial_s,All females,所有女性
Age_gp,16 – 19,16 – 19
Age_gp,20 – 24,20 – 24
Age_gp,25 – 29,25 – 29
Age_gp,30 – 34,30 – 34
Age_gp,35 – 44,35 – 44
Age_gp,45+,45+
Age_gp,Total,總計
